Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.951724817939,3.44671586631,0.0,3.41874848793,0.0,0.0901001311704,0.0901001311704,0.0901001311704,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.786518553442,4.3420836039,0.0,4.31633301533,0.0,0.112553474593,0.112553474593,0.112553474593,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844242984
 01/01  03:00:00,0.734057933189,4.91540688204,0.0,4.88995485101,0.0,0.12612922274,0.12612922274,0.12612922274,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417623778
 01/01  04:00:00,0.733899597635,5.28213927323,0.0,5.25704551126,0.0,0.134856859331,0.134856859331,0.134856859331,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072613139
 01/01  05:00:00,0.791618299021,5.71247365642,0.0,5.68832781467,0.0,0.145461238839,0.145461238839,0.145461238839,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137208456
 01/01  06:00:00,1.06295149115,5.92275412861,0.0,5.89580930984,0.0,0.150405216516,0.150405216516,0.150405216516,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635105545
 01/01  07:00:00,1.68660372567,6.11462767313,0.0,6.08349558474,0.0,0.154810796419,0.154810796419,0.154810796419,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385255823
 01/01  08:00:00,2.10035787392,5.43553886253,0.0,5.40245868614,0.0,0.137022132788,0.137022132788,0.137022132788,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.85626228935
 01/01  09:00:00,2.03585757825,5.06746338935,0.0,5.03949601097,0.0,0.127745339801,0.127745339801,0.127745339801,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306494458
 01/01  10:00:00,1.77714378621,4.47376717606,0.0,4.44996467549,0.0,0.113038562813,0.113038562813,0.113038562813,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428680277
 01/01  11:00:00,1.66726152678,4.31310732054,0.0,4.28874502456,0.0,0.109970919145,0.109970919145,0.109970919145,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.64295844585
 01/01  12:00:00,1.55636757012,2.9823527534,0.0,2.95798299349,0.0,0.0758452523195,0.0758452523195,0.0758452523195,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266157133
 01/01  13:00:00,1.45143814389,2.4709854464,0.0,2.44702620312,0.0,0.0633437719702,0.0633437719702,0.0633437719702,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750163482
 01/01  14:00:00,1.3664767876,1.9189488057,0.0,1.89416106522,0.0,0.0493969930085,0.0493969930085,0.0493969930085,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927994227
 01/01  15:00:00,1.31469971778,1.6132209369,0.0,1.58703743988,0.0,0.0416358166855,0.0416358166855,0.0416358166855,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.38851643318
 01/01  16:00:00,1.38160918652,1.37416327754,0.0,1.34652431247,0.0,0.0354482023966,0.0354482023966,0.0354482023966,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055987
 01/01  17:00:00,1.68824555851,1.23765775886,0.0,1.20496570728,0.0,0.0318206041915,0.0318206041915,0.0318206041915,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914883809
 01/01  18:00:00,2.27520337119,1.41741646965,0.0,1.37770085174,0.0,0.0364613423036,0.0364613423036,0.0364613423036,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680398301
 01/01  19:00:00,2.69803927802,0.949656623217,0.0,0.906537449246,0.0,0.0238652710553,0.0238652710553,0.0238652710553,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808218
 01/01  20:00:00,2.6784128976,0.795895431969,0.0,0.751387965397,0.0,0.0197051102171,0.0197051102171,0.0197051102171,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909668931
 01/01  21:00:00,2.47357591639,0.905272517908,0.0,0.859234943898,0.0,0.0225245965659,0.0225245965659,0.0225245965659,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747643
 01/01  22:00:00,2.23581511932,1.10510285629,0.0,1.06014008946,0.0,0.027793041421,0.027793041421,0.027793041421,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411879
 01/01  23:00:00,1.80472325165,1.37555895867,0.0,1.33664944614,0.0,0.03504168376,0.03504168376,0.03504168376,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.35966120967,1.67478890546,0.0,1.64097726307,0.0,0.0430040921477,0.0430040921477,0.0430040921477,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.895640151506,1.9805614279,0.0,1.95259404953,0.0,0.0511533317367,0.0511533317367,0.0511533317367,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.721224381313,2.19363156395,0.0,2.16788097537,0.0,0.0567660352066,0.0567660352066,0.0567660352066,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.65873678268,2.22574570626,0.0,2.20029367524,0.0,0.0574982437439,0.0574982437439,0.0574982437439,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.651729855355,2.26335684344,0.0,2.23826308147,0.0,0.0584312845835,0.0584312845835,0.0584312845835,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.69539841587,2.35454088735,0.0,2.3303950456,0.0,0.0608670017999,0.0608670017999,0.0608670017999,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.948015804418,2.52543638514,0.0,2.49849156637,0.0,0.0653268277929,0.0653268277929,0.0653268277929,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.53580267701,2.85263549251,0.0,2.82150340412,0.0,0.0737133696238,0.0737133696238,0.0737133696238,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.9434738567,2.84844218408,0.0,2.81536200768,0.0,0.0732245607862,0.0732245607862,0.0732245607862,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.88086230261,3.12783202842,0.0,3.09986465005,0.0,0.0804561449004,0.0804561449004,0.0804561449004,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.63174283561,3.19584385655,0.0,3.17204135598,0.0,0.0820611997548,0.0820611997548,0.0820611997548,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.55235075331,4.08946298773,0.0,4.06510069176,0.0,0.105589436858,0.105589436858,0.105589436858,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383957
 01/02  12:00:00,1.44244270575,2.51701009132,0.0,2.49264033141,0.0,0.0638874452969,0.0638874452969,0.0638874452969,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787859307
 01/02  13:00:00,1.34465515449,1.86332742534,0.0,1.83936818205,0.0,0.0472840958325,0.0472840958325,0.0472840958325,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837356318
 01/02  14:00:00,1.26647158476,1.19515217353,0.0,1.17036443305,0.0,0.0301900883735,0.0301900883735,0.0301900883735,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717728537
