Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.01615699953,6.13124071979,0.0,6.10327334141,0.0,0.154532312839,0.154532312839,0.154532312839,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465434
 01/01  02:00:00,0.834749310224,6.3807220235,0.0,6.35497143492,0.0,0.160784245535,0.160784245535,0.160784245535,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101393
 01/01  03:00:00,0.778127495411,6.76129247297,0.0,6.73584044194,0.0,0.170198801816,0.170198801816,0.170198801816,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455253
 01/01  04:00:00,0.770205342979,6.79144024409,0.0,6.76634648212,0.0,0.171162610635,0.171162610635,0.171162610635,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.816969478381,6.79191161586,0.0,6.76776577411,0.0,0.17081243798,0.17081243798,0.17081243798,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.08023852573,6.67183341303,0.0,6.64488859426,0.0,0.167692261726,0.167692261726,0.167692261726,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.69227924213,6.39279364229,0.0,6.3616615539,0.0,0.160486316155,0.160486316155,0.160486316155,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.13529331625,6.85707927011,0.0,6.82399909371,0.0,0.171957608888,0.171957608888,0.171957608888,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.06497948956,6.24487833576,0.0,6.21691095739,0.0,0.15686725735,0.15686725735,0.15686725735,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.81840265699,6.14406568263,0.0,6.12026318206,0.0,0.154297432193,0.154297432193,0.154297432193,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
