Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.960331329848,3.8027347942,0.0,3.77476741583,0.0,0.0987066430839,0.0987066430839,0.0987066430839,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465512
 01/01  02:00:00,0.792202235749,4.60109399051,0.0,4.57534340193,0.0,0.118237167314,0.118237167314,0.118237167314,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084413885
 01/01  03:00:00,0.739763348984,5.17676591277,0.0,5.15131388174,0.0,0.131834650605,0.131834650605,0.131834650605,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417503086
 01/01  04:00:00,0.74583144899,5.78861360822,0.0,5.76351984625,0.0,0.146788711954,0.146788711954,0.146788711954,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.086107260046
 01/01  05:00:00,0.803301244299,6.22511479846,0.0,6.20096895671,0.0,0.157144202908,0.157144202908,0.157144202908,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137189664
 01/01  06:00:00,1.07552421328,6.48362949317,0.0,6.4566846744,0.0,0.162977949258,0.162977949258,0.162977949258,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094926
 01/01  07:00:00,1.71208749552,7.1809805626,0.0,7.14984847421,0.0,0.180294569546,0.180294569546,0.180294569546,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252542
 01/01  08:00:00,2.1292630948,6.64325282558,0.0,6.61017264918,0.0,0.165927359929,0.165927359929,0.165927359929,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262283083
 01/01  09:00:00,2.07577829709,6.73003806377,0.0,6.70207068539,0.0,0.167666042693,0.167666042693,0.167666042693,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306510405
 01/01  10:00:00,1.80335708852,5.63323598062,0.0,5.60943348005,0.0,0.139251859598,0.139251859598,0.139251859598,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428685802
 01/01  11:00:00,1.70394237047,5.85081554519,0.0,5.82645324921,0.0,0.146651765549,0.146651765549,0.146651765549,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.64295844314
 01/01  12:00:00,1.58776725415,4.28499084377,0.0,4.26062108386,0.0,0.107244935789,0.107244935789,0.107244935789,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266157699
 01/01  13:00:00,1.46524354181,3.06860015383,0.0,3.04464091054,0.0,0.0771491689099,0.0771491689099,0.0771491689099,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750164469
 01/01  14:00:00,1.37377114476,2.23964578675,0.0,2.21485804627,0.0,0.0566913481699,0.0566913481699,0.0566913481699,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996227
 01/01  15:00:00,1.32264982451,1.93919757767,0.0,1.91301408065,0.0,0.0495859222697,0.0495859222697,0.0495859222697,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516434329
 01/01  16:00:00,1.3897493811,1.7002463344,0.0,1.67260736933,0.0,0.0435883966082,0.0435883966082,0.0435883966082,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328056354
 01/01  17:00:00,1.69308704573,1.43403171397,0.0,1.40133966239,0.0,0.0366620867208,0.0366620867208,0.0366620867208,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.28360392675,1.74725373887,0.0,1.70753812095,0.0,0.044861896896,0.044861896896,0.044861896896,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.70221344406,1.11634789903,0.0,1.07322872506,0.0,0.028039437095,0.028039437095,0.028039437095,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
 01/01  20:00:00,2.68404557164,1.01661319026,0.0,0.972105723683,0.0,0.0253377830577,0.0253377830577,0.0253377830577,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670133
 01/01  21:00:00,2.48107198363,1.19721544535,0.0,1.15117787134,0.0,0.0300206634976,0.0300206634976,0.0300206634976,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747947
 01/01  22:00:00,2.24116790867,1.31674357483,0.0,1.271780808,0.0,0.0331458307608,0.0331458307608,0.0331458307608,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,1.80998741454,1.58675473255,0.0,1.54784522001,0.0,0.040305849144,0.040305849144,0.040305849144,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370611749
 01/01  24:00:00,1.37195654876,2.15538254733,0.0,2.12157090494,0.0,0.05529943211,0.05529943211,0.05529943211,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875804672
 01/02  01:00:00,0.914564716969,2.71951576927,0.0,2.6915483909,0.0,0.0700778972057,0.0700778972057,0.0700778972057,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281589
 01/02  02:00:00,0.742589717431,3.03478059974,0.0,3.00903001117,0.0,0.0781313713248,0.0781313713248,0.0781313713248,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247156319
 01/02  03:00:00,0.681967111129,3.14206219122,0.0,3.1166101602,0.0,0.0807285721933,0.0807285721933,0.0807285721933,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.677451596752,3.28488379109,0.0,3.25979002912,0.0,0.0841530259807,0.0841530259807,0.0841530259807,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.721352630831,3.38820820082,0.0,3.36406235907,0.0,0.0868212167611,0.0868212167611,0.0868212167611,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.968447964637,3.35110022208,0.0,3.32415540331,0.0,0.0857589880118,0.0857589880118,0.0857589880118,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.54186923221,3.12691384287,0.0,3.09578175448,0.0,0.0797799248259,0.0797799248259,0.0797799248259,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.95629088212,3.37754014141,0.0,3.34445996502,0.0,0.0860415862061,0.0860415862061,0.0860415862061,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.87974912609,3.10260275514,0.0,3.07463537676,0.0,0.0793429683817,0.0793429683817,0.0793429683817,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.62980618291,3.13667413883,0.0,3.11287163826,0.0,0.0801245470553,0.0801245470553,0.0801245470553,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.53605464239,3.48020533968,0.0,3.45584304371,0.0,0.0892933259334,0.0892933259334,0.0892933259334,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383957
 01/02  12:00:00,1.4546697812,2.97268337425,0.0,2.94831361434,0.0,0.0761145207462,0.0761145207462,0.0761145207462,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787859307
 01/02  13:00:00,1.36370266091,2.59102839721,0.0,2.56706915392,0.0,0.0663316202444,0.0663316202444,0.0663316202444,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837338324
 01/02  14:00:00,1.30019160664,2.49202272728,0.0,2.4672349868,0.0,0.0639101198526,0.0639101198526,0.0639101198526,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717718938
 01/02  15:00:00,1.25805310375,2.25249916283,0.0,2.22631566581,0.0,0.0578039081069,0.0578039081069,0.0578039081069,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354827299909
 01/02  16:00:00,1.32645997476,1.98368259914,0.0,1.95604363407,0.0,0.0508560589541,0.0508560589541,0.0508560589541,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.35982996052
 01/02  17:00:00,1.62062195104,1.61688158585,0.0,1.58418953427,0.0,0.0412407563394,0.0412407563394,0.0412407563394,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043438
 01/02  18:00:00,2.18706052675,1.31058420366,0.0,1.27086858575,0.0,0.0330968783502,0.0330968783502,0.0330968783502,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.50725394803
 01/02  19:00:00,2.59938256668,0.951137756461,0.0,0.90801858249,0.0,0.0236672109702,0.0236672109702,0.0236672109702,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.5999794725
 01/02  20:00:00,2.57193778767,0.786490661228,0.0,0.741983194656,0.0,0.019323494891,0.019323494891,0.019323494891,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060928516
 01/02  21:00:00,2.36643573912,0.763775919495,0.0,0.717738345486,0.0,0.0186917816774,0.0186917816774,0.0186917816774,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046755592
 01/02  22:00:00,2.13520753729,0.819193398263,0.0,0.774230631428,0.0,0.0201866701686,0.0201866701686,0.0201866701686,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060058566
 01/02  23:00:00,1.7205999793,0.971271388838,0.0,0.932361876304,0.0,0.0243399097526,0.0243399097526,0.0243399097526,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327824
 01/02  24:00:00,1.30331750903,1.19267280298,0.0,1.15886116059,0.0,0.0302933316261,0.0302933316261,0.0302933316261,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710763
 01/03  01:00:00,0.880482629343,1.39549609025,0.0,1.36752871188,0.0,0.0357715277966,0.0357715277966,0.0357715277966,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563371
 01/03  02:00:00,0.701979620092,1.45650167701,0.0,1.43075108843,0.0,0.0374091360668,0.0374091360668,0.0374091360668,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535507
 01/03  03:00:00,0.640050182938,1.50637994011,0.0,1.48092790908,0.0,0.0387325883343,0.0387325883343,0.0387325883343,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.632292405248,1.51194121824,0.0,1.48684745627,0.0,0.0389055844948,0.0389055844948,0.0389055844948,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
 01/03  05:00:00,0.672737337938,1.47701030109,0.0,1.45286445934,0.0,0.038025932262,0.038025932262,0.038025932262,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362709565
 01/03  06:00:00,0.918644844197,1.37902996759,0.0,1.35208514882,0.0,0.0353870132462,0.0353870132462,0.0353870132462,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.32144335446
 01/03  07:00:00,1.49311401818,1.16717689546,0.0,1.13604480707,0.0,0.0297255111384,0.0297255111384,0.0297255111384,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606345828
 01/03  08:00:00,1.90324709017,1.237263665,0.0,1.2041834886,0.0,0.0314803651991,0.0314803651991,0.0314803651991,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.785854635102
 01/03  09:00:00,1.83125405998,1.15003429391,0.0,1.12206691553,0.0,0.0293710762912,0.0293710762912,0.0293710762912,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.759514540593
