Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.999413733739,10.571349017,0.0,10.119392947,0.0,0.278620127802,0.278620127802,0.278620127802,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423446580461
 01/01  02:00:00,0.876258196904,10.784392128,0.0,10.4252006773,0.0,0.287040019129,0.287040019129,0.287040019129,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332941720462
 01/01  03:00:00,0.83369950528,11.0682359864,0.0,10.7347630833,0.0,0.29556328901,0.29556328901,0.29556328901,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307527517596
 01/01  04:00:00,0.821199509995,11.1165630293,0.0,10.7766184629,0.0,0.296715705096,0.296715705096,0.296715705096,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314364394602
 01/01  05:00:00,0.809440334953,10.8418477447,0.0,10.4288038571,0.0,0.287139226506,0.287139226506,0.287139226506,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388430010066
 01/01  06:00:00,0.866777482575,11.2229196453,0.0,10.4889940684,0.0,0.288796460735,0.288796460735,0.288796460735,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706458467912
 01/01  07:00:00,1.10306259568,12.0933249873,0.0,10.7575943846,0.0,0.296191909731,0.296191909731,0.296191909731,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3039950593
 01/01  08:00:00,1.42304546467,11.9462836668,0.0,10.4359289731,0.0,0.287335404352,0.287335404352,0.287335404352,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47663330118
 01/01  09:00:00,1.38301983396,11.7086016836,0.0,10.2356129275,0.0,0.281820045623,0.281820045623,0.281820045623,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44447926659
 01/01  10:00:00,1.21524510716,11.5897234361,0.0,10.2483457353,0.0,0.282170621647,0.282170621647,0.282170621647,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3171138198
 01/01  11:00:00,1.251921752,12.9033559667,0.0,11.7181134484,0.0,0.32263815465,0.32263815465,0.32263815465,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16040799096
 01/01  12:00:00,1.2254276436,11.1460483256,0.0,10.1047857779,0.0,0.278217944457,0.278217944457,0.278217944457,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01642041167
 01/01  13:00:00,1.2024521414,10.92787638,0.0,9.99771939439,0.0,0.275270055229,0.275270055229,0.275270055229,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.9057333236
 01/01  14:00:00,1.15908026318,10.229352725,0.0,9.36528869404,0.0,0.257857160653,0.257857160653,0.257857160653,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838795812363
 01/01  15:00:00,1.17693134192,10.844485784,0.0,10.0430514245,0.0,0.276518194923,0.276518194923,0.276518194923,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.77474332955
 01/01  16:00:00,1.25467158709,11.1090139848,0.0,10.298725867,0.0,0.283557752159,0.283557752159,0.283557752159,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.782113407467
 01/01  17:00:00,1.51263461794,10.9793535786,0.0,10.0824311692,0.0,0.27760244865,0.27760244865,0.27760244865,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.863596664923
 01/01  18:00:00,2.04324629898,12.6253895895,0.0,11.5586132881,0.0,0.318246591316,0.318246591316,0.318246591316,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02629084795
 01/01  19:00:00,2.35465822922,11.5973102027,0.0,10.368390476,0.0,0.285475847678,0.285475847678,0.285475847678,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18496474369
 01/01  20:00:00,2.31575523191,11.4924743326,0.0,10.228440573,0.0,0.281622567143,0.281622567143,0.281622567143,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21866357378
 01/01  21:00:00,2.15924301496,11.375726401,0.0,10.1964706012,0.0,0.280742328806,0.280742328806,0.280742328806,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1323258474
 01/01  22:00:00,1.99255710007,11.4551398338,0.0,10.3933024081,0.0,0.286161755,0.286161755,0.286161755,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01600311422
 01/01  23:00:00,1.67030238517,11.5424752448,0.0,10.6667917239,0.0,0.293691814216,0.293691814216,0.293691814216,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.836019798064
 01/01  24:00:00,1.35619694517,11.928123847,0.0,11.2581544214,0.0,0.309973971773,0.309973971773,0.309973971773,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.635502388637
 01/02  01:00:00,1.0408346947,12.299464408,0.0,11.8625428989,0.0,0.326614771843,0.326614771843,0.326614771843,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.40841201945
 01/02  02:00:00,0.921558876799,12.5646609828,0.0,12.2138613607,0.0,0.336287723099,0.336287723099,0.336287723099,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.324549891833
 01/02  03:00:00,0.878303809835,12.7765124915,0.0,12.4496163367,0.0,0.342778831991,0.342778831991,0.342778831991,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.300950769316
 01/02  04:00:00,0.87201566081,13.0049343567,0.0,12.6718356665,0.0,0.348897260083,0.348897260083,0.348897260083,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.307518518327
 01/02  05:00:00,0.869610033611,13.1103177848,0.0,12.7111633641,0.0,0.349980080779,0.349980080779,0.349980080779,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.374540543308
 01/02  06:00:00,0.928666935097,13.5800546914,0.0,12.885589522,0.0,0.354782605857,0.354782605857,0.354782605857,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.666998060448
 01/02  07:00:00,1.16741845441,14.7263850372,0.0,13.4808935313,0.0,0.371173280677,0.371173280677,0.371173280677,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21375596248
 01/02  08:00:00,1.48532799126,14.8667739401,0.0,13.4665840212,0.0,0.370779292861,0.370779292861,0.370779292861,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36646852629
 01/02  09:00:00,1.41167533773,13.8109692837,0.0,12.454483838,0.0,0.34291285029,0.34291285029,0.34291285029,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32797595614
 01/02  10:00:00,1.20652359491,12.8006676311,0.0,11.5670967129,0.0,0.318480167866,0.318480167866,0.318480167866,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20930703718
 01/02  11:00:00,1.20617846422,12.9984215954,0.0,11.9059930115,0.0,0.327811096166,0.327811096166,0.327811096166,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06759405651
 01/02  12:00:00,1.15866590313,10.5505447669,0.0,9.58639572497,0.0,0.263944963503,0.263944963503,0.263944963503,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.939306905983
 01/02  13:00:00,1.10726494166,9.14262709002,0.0,8.27701320083,0.0,0.22789336158,0.22789336158,0.22789336158,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.841190227171
 01/02  14:00:00,1.06946269589,8.50138495816,0.0,7.6935108752,0.0,0.21182762588,0.21182762588,0.21182762588,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.78260586441
 01/02  15:00:00,1.06255246082,8.06057538681,0.0,7.30987557841,0.0,0.201264886002,0.201264886002,0.201264886002,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.724008778381
 01/02  16:00:00,1.13750205888,8.14887059652,0.0,7.38913640097,0.0,0.203447196801,0.203447196801,0.203447196801,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.731559485137
 01/02  17:00:00,1.40910651912,8.46265694108,0.0,7.62685130984,0.0,0.209992269083,0.209992269083,0.209992269083,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.802479886802
 01/02  18:00:00,1.94817851543,10.3829873181,0.0,9.38975280462,0.0,0.258530737977,0.258530737977,0.258530737977,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.952749060076
 01/02  19:00:00,2.26273105622,9.40870296393,0.0,8.27576484387,0.0,0.227858990213,0.227858990213,0.227858990213,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08898313704
 01/02  20:00:00,2.23215905157,9.59293908114,0.0,8.43601273384,0.0,0.232271141003,0.232271141003,0.232271141003,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11155616144
 01/02  21:00:00,2.08307997875,9.77302596462,0.0,8.69618953372,0.0,0.239434662927,0.239434662927,0.239434662927,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02990647847
 01/02  22:00:00,1.91529830451,9.85624300879,0.0,8.88051748526,0.0,0.244509816909,0.244509816909,0.244509816909,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.929891212011
 01/02  23:00:00,1.60226676787,10.0314366278,0.0,9.22336041199,0.0,0.253949408845,0.253949408845,0.253949408845,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.768412493053
 01/02  24:00:00,1.30059743967,10.4312277632,0.0,9.80301891956,0.0,0.269909311609,0.269909311609,0.269909311609,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.593741806619
 01/03  01:00:00,0.995936622233,10.6699205579,0.0,10.2318594251,0.0,0.281716699374,0.281716699374,0.281716699374,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409551643224
 01/03  02:00:00,0.877764034669,10.9749345737,0.0,10.6232468561,0.0,0.29249288097,0.29249288097,0.29249288097,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325437987372
 01/03  03:00:00,0.839813475182,11.3796548931,0.0,11.0516598284,0.0,0.304288497338,0.304288497338,0.304288497338,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.302049679281
 01/03  04:00:00,0.829938294514,11.4777787437,0.0,11.1435993288,0.0,0.306819893787,0.306819893787,0.306819893787,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.308599243012
 01/03  05:00:00,0.821897656493,11.3784676317,0.0,10.9782652555,0.0,0.302267703661,0.302267703661,0.302267703661,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.375588498749
 01/03  06:00:00,0.887599016975,12.0903002366,0.0,11.3940160155,0.0,0.313714687735,0.313714687735,0.313714687735,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.668817112077
 01/03  07:00:00,1.12853039735,13.3170308419,0.0,12.0684918738,0.0,0.332285223618,0.332285223618,0.332285223618,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.2168034247
 01/03  08:00:00,1.42675310228,12.7421093228,0.0,11.3391629944,0.0,0.312204403883,0.312204403883,0.312204403883,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36922493594
 01/03  09:00:00,1.36753414036,12.2111774662,0.0,10.8512898229,0.0,0.298771652917,0.298771652917,0.298771652917,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33137815368
 01/03  10:00:00,1.17491666819,11.6556764946,0.0,10.4191433547,0.0,0.286873241143,0.286873241143,0.286873241143,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21226925878
 01/03  11:00:00,1.17372359347,11.8220885459,0.0,10.7272426002,0.0,0.295356225407,0.295356225407,0.295356225407,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07001141838
 01/03  12:00:00,1.12839311543,9.45319641698,0.0,8.48689786472,0.0,0.233672175802,0.233672175802,0.233672175802,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.941456416284
 01/03  13:00:00,1.07196586502,7.86249486667,0.0,6.99496215159,0.0,0.19259428494,0.19259428494,0.19259428494,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84310905307
 01/03  14:00:00,1.03246303394,7.15940886809,0.0,6.34969511751,0.0,0.174827963932,0.174827963932,0.174827963932,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.784445532022
 01/03  15:00:00,1.0329502644,6.98731209585,0.0,6.2347333765,0.0,0.171662689578,0.171662689578,0.171662689578,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.72588768934
