Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.05143174201,12.4609517458,0.0,12.0086701869,0.0,0.330638136075,0.330638136075,0.330638136075,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423772069398
 01/01  02:00:00,0.930998119056,12.7720039113,0.0,12.4133369491,0.0,0.341779941281,0.341779941281,0.341779941281,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332417232038
 01/01  03:00:00,0.880699795449,12.7745278544,0.0,12.4417984241,0.0,0.342563579178,0.342563579178,0.342563579178,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306784044741
 01/01  04:00:00,0.86797982054,12.8147509756,0.0,12.475664215,0.0,0.343496015641,0.343496015641,0.343496015641,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313506588774
 01/01  05:00:00,0.863397832319,12.8008515065,0.0,12.3885227137,0.0,0.341096723872,0.341096723872,0.341096723872,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387714915285
 01/01  06:00:00,0.915651767372,12.9972262995,0.0,12.2640922882,0.0,0.337670745532,0.337670745532,0.337670745532,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705666902258
 01/01  07:00:00,1.1351552729,13.2578638406,0.0,11.9231900436,0.0,0.328284586949,0.328284586949,0.328284586949,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30293825358
 01/01  08:00:00,1.48027015447,14.0238108412,0.0,12.5143112023,0.0,0.344560094149,0.344560094149,0.344560094149,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47577824632
 01/01  09:00:00,1.42833752273,13.3537590427,0.0,11.8815367296,0.0,0.327137734391,0.327137734391,0.327137734391,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44371282357
 01/01  10:00:00,1.25962049388,13.2000959852,0.0,11.8600454318,0.0,0.326546008369,0.326546008369,0.326546008369,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31578667234
 01/01  11:00:00,1.30671742263,14.8924297052,0.0,13.708274487,0.0,0.377433825283,0.377433825283,0.377433825283,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15932069085
 01/01  12:00:00,1.26733376423,12.6665542457,0.0,11.6268025283,0.0,0.320124065084,0.320124065084,0.320124065084,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01490958149
 01/01  13:00:00,1.23114591089,11.9705500768,0.0,11.039867824,0.0,0.303963824725,0.303963824725,0.303963824725,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.906258590792
 01/01  14:00:00,1.20053854172,11.7342831027,0.0,10.8710399648,0.0,0.299315439198,0.299315439198,0.299315439198,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.837974919393
 01/01  15:00:00,1.19534239802,11.5121947779,0.0,10.7117350286,0.0,0.294929251022,0.294929251022,0.294929251022,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.77376871934
 01/01  16:00:00,1.2599485942,11.2993851838,0.0,10.490385059,0.0,0.288834759273,0.288834759273,0.288834759273,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.780825414369
 01/01  17:00:00,1.52007560404,11.2491664392,0.0,10.3526853784,0.0,0.285043434753,0.285043434753,0.285043434753,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.863155316419
 01/01  18:00:00,2.05779675299,13.1537857983,0.0,12.0870810728,0.0,0.332797045328,0.332797045328,0.332797045328,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02621927203
 01/01  19:00:00,2.36005526273,11.7932359217,0.0,10.564408988,0.0,0.290872881192,0.290872881192,0.290872881192,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18487195065
 01/01  20:00:00,2.32268987046,11.7445644431,0.0,10.4803044026,0.0,0.28855720569,0.28855720569,0.28855720569,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21888985465
