Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.00741467988,10.862720038,0.0,10.4099847237,0.0,0.286621073945,0.286621073945,0.286621073945,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424225824757
 01/01  02:00:00,0.880401202709,10.9352542725,0.0,10.5756733084,0.0,0.291183024934,0.291183024934,0.291183024934,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333331233869
 01/01  03:00:00,0.832115732653,11.0113687116,0.0,10.6772409736,0.0,0.293979516383,0.293979516383,0.293979516383,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308182352502
 01/01  04:00:00,0.817865852749,10.9962050043,0.0,10.6555411097,0.0,0.29338204785,0.29338204785,0.29338204785,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315083722768
 01/01  05:00:00,0.815331830545,11.0565249368,0.0,10.6427810719,0.0,0.293030722098,0.293030722098,0.293030722098,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389129987402
 01/01  06:00:00,0.867858875182,11.2628646493,0.0,10.5282698983,0.0,0.289877853342,0.289877853342,0.289877853342,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707127642063
 01/01  07:00:00,1.08776952584,11.5382374426,0.0,10.2021550332,0.0,0.280898839892,0.280898839892,0.280898839892,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30434686597
 01/01  08:00:00,1.41290480498,11.5786980572,0.0,10.067623492,0.0,0.277194744657,0.277194744657,0.277194744657,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4773531726
 01/01  09:00:00,1.38352840198,11.7280056322,0.0,10.2540839535,0.0,0.282328613643,0.282328613643,0.282328613643,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44541218915
 01/01  10:00:00,1.2160746005,11.6204553599,0.0,10.2784726653,0.0,0.283000114991,0.283000114991,0.283000114991,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31771881348
 01/01  11:00:00,1.21242318101,11.4691531291,0.0,10.2835381225,0.0,0.283139583666,0.283139583666,0.283139583666,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16078047924
 01/01  12:00:00,1.28228535841,13.2123622658,0.0,12.169839594,0.0,0.335075659261,0.335075659261,0.335075659261,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01768053583
 01/01  13:00:00,1.22229131322,11.6508111155,0.0,10.7182716996,0.0,0.295109227048,0.295109227048,0.295109227048,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908115753892
 01/01  14:00:00,1.19566679608,11.5573430673,0.0,10.6940997386,0.0,0.294443693562,0.294443693562,0.294443693562,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.837975110069
 01/01  15:00:00,1.19650415527,11.5549907283,0.0,10.7539296764,0.0,0.296091008277,0.296091008277,0.296091008277,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.774370021893
 01/01  16:00:00,1.26892519877,11.6262904318,0.0,10.8164124342,0.0,0.297811363842,0.297811363842,0.297811363842,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.781703287175
 01/01  17:00:00,1.5263545169,11.4778194198,0.0,10.5807334631,0.0,0.291322347615,0.291322347615,0.291322347615,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.863760212221
 01/01  18:00:00,2.05924041832,13.2065198901,0.0,12.1395145307,0.0,0.334240710656,0.334240710656,0.334240710656,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02651990592
 01/01  19:00:00,2.35357089262,11.5586357709,0.0,10.3288987622,0.0,0.284388511075,0.284388511075,0.284388511075,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18578202573
 01/01  20:00:00,2.30678972542,11.165803761,0.0,9.90281627651,0.0,0.272657060658,0.272657060658,0.272657060658,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21761729866
 01/01  21:00:00,2.1565142993,11.2765136403,0.0,10.0973645308,0.0,0.278013613146,0.278013613146,0.278013613146,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13221915717
 01/01  22:00:00,1.98750091153,11.2722880667,0.0,10.2096632753,0.0,0.28110556646,0.28110556646,0.28110556646,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01679047992
 01/01  23:00:00,1.66755463773,11.4433053944,0.0,10.5669944254,0.0,0.290944066775,0.290944066775,0.290944066775,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.836647246251
 01/01  24:00:00,1.34714344842,11.5996929773,0.0,10.9293343472,0.0,0.30092047503,0.30092047503,0.30092047503,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.635891593001
 01/02  01:00:00,1.02639702895,11.7754924924,0.0,11.3381715473,0.0,0.312177106088,0.312177106088,0.312177106088,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.408811455487
 01/02  02:00:00,0.900776686007,11.8102924821,0.0,11.4590589113,0.0,0.315505532307,0.315505532307,0.315505532307,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.324983840589
 01/02  03:00:00,0.850666811287,11.7733088406,0.0,11.4458494862,0.0,0.315141833443,0.315141833443,0.315141833443,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301513968967
 01/02  04:00:00,0.838207749992,11.7775455179,0.0,11.4439432778,0.0,0.315089349266,0.315089349266,0.315089349266,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.308022068241
 01/02  05:00:00,0.835831714314,11.8842259321,0.0,11.4843457298,0.0,0.316201761482,0.316201761482,0.316201761482,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.37526632486
 01/02  06:00:00,0.892762173958,12.2769132443,0.0,11.5815402076,0.0,0.318877844718,0.318877844718,0.318877844718,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667905927743
 01/02  07:00:00,1.1066109531,12.5188737856,0.0,11.2723847463,0.0,0.31036577936,0.31036577936,0.31036577936,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21475349599
 01/02  08:00:00,1.43879948759,13.1778170815,0.0,11.7766838134,0.0,0.324250789191,0.324250789191,0.324250789191,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36741187547
 01/02  09:00:00,1.37913737131,12.6308886508,0.0,11.2727154191,0.0,0.310374883871,0.310374883871,0.310374883871,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32966374205
 01/02  10:00:00,1.19189506721,12.270565733,0.0,11.0357933172,0.0,0.303851640167,0.303851640167,0.303851640167,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21050853478
 01/02  11:00:00,1.22319679084,13.6175207539,0.0,12.5240931313,0.0,0.344829422786,0.344829422786,0.344829422786,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.0685930953
 01/02  12:00:00,1.17951323277,11.3079751633,0.0,10.3435639962,0.0,0.28479229314,0.28479229314,0.28479229314,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.939569031122
 01/02  13:00:00,1.1442272174,10.4849183269,0.0,9.61947110352,0.0,0.264855637319,0.264855637319,0.264855637319,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.841023561343
 01/02  14:00:00,1.08504626286,9.06655979001,0.0,8.25950098837,0.0,0.227411192848,0.227411192848,0.227411192848,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.781790583095
 01/02  15:00:00,1.06708792764,8.22513816302,0.0,7.47460226679,0.0,0.205800352823,0.205800352823,0.205800352823,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.723844866218
 01/02  16:00:00,1.1382167298,8.1746925867,0.0,7.415093018,0.0,0.20416186773,0.20416186773,0.20416186773,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.731424858285
 01/02  17:00:00,1.40165624522,8.19201655761,0.0,7.35625977096,0.0,0.202541995184,0.202541995184,0.202541995184,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.802431042226
 01/02  18:00:00,1.92761026645,9.63611624589,0.0,8.64272065274,0.0,0.237962489,0.237962489,0.237962489,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.952910139704
 01/02  19:00:00,2.23487619003,8.39769795283,0.0,7.26408511132,0.0,0.200004124031,0.200004124031,0.200004124031,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08965785849
 01/02  20:00:00,2.19583422352,8.27398422226,0.0,7.11670672497,0.0,0.195946312949,0.195946312949,0.195946312949,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11190731143
 01/02  21:00:00,2.04686202753,8.45886593235,0.0,7.38076525682,0.0,0.203216711705,0.203216711705,0.203216711705,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.0311707231
 01/02  22:00:00,1.87973801537,8.56593399799,0.0,7.58897928228,0.0,0.208949527763,0.208949527763,0.208949527763,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.931120404191
 01/02  23:00:00,1.56642014858,8.73084250718,0.0,7.92142279051,0.0,0.218102789548,0.218102789548,0.218102789548,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.769755993909
 01/02  24:00:00,1.26089236533,8.99045193949,0.0,8.36094345866,0.0,0.230204237271,0.230204237271,0.230204237271,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.595041443779
 01/03  01:00:00,0.952298834286,9.08631619269,0.0,8.64694907762,0.0,0.238078911426,0.238078911426,0.238078911426,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410857625482
 01/03  02:00:00,0.827739629391,9.15938492959,0.0,8.80637663234,0.0,0.242468475692,0.242468475692,0.242468475692,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326758567048
 01/03  03:00:00,0.779796976397,9.2011304964,0.0,8.87187999948,0.0,0.244271998553,0.244271998553,0.244271998553,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303305111416
 01/03  04:00:00,0.770699970129,9.32744147961,0.0,8.99208254252,0.0,0.247581569402,0.247581569402,0.247581569402,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309778765228
 01/03  05:00:00,0.766359439853,9.36282509532,0.0,8.961135186,0.0,0.246729487022,0.246729487022,0.246729487022,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377076031872
 01/03  06:00:00,0.816773116874,9.5193007606,0.0,8.82164222615,0.0,0.242888787634,0.242888787634,0.242888787634,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670191425457
 01/03  07:00:00,1.03322486731,9.85679686267,0.0,8.60702584066,0.0,0.236979693574,0.236979693574,0.236979693574,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21803547862
 01/03  08:00:00,1.36057979611,10.3407577197,0.0,8.93576991209,0.0,0.246031097712,0.246031097712,0.246031097712,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37126641509
 01/03  09:00:00,1.29938610241,9.73795949516,0.0,8.37617512092,0.0,0.230623614965,0.230623614965,0.230623614965,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33327488466
 01/03  10:00:00,1.11873078556,9.61683683823,0.0,8.37849026593,0.0,0.230687358512,0.230687358512,0.230687358512,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21408269126
 01/03  11:00:00,1.13633729138,10.4659735026,0.0,9.36938419789,0.0,0.257969923327,0.257969923327,0.257969923327,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07175477732
 01/03  12:00:00,1.11645117789,9.02098578917,0.0,8.05317055477,0.0,0.221730238261,0.221730238261,0.221730238261,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.942973098423
 01/03  13:00:00,1.09035563172,8.5312164526,0.0,7.66287253161,0.0,0.21098405164,0.21098405164,0.21098405164,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.843920258972
 01/03  14:00:00,1.06484449596,8.33533103991,0.0,7.52577934735,0.0,0.207209425957,0.207209425957,0.207209425957,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.784283474014
 01/03  15:00:00,1.06422611935,8.12308503298,0.0,7.37066231485,0.0,0.202938544527,0.202938544527,0.202938544527,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.725731688108
 01/03  16:00:00,1.13563129652,8.08224524571,0.0,7.32119091707,0.0,0.201576434443,0.201576434443,0.201576434443,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.732879618226
 01/03  17:00:00,1.39499586975,7.95167986631,0.0,7.11435708733,0.0,0.195881619707,0.195881619707,0.195881619707,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.803997034553
 01/03  18:00:00,1.91936652673,9.33864146973,0.0,8.34331069188,0.0,0.229718749282,0.229718749282,0.229718749282,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954845324399
 01/03  19:00:00,2.22643352619,8.09345451653,0.0,6.95745029056,0.0,0.191561460188,0.191561460188,0.191561460188,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09204924296
 01/03  20:00:00,2.19116040413,8.10682333,0.0,6.94695511589,0.0,0.191272493555,0.191272493555,0.191272493555,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11449802825
 01/03  21:00:00,2.04061695508,8.23384331184,0.0,7.15394624471,0.0,0.196971639252,0.196971639252,0.196971639252,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03296711469
 01/03  22:00:00,1.87695651185,8.46675787318,0.0,7.48795597386,0.0,0.206168024243,0.206168024243,0.206168024243,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.932967587801
 01/03  23:00:00,1.56587999295,8.71272271581,0.0,7.90180451285,0.0,0.217562633923,0.217562633923,0.217562633923,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771254480198
 01/03  24:00:00,1.25658563348,8.835232903,0.0,8.20452435055,0.0,0.225897505422,0.225897505422,0.225897505422,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596241515407
 01/04  01:00:00,0.957017108768,9.25834930568,0.0,8.81831528111,0.0,0.242797185908,0.242797185908,0.242797185908,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411524534983
 01/04  02:00:00,0.842685893153,9.7027648586,0.0,9.34922009912,0.0,0.257414739453,0.257414739453,0.257414739453,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327295029279
 01/04  03:00:00,0.802664898234,10.032066069,0.0,9.70243552601,0.0,0.26713992039,0.26713992039,0.26713992039,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303685157451
 01/04  04:00:00,0.804795372252,10.5661224053,0.0,10.2304165225,0.0,0.281676971526,0.281676971526,0.281676971526,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310125710889
 01/04  05:00:00,0.812595399284,11.0422606477,0.0,10.6404102816,0.0,0.292965446453,0.292965446453,0.292965446453,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377236488597
 01/04  06:00:00,0.868548430373,11.4003630205,0.0,10.7021048703,0.0,0.294664101133,0.294664101133,0.294664101133,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670791041163
 01/04  07:00:00,1.11501836854,12.8290968099,0.0,11.5777393566,0.0,0.318773194807,0.318773194807,0.318773194807,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21962190983
