Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.98316800349,9.98336729791,0.0,9.52935327758,0.0,0.262374397554,0.262374397554,0.262374397554,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425504530747
 01/01  02:00:00,0.852665008677,9.92908951498,0.0,9.56830370999,0.0,0.263446830902,0.263446830902,0.263446830902,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334536074787
 01/01  03:00:00,0.802770536724,9.94665675302,0.0,9.6114329465,0.0,0.264634320453,0.264634320453,0.264634320453,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309278421008
 01/01  04:00:00,0.789427677168,9.96455899747,0.0,9.62267576835,0.0,0.264943872269,0.264943872269,0.264943872269,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316303057256
 01/01  05:00:00,0.787306678212,10.0399668614,0.0,9.62491660145,0.0,0.265005569765,0.265005569765,0.265005569765,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390436382448
 01/01  06:00:00,0.841040862815,10.2901640635,0.0,9.55424836097,0.0,0.263059840975,0.263059840975,0.263059840975,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708448593486
 01/01  07:00:00,1.06308473988,10.6430064723,0.0,9.30561158893,0.0,0.256214053924,0.256214053924,0.256214053924,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30565933996
 01/01  08:00:00,1.40467480922,11.280883273,0.0,9.76871270723,0.0,0.268964748895,0.268964748895,0.268964748895,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47844917319
 01/01  09:00:00,1.35506162452,10.6949556519,0.0,9.2201798013,0.0,0.253861836185,0.253861836185,0.253861836185,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.446266361
 01/01  10:00:00,1.18385975003,10.4513132152,0.0,9.10843971311,0.0,0.250785264516,0.250785264516,0.250785264516,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31860962102
 01/01  11:00:00,1.2174046613,11.6512757766,0.0,10.4644638758,0.0,0.288121063954,0.288121063954,0.288121063954,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16197737351
 01/01  12:00:00,1.19654884057,10.0986267681,0.0,9.05591699006,0.0,0.249339141425,0.249339141425,0.249339141425,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01786764209
 01/01  13:00:00,1.16465215786,9.55804687103,0.0,8.62483621522,0.0,0.237470071688,0.237470071688,0.237470071688,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908786993791
 01/01  14:00:00,1.13376917505,9.31193782681,0.0,8.44599815801,0.0,0.23254607253,0.23254607253,0.23254607253,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840671450249
 01/01  15:00:00,1.13080676748,9.17105499539,0.0,8.36782179579,0.0,0.230393620486,0.230393620486,0.230393620486,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776542169584
 01/01  16:00:00,1.20153092867,9.18033960628,0.0,8.36867433663,0.0,0.230417093736,0.230417093736,0.230417093736,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783490559233
 01/01  17:00:00,1.4670589065,9.32633591571,0.0,8.42713606727,0.0,0.232026737214,0.232026737214,0.232026737214,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865874104013
 01/01  18:00:00,1.99424899384,10.8480814137,0.0,9.77904700941,0.0,0.26924928618,0.26924928618,0.26924928618,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02854895085
 01/01  19:00:00,2.3026638994,9.71109560483,0.0,8.47997322977,0.0,0.233481517856,0.233481517856,0.233481517856,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18716739205
 01/01  20:00:00,2.26695282463,9.72259979123,0.0,8.45595292141,0.0,0.232820159865,0.232820159865,0.232820159865,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22127668397
