Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.04991505229,12.403806134,0.0,11.9535845068,0.0,0.329121446358,0.329121446358,0.329121446358,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.421712137617
 01/01  02:00:00,0.913789480111,12.1463364719,0.0,11.7883247472,0.0,0.324571302337,0.324571302337,0.324571302337,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33176199443
 01/01  03:00:00,0.860482167128,12.0397544626,0.0,11.7075007011,0.0,0.322345950857,0.322345950857,0.322345950857,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306308376026
 01/01  04:00:00,0.841562898604,11.8553705987,0.0,11.5162101525,0.0,0.317079093706,0.317079093706,0.317079093706,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313580274408
 01/01  05:00:00,0.836569923236,11.8266736792,0.0,11.4141417309,0.0,0.314268814789,0.314268814789,0.314268814789,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387918070824
 01/01  06:00:00,0.8884008685,12.0078789108,0.0,11.2743484531,0.0,0.31041984666,0.31041984666,0.31041984666,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706063348701
 01/01  07:00:00,1.1089033777,12.3048217703,0.0,10.9697296988,0.0,0.302032691749,0.302032691749,0.302032691749,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3033565281
 01/01  08:00:00,1.45405780683,13.0722504755,0.0,11.5622872121,0.0,0.318347746512,0.318347746512,0.318347746512,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47624187081
 01/01  09:00:00,1.40046657137,12.3419502043,0.0,10.8692727886,0.0,0.299266783031,0.299266783031,0.299266783031,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4441679262
 01/01  10:00:00,1.23154585044,12.1809828475,0.0,10.8403834604,0.0,0.298471364932,0.298471364932,0.298471364932,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.316335506
