Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.06238667804,12.8585398376,0.0,12.4065499211,0.0,0.341593072107,0.341593072107,0.341593072107,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423480426914
 01/01  02:00:00,0.941924403502,13.1685121724,0.0,12.8101760671,0.0,0.352706225728,0.352706225728,0.352706225728,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332086375171
 01/01  03:00:00,0.895234687215,13.3019979418,0.0,12.9697009931,0.0,0.357098470945,0.357098470945,0.357098470945,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306351563254
 01/01  04:00:00,0.887931601849,13.539033492,0.0,13.2003064605,0.0,0.36344779695,0.36344779695,0.36344779695,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313146859645
 01/01  05:00:00,0.888174835835,13.7002511573,0.0,13.2884154695,0.0,0.365873727388,0.365873727388,0.365873727388,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387221810338
 01/01  06:00:00,0.947056751314,14.1372509172,0.0,13.4047111499,0.0,0.369075729474,0.369075729474,0.369075729474,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70507265831
 01/01  07:00:00,1.19666391449,15.4911158418,0.0,14.1571640165,0.0,0.389793228535,0.389793228535,0.389793228535,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30221628186
 01/01  08:00:00,1.50565500033,14.9444626425,0.0,13.4362805955,0.0,0.36994494001,0.36994494001,0.36994494001,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47446065444
 01/01  09:00:00,1.47100249653,14.9014715077,0.0,13.431114782,0.0,0.369802708197,0.369802708197,0.369802708197,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44184723609
 01/01  10:00:00,1.29200992553,14.3753680292,0.0,13.0364191159,0.0,0.358935440021,0.358935440021,0.358935440021,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31468503218
 01/01  11:00:00,1.3288483407,15.6948259743,0.0,14.5120622749,0.0,0.39956474335,0.39956474335,0.39956474335,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15792917202
 01/01  12:00:00,1.29441773744,13.6489850903,0.0,12.6104836773,0.0,0.347208038292,0.347208038292,0.347208038292,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01365927702
 01/01  13:00:00,1.25051600276,12.6726726407,0.0,11.7433832973,0.0,0.323333916596,0.323333916596,0.323333916596,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.904865681455
 01/01  14:00:00,1.20989643364,12.0730736316,0.0,11.2109155733,0.0,0.308673331117,0.308673331117,0.308673331117,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.8368898397
 01/01  15:00:00,1.20131213453,11.7279997536,0.0,10.9285539283,0.0,0.300898987533,0.300898987533,0.300898987533,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.772754795334
 01/01  16:00:00,1.27275629496,11.7635176584,0.0,10.955556609,0.0,0.30164246003,0.30164246003,0.30164246003,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.779786338996
 01/01  17:00:00,1.53043269591,11.6245117618,0.0,10.728851606,0.0,0.295400526623,0.295400526623,0.295400526623,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.862334411403
 01/01  18:00:00,2.05514293374,13.0561766672,0.0,11.9906952158,0.0,0.330143226078,0.330143226078,0.330143226078,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02499599799
 01/01  19:00:00,2.39584966661,13.0932393584,0.0,11.8644501624,0.0,0.326667285071,0.326667285071,0.326667285071,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18483421302
 01/01  20:00:00,2.32847490984,11.9528571035,0.0,10.6904151624,0.0,0.294342245077,0.294342245077,0.294342245077,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21707175523
 01/01  21:00:00,2.16739362349,11.6701208871,0.0,10.4924980673,0.0,0.288892937334,0.288892937334,0.288892937334,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13069286735
 01/01  22:00:00,2.00748509933,11.9964269993,0.0,10.9354825139,0.0,0.301089754253,0.301089754253,0.301089754253,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01511017393
 01/01  23:00:00,1.68914539216,12.2260228344,0.0,11.3511636447,0.0,0.312534821206,0.312534821206,0.312534821206,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.835195466895
 01/01  24:00:00,1.37453098136,12.5930613106,0.0,11.9240406875,0.0,0.328308007968,0.328308007968,0.328308007968,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.634553586048
 01/02  01:00:00,1.05435664051,12.789593263,0.0,12.353655598,0.0,0.340136717646,0.340136717646,0.340136717646,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.407428175389
 01/02  02:00:00,0.936705562749,13.1136940771,0.0,12.7639840966,0.0,0.351434409049,0.351434409049,0.351434409049,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.323460250311
 01/02  03:00:00,0.89055909655,13.220801249,0.0,12.8947243873,0.0,0.355034118706,0.355034118706,0.355034118706,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.300131476235
 01/02  04:00:00,0.882139050451,13.3716568798,0.0,13.0395139048,0.0,0.359020649725,0.359020649725,0.359020649725,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.306562803102
 01/02  05:00:00,0.883332499152,13.6078775066,0.0,13.2095588752,0.0,0.36370254632,0.36370254632,0.36370254632,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.373704753945
 01/02  06:00:00,0.933703652213,13.7621347987,0.0,13.0685214589,0.0,0.359819322973,0.359819322973,0.359819322973,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.666146230755
 01/02  07:00:00,1.16881243416,14.7760179547,0.0,13.5315224248,0.0,0.372567260421,0.372567260421,0.372567260421,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21275998644
 01/02  08:00:00,1.45277687188,13.6833172649,0.0,12.2843378911,0.0,0.33822817348,0.33822817348,0.33822817348,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36525798124
 01/02  09:00:00,1.40088583834,13.4189781751,0.0,12.062612709,0.0,0.332123350899,0.332123350899,0.332123350899,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32785597655
 01/02  10:00:00,1.22419968958,13.442262486,0.0,12.2090867557,0.0,0.33615626254,0.33615626254,0.33615626254,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20891184929
 01/02  11:00:00,1.25988561868,14.9482548519,0.0,13.8566194946,0.0,0.381518250622,0.381518250622,0.381518250622,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06680083001
 01/02  12:00:00,1.2499864042,13.8662496626,0.0,12.9031267942,0.0,0.355265464569,0.355265464569,0.355265464569,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.938280732349
 01/02  13:00:00,1.21707304237,13.1282410613,0.0,12.2652079109,0.0,0.337701462289,0.337701462289,0.337701462289,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.838609488325
 01/02  14:00:00,1.17887819204,12.4720366732,0.0,11.6674463147,0.0,0.321243122031,0.321243122031,0.321243122031,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.779322139894
 01/02  15:00:00,1.17986542566,12.3176958013,0.0,11.570644527,0.0,0.318577850843,0.318577850843,0.318577850843,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.720360244244
 01/02  16:00:00,1.24428666149,12.0237876297,0.0,11.2675186381,0.0,0.310231799419,0.310231799419,0.310231799419,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.728094281194
 01/02  17:00:00,1.51866539744,12.4385003384,0.0,11.6059943432,0.0,0.319551147398,0.319551147398,0.319551147398,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.799180250757
 01/02  18:00:00,2.051459576,14.1308056355,0.0,13.1408875278,0.0,0.361811798555,0.361811798555,0.361811798555,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.949432654324
 01/02  19:00:00,2.34676567756,12.4584265309,0.0,11.3278751175,0.0,0.311893611556,0.311893611556,0.311893611556,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08659643031
 01/02  20:00:00,2.3293947616,13.1213613519,0.0,11.9675822797,0.0,0.329506851028,0.329506851028,0.329506851028,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.10840888628
 01/02  21:00:00,2.20429479852,14.1725684763,0.0,13.0986725916,0.0,0.360649482695,0.360649482695,0.360649482695,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02696593232
 01/02  22:00:00,2.03680883836,14.266233248,0.0,13.2937407828,0.0,0.366020350756,0.366020350756,0.366020350756,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.926658153611
 01/02  23:00:00,1.72608826226,14.5256009263,0.0,13.720517049,0.0,0.377770903231,0.377770903231,0.377770903231,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.765420154538
 01/02  24:00:00,1.42382058862,14.9034753774,0.0,14.2784438442,0.0,0.393132460566,0.393132460566,0.393132460566,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.590564496247
 01/03  01:00:00,1.11527512805,15.0010572278,0.0,14.5661953671,0.0,0.401055205193,0.401055205193,0.401055205193,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.406352371158
