Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.02608105417,11.5398055456,0.0,11.0879414019,0.0,0.305287448235,0.305287448235,0.305287448235,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423354654093
 01/01  02:00:00,0.915644103446,12.21394531,0.0,11.855684067,0.0,0.326425925671,0.326425925671,0.326425925671,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33201151275
 01/01  03:00:00,0.872967426341,12.4932461358,0.0,12.1609612785,0.0,0.33483121007,0.33483121007,0.33483121007,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306339471861
 01/01  04:00:00,0.863062594855,12.6356123888,0.0,12.2970721681,0.0,0.338578789956,0.338578789956,0.338578789956,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312960048854
 01/01  05:00:00,0.852096680384,12.3897499494,0.0,11.9780685298,0.0,0.329795571937,0.329795571937,0.329795571937,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387067542148
 01/01  06:00:00,0.910424676258,12.8068760711,0.0,12.0742460292,0.0,0.332443654418,0.332443654418,0.332443654418,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705162932893
 01/01  07:00:00,1.17018581456,14.5297775467,0.0,13.1954879892,0.0,0.363315128608,0.363315128608,0.363315128608,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30255401412
 01/01  08:00:00,1.49079118028,14.4049426749,0.0,12.8964314577,0.0,0.355081119961,0.355081119961,0.355081119961,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47478982466
 01/01  09:00:00,1.45948293099,14.4837803511,0.0,13.0127278866,0.0,0.358283142657,0.358283142657,0.358283142657,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44254297488
 01/01  10:00:00,1.29401232854,14.4486284846,0.0,13.1091457456,0.0,0.360937843027,0.360937843027,0.360937843027,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31521885792
 01/01  11:00:00,1.31572110703,15.2179079048,0.0,14.0352853929,0.0,0.386437509683,0.386437509683,0.386437509683,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15778798449
 01/01  12:00:00,1.29916933657,13.8215224003,0.0,12.7830602214,0.0,0.351959637427,0.351959637427,0.351959637427,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01362004298
 01/01  13:00:00,1.26237401959,13.1030288071,0.0,12.1740626339,0.0,0.335191933421,0.335191933421,0.335191933421,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.904542511188
 01/01  14:00:00,1.22776028425,12.7214836728,0.0,11.859724851,0.0,0.326537181727,0.326537181727,0.326537181727,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.836490603239
 01/01  15:00:00,1.21590625735,12.2574829475,0.0,11.4586077499,0.0,0.315493110351,0.315493110351,0.315493110351,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.772184167665
 01/01  16:00:00,1.27942310213,12.0050287753,0.0,11.1976928896,0.0,0.3083092672,0.3083092672,0.3083092672,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.779161175292
 01/01  17:00:00,1.54762413812,12.2484206761,0.0,11.3532392279,0.0,0.312591968829,0.312591968829,0.312591968829,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.8618557038
 01/01  18:00:00,2.07636224879,13.8265204945,0.0,12.7613738768,0.0,0.351362541125,0.351362541125,0.351362541125,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02466116426
 01/01  19:00:00,2.37313921616,12.2672759818,0.0,11.0396139456,0.0,0.303956834616,0.303956834616,0.303956834616,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18370705326
 01/01  20:00:00,2.32172158541,11.7065030303,0.0,10.4451366029,0.0,0.287588920646,0.287588920646,0.287588920646,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21599624159
 01/01  21:00:00,2.15883939895,11.3592788012,0.0,10.1818113982,0.0,0.280338712795,0.280338712795,0.280338712795,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13053745066
