Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.03979478262,12.0397805185,0.0,11.5860195845,0.0,0.319001176679,0.319001176679,0.319001176679,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425251444378
 01/01  02:00:00,0.916215693235,12.236060425,0.0,11.8764440233,0.0,0.32699751546,0.32699751546,0.32699751546,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333366671424
 01/01  03:00:00,0.878020595157,12.6777732843,0.0,12.3444907359,0.0,0.339884378887,0.339884378887,0.339884378887,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307337162877
 01/01  04:00:00,0.880149380624,13.2573940455,0.0,12.917658702,0.0,0.355665575725,0.355665575725,0.355665575725,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314155171584
 01/01  05:00:00,0.881772899947,13.4684623293,0.0,13.0558992282,0.0,0.3594717915,0.3594717915,0.3594717915,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387949223658
 01/01  06:00:00,0.93815395801,13.81433213,0.0,13.0813645759,0.0,0.36017293617,0.36017293617,0.36017293617,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705500445124
 01/01  07:00:00,1.15858085741,14.1083727387,0.0,12.773999698,0.0,0.351710171456,0.351710171456,0.351710171456,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30263749731
 01/01  08:00:00,1.50324490336,14.8577863268,0.0,13.3487466528,0.0,0.367534843038,0.367534843038,0.367534843038,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47531828144
 01/01  09:00:00,1.45043399808,14.1557260215,0.0,12.6840735692,0.0,0.349234209742,0.349234209742,0.349234209742,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44314296271
 01/01  10:00:00,1.26044412362,13.2296802948,0.0,11.8899593976,0.0,0.327369638108,0.327369638108,0.327369638108,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31545701618
 01/01  11:00:00,1.27688514252,13.8086865966,0.0,12.6247757198,0.0,0.347601545169,0.347601545169,0.347601545169,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15907634936
 01/01  12:00:00,1.2358528982,11.5234109897,0.0,10.4834276539,0.0,0.288643199057,0.288643199057,0.288643199057,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01514119991
 01/01  13:00:00,1.21832241815,11.5050103953,0.0,10.5741227142,0.0,0.291140331982,0.291140331982,0.291140331982,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.906464019084
 01/01  14:00:00,1.16709803504,10.5201959602,0.0,9.65649157539,0.0,0.265874932514,0.265874932514,0.265874932514,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838436166236
 01/01  15:00:00,1.18085344491,10.9861743298,0.0,10.1855009369,0.0,0.280440297915,0.280440297915,0.280440297915,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.773982362845
 01/01  16:00:00,1.2587802566,11.2575971744,0.0,10.4479514149,0.0,0.287666421666,0.287666421666,0.287666421666,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.78147104905
 01/01  17:00:00,1.52147829646,11.3003191085,0.0,10.4036307134,0.0,0.28644612717,0.28644612717,0.28644612717,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.863362650686
