Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.936025554586,2.9668592421,0.0,2.93889186373,0.0,0.0744008678178,0.0744008678178,0.0744008678178,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.76011832822,3.44279560108,0.0,3.41704501251,0.0,0.0861532635239,0.0861532635239,0.0861532635239,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.700391586041,3.70881825662,0.0,3.6833662256,0.0,0.0924628924444,0.0924628924444,0.0924628924444,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.695485203801,3.87796787957,0.0,3.8528741176,0.0,0.0964424714563,0.0964424714563,0.0964424714563,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.745621018826,4.00539368282,0.0,3.98124784107,0.0,0.0994639517112,0.0994639517112,0.0994639517112,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137215389
 01/01  06:00:00,1.00979340749,3.92194092051,0.0,3.89499610174,0.0,0.0972471407206,0.0972471407206,0.0972471407206,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635097681
 01/01  07:00:00,1.6237556266,3.72309648644,0.0,3.69196439805,0.0,0.0919627004584,0.0919627004584,0.0919627004584,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252708
 01/01  08:00:00,2.06289824493,4.03572322367,0.0,4.00264304727,0.0,0.0995625375577,0.0995625375577,0.0995625375577,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255582
 01/01  09:00:00,1.99961154148,3.69925189444,0.0,3.67128451607,0.0,0.0914993092675,0.0914993092675,0.0914993092675,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.75412289557,3.63681774327,0.0,3.6130152427,0.0,0.0900176707718,0.0900176707718,0.0900176707718,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.66062004613,4.14739068331,0.0,4.12302838734,0.0,0.10332943661,0.10332943661,0.10332943661,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.56549186989,3.42053831818,0.0,3.39616855827,0.0,0.084969550897,0.084969550897,0.084969550897,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.46326018323,3.02408034882,0.0,3.00012110553,0.0,0.0751658113071,0.0751658113071,0.0751658113071,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750163485
 01/01  14:00:00,1.38666817112,2.79297316782,0.0,2.76818542733,0.0,0.0695883754096,0.0695883754096,0.0695883754096,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995347
 01/01  15:00:00,1.33723932502,2.57200196024,0.0,2.54581846321,0.0,0.0641754287474,0.0641754287474,0.0641754287474,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516428357
 01/01  16:00:00,1.40388930319,2.31421269154,0.0,2.28657372647,0.0,0.0577283217837,0.0577283217837,0.0577283217837,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328053271
 01/01  17:00:00,1.71016902183,2.15951322292,0.0,2.12682117134,0.0,0.0537440628284,0.0537440628284,0.0537440628284,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888491
 01/01  18:00:00,2.3044450315,2.62914547054,0.0,2.58942985262,0.0,0.0657030016394,0.0657030016394,0.0657030016394,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.71628345646,1.7109251898,0.0,1.66780601582,0.0,0.0421094494915,0.0421094494915,0.0421094494915,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
 01/01  20:00:00,2.69908793673,1.65145933779,0.0,1.60695187122,0.0,0.0403801571618,0.0403801571618,0.0403801571618,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909661115
 01/01  21:00:00,2.49240905868,1.68829331826,0.0,1.64225574425,0.0,0.0413577521271,0.0413577521271,0.0413577521271,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498734374
 01/01  22:00:00,2.25244447761,1.80765831913,0.0,1.7626955523,0.0,0.0444224003663,0.0444224003663,0.0444224003663,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411219
 01/01  23:00:00,1.81692445315,1.91194963405,0.0,1.87304012152,0.0,0.0472428852807,0.0472428852807,0.0472428852807,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614221
