Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.965240746755,4.0294437913,0.0,4.00147641292,0.0,0.103616059987,0.103616059987,0.103616059987,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.795500389263,4.75076262284,0.0,4.72501203426,0.0,0.121535319118,0.121535319118,0.121535319118,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084415595
 01/01  03:00:00,0.73524217608,4.98332759142,0.0,4.9578755604,0.0,0.127313482483,0.127313482483,0.127313482483,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.731553300677,5.22369559625,0.0,5.19860183428,0.0,0.132510568333,0.132510568333,0.132510568333,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.782723431177,5.38771048608,0.0,5.36356464433,0.0,0.136566390776,0.136566390776,0.136566390776,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.05127222487,5.47883445671,0.0,5.45188963794,0.0,0.13872596087,0.13872596087,0.13872596087,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.67237498877,5.56157027039,0.0,5.530438182,0.0,0.140582062793,0.140582062793,0.140582062793,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.10519665189,5.61468667642,0.0,5.58160650003,0.0,0.141860944529,0.141860944529,0.141860944529,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.02445587388,4.62620800091,0.0,4.59824062254,0.0,0.116343641668,0.116343641668,0.116343641668,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.75268025421,3.53879537751,0.0,3.51499287694,0.0,0.0885750294142,0.0885750294142,0.0885750294142,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
