Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.0605623061,11.9702509244,0.0,11.5173227966,0.0,0.33976870016,0.33976870016,0.33976870016,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424418638146
 01/01  02:00:00,0.952262105414,12.6771277254,0.0,12.3188135521,0.0,0.363043927639,0.363043927639,0.363043927639,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33206444308
 01/01  03:00:00,0.909249125209,12.9256411431,0.0,12.5935505748,0.0,0.371112908938,0.371112908938,0.371112908938,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306145182741
 01/01  04:00:00,0.901311506458,13.1252102785,0.0,12.7867754957,0.0,0.376827701559,0.376827701559,0.376827701559,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312854610949
 01/01  05:00:00,0.902661005442,13.3171378507,0.0,12.9058521601,0.0,0.380359896995,0.380359896995,0.380359896995,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.386671813157
 01/01  06:00:00,0.966617617965,13.9159073157,0.0,13.1837901857,0.0,0.388636596124,0.388636596124,0.388636596124,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704650021002
 01/01  07:00:00,1.22406518633,15.4783126362,0.0,14.1448632247,0.0,0.417194500374,0.417194500374,0.417194500374,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30171386812
 01/01  08:00:00,1.53888141612,15.1882476471,0.0,13.6805793995,0.0,0.403171355805,0.403171355805,0.403171355805,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47394685511
 01/01  09:00:00,1.49574343007,14.8616945126,0.0,13.392031265,0.0,0.394543641738,0.394543641738,0.394543641738,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44115375802
 01/01  10:00:00,1.30491903675,13.9601890251,0.0,12.6218826752,0.0,0.37184455124,0.37184455124,0.37184455124,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3140424688
