Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.03482720973,10.986362482,0.0,10.5321943566,0.0,0.314033603794,0.314033603794,0.314033603794,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425658635792
 01/01  02:00:00,0.922155555474,11.5421006537,0.0,11.182747798,0.0,0.332937377699,0.332937377699,0.332937377699,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333103125434
 01/01  03:00:00,0.884010205514,11.9472909773,0.0,11.6142314328,0.0,0.345873989243,0.345873989243,0.345873989243,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307114159021
 01/01  04:00:00,0.881879870876,12.3404172919,0.0,12.0009138262,0.0,0.357396065977,0.357396065977,0.357396065977,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313923293757
 01/01  05:00:00,0.88934414476,12.7360292286,0.0,12.3236106455,0.0,0.367043036313,0.367043036313,0.367043036313,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387804705711
 01/01  06:00:00,0.947962978573,13.1555533156,0.0,12.4225117313,0.0,0.369981956733,0.369981956733,0.369981956733,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705574475255
 01/01  07:00:00,1.19562437812,14.3818155961,0.0,13.047596572,0.0,0.388753692165,0.388753692165,0.388753692165,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30248348071
 01/01  08:00:00,1.51219709847,14.1518511573,0.0,12.6432787518,0.0,0.376487038149,0.376487038149,0.376487038149,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47485101303
 01/01  09:00:00,1.47341859169,13.9732236561,0.0,12.5024509279,0.0,0.372218803355,0.372218803355,0.372218803355,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44226323857
 01/01  10:00:00,1.27912636716,12.9667328898,0.0,11.6275750922,0.0,0.346051881651,0.346051881651,0.346051881651,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31489391649
 01/01  11:00:00,1.31598162086,14.1520969377,0.0,12.9687038897,0.0,0.386698023508,0.386698023508,0.386698023508,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15855852069
 01/01  12:00:00,1.24278392577,10.9935259007,0.0,9.95509984333,0.0,0.295574226623,0.295574226623,0.295574226623,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01358392141
 01/01  13:00:00,1.18940197077,9.74711361766,0.0,8.81661288109,0.0,0.262219884602,0.262219884602,0.262219884602,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.906077074554
 01/01  14:00:00,1.14131139804,8.93797964379,0.0,8.0742154212,0.0,0.240088295516,0.240088295516,0.240088295516,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838496004036
 01/01  15:00:00,1.13081190758,8.54783963724,0.0,7.74670947053,0.0,0.230398760588,0.230398760588,0.230398760588,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.774439136698
