Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.14458378051,15.8417348407,0.0,15.3919221035,0.0,0.423790174576,0.423790174576,0.423790174576,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.421303247676
 01/01  02:00:00,1.03133862445,16.4125060382,0.0,16.0576716587,0.0,0.442120446672,0.442120446672,0.442120446672,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.328584649286
 01/01  03:00:00,0.988127665043,16.672450697,0.0,16.3435439098,0.0,0.449991448772,0.449991448772,0.449991448772,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.302961401682
 01/01  04:00:00,0.980415090131,16.8943558189,0.0,16.5592768493,0.0,0.455931285232,0.455931285232,0.455931285232,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.3094987977
 01/01  05:00:00,0.979654693039,17.0191079485,0.0,16.6109343022,0.0,0.457353584591,0.457353584591,0.457353584591,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.383559768914
 01/01  06:00:00,1.02917578495,17.1159459291,0.0,16.3872478976,0.0,0.451194763112,0.451194763112,0.451194763112,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70123092256
 01/01  07:00:00,1.27313531561,18.2646927979,0.0,16.9345805776,0.0,0.466264629662,0.466264629662,0.466264629662,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.29837667692
 01/01  08:00:00,1.57246867144,17.3673734238,0.0,15.8629315253,0.0,0.436758611121,0.436758611121,0.436758611121,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47072050599
 01/01  09:00:00,1.53432242362,17.1974824362,0.0,15.7308740586,0.0,0.433122635282,0.433122635282,0.433122635282,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.438098888
 01/01  10:00:00,1.36447914773,17.0041359518,0.0,15.6684778325,0.0,0.431404662219,0.431404662219,0.431404662219,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31139423827
