Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.14325282145,15.790330864,0.0,15.3435821006,0.0,0.42245921551,0.42245921551,0.42245921551,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.418239273811
 01/01  02:00:00,1.00915484208,15.6056255077,0.0,15.2519638566,0.0,0.419936664307,0.419936664307,0.419936664307,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.327411920935
 01/01  03:00:00,0.960351182461,15.6627133514,0.0,15.3347110443,0.0,0.422214966191,0.422214966191,0.422214966191,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.302056921621
 01/01  04:00:00,0.950094817667,15.7926494599,0.0,15.4580543578,0.0,0.425611012768,0.425611012768,0.425611012768,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.309014930171
 01/01  05:00:00,0.959008448988,16.2691263392,0.0,15.8610693944,0.0,0.436707340541,0.436707340541,0.436707340541,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.383443067353
 01/01  06:00:00,1.02320778894,16.8992833059,0.0,16.1704922122,0.0,0.4452267671,0.4452267671,0.4452267671,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.701323984689
 01/01  07:00:00,1.27642824657,18.384341715,0.0,17.054178765,0.0,0.469557560614,0.469557560614,0.469557560614,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.29842740663
 01/01  08:00:00,1.58989385532,18.0002940721,0.0,16.4958085692,0.0,0.454183794999,0.454183794999,0.454183794999,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4707641104
 01/01  09:00:00,1.55941476095,18.1092296871,0.0,16.6422196367,0.0,0.458214972617,0.458214972617,0.458214972617,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.43850056083
 01/01  10:00:00,1.37764974609,17.4823555916,0.0,16.146829706,0.0,0.444575260578,0.444575260578,0.444575260578,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3112620046
 01/01  11:00:00,1.40448323514,18.4380810856,0.0,17.2590971837,0.0,0.475199637792,0.475199637792,0.475199637792,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15414937459
 01/01  12:00:00,1.35880482527,15.9839060273,0.0,14.949001887,0.0,0.411595126121,0.411595126121,0.411595126121,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01006200436
 01/01  13:00:00,1.31993370587,15.1905068841,0.0,14.2646118271,0.0,0.392751619702,0.392751619702,0.392751619702,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.901471394975
 01/01  14:00:00,1.27893957402,14.5771749015,0.0,13.7185401062,0.0,0.377716471499,0.377716471499,0.377716471499,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.833366576819
