Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.03898366291,12.010380309,0.0,11.556559979,0.0,0.318190056972,0.318190056972,0.318190056972,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425310840375
 01/01  02:00:00,0.923470321952,12.4992607843,0.0,12.1399297925,0.0,0.334252144178,0.334252144178,0.334252144178,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333081261625
 01/01  03:00:00,0.889029175387,13.0776866526,0.0,12.7443188101,0.0,0.350892959116,0.350892959116,0.350892959116,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30742245699
 01/01  04:00:00,0.889732296622,13.6053553566,0.0,13.2657071123,0.0,0.365248491723,0.365248491723,0.365248491723,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314068072434
 01/01  05:00:00,0.897959078136,14.0562499215,0.0,13.643775986,0.0,0.375657969689,0.375657969689,0.375657969689,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387860057991
 01/01  06:00:00,0.963197535248,14.7240666353,0.0,13.9909392031,0.0,0.385216513408,0.385216513408,0.385216513408,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705660323193
 01/01  07:00:00,1.21118587252,16.0189713995,0.0,14.6845968364,0.0,0.404315186565,0.404315186565,0.404315186565,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30263901973
 01/01  08:00:00,1.5183064267,15.4040689725,0.0,13.8957763103,0.0,0.382596366382,0.382596366382,0.382596366382,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47457126962
 01/01  09:00:00,1.46722780077,14.7649286516,0.0,13.2940190524,0.0,0.366028012431,0.366028012431,0.366028012431,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44240010958
 01/01  10:00:00,1.26456298264,13.3788901534,0.0,12.0395550255,0.0,0.331488497133,0.331488497133,0.331488497133,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3150712468
 01/01  11:00:00,1.27332967326,13.6793859105,0.0,12.4956422261,0.0,0.344046075911,0.344046075911,0.344046075911,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15890915708
 01/01  12:00:00,1.23760505133,11.5870945205,0.0,10.5470652888,0.0,0.290395352184,0.290395352184,0.290395352184,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01518709564
 01/01  13:00:00,1.18330118692,10.233417719,0.0,9.30216292026,0.0,0.256119100747,0.256119100747,0.256119100747,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.906831136743
 01/01  14:00:00,1.14612145112,9.75919296295,0.0,8.89462883058,0.0,0.244898348599,0.244898348599,0.244898348599,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.839295913816
 01/01  15:00:00,1.13669649536,9.38354540546,0.0,8.58173480776,0.0,0.236283348362,0.236283348362,0.236283348362,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.775119567693
 01/01  16:00:00,1.21166673715,9.54710312993,0.0,8.73680362338,0.0,0.240552902223,0.240552902223,0.240552902223,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.782124796125
 01/01  17:00:00,1.47976861299,9.78665003264,0.0,8.88874849715,0.0,0.244736443704,0.244736443704,0.244736443704,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.864575791055
 01/01  18:00:00,2.01353187037,11.5470047273,0.0,10.4793948495,0.0,0.288532162706,0.288532162706,0.288532162706,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02712442437
 01/01  19:00:00,2.31877478413,10.2948875033,0.0,9.06511535358,0.0,0.249592402587,0.249592402587,0.249592402587,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18581716666
 01/01  20:00:00,2.28137650217,10.2444894871,0.0,8.97981622572,0.0,0.247243837409,0.247243837409,0.247243837409,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21930307554
 01/01  21:00:00,2.13127515389,10.3606604899,0.0,9.18068693108,0.0,0.252774467743,0.252774467743,0.252774467743,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1330436064
 01/01  22:00:00,1.96357959867,10.4032403772,0.0,9.34084892744,0.0,0.2571842536,0.2571842536,0.2571842536,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01655713826
 01/01  23:00:00,1.64343700909,10.5672881374,0.0,9.69104995201,0.0,0.266826438139,0.266826438139,0.266826438139,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.836574462596
 01/01  24:00:00,1.32451361369,10.777918571,0.0,10.1074260672,0.0,0.278290640294,0.278290640294,0.278290640294,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.636025466759
 01/02  01:00:00,1.0070513301,11.072946207,0.0,10.6355420207,0.0,0.292831407237,0.292831407237,0.292831407237,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.408894696765
 01/02  02:00:00,0.887693680465,11.335189813,0.0,10.9838883805,0.0,0.302422526765,0.302422526765,0.302422526765,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325051702261
 01/02  03:00:00,0.840591021448,11.4073477909,0.0,11.0799000573,0.0,0.305066043604,0.305066043604,0.305066043604,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301502348062
 01/02  04:00:00,0.830947709954,11.5136584511,0.0,11.1802609712,0.0,0.307829309227,0.307829309227,0.307829309227,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.307817308018
 01/02  05:00:00,0.829602025122,11.6576405327,0.0,11.2580854328,0.0,0.309972072291,0.309972072291,0.309972072291,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.374941222417
 01/02  06:00:00,0.88045589617,11.8295545087,0.0,11.1345801777,0.0,0.30657156693,0.30657156693,0.30657156693,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667507222038
 01/02  07:00:00,1.0953521227,12.1093898562,0.0,10.8634676669,0.0,0.299106948963,0.299106948963,0.299106948963,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21418664595
 01/02  08:00:00,1.42664959745,12.7361624476,0.0,11.3354037323,0.0,0.312100899049,0.312100899049,0.312100899049,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36703732279
 01/02  09:00:00,1.36282917041,12.0381915345,0.0,10.6804068357,0.0,0.294066682965,0.294066682965,0.294066682965,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32927520925
 01/02  10:00:00,1.18706356044,12.0947259816,0.0,10.8603145534,0.0,0.299020133392,0.299020133392,0.299020133392,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21014754714
 01/02  11:00:00,1.20478306619,12.9481022255,0.0,11.855312606,0.0,0.326415698128,0.326415698128,0.326415698128,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06795509213
 01/02  12:00:00,1.18332101715,11.4459590351,0.0,10.4818614937,0.0,0.288600077523,0.288600077523,0.288600077523,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.939255405411
 01/02  13:00:00,1.14873060113,10.6480056587,0.0,9.78303254442,0.0,0.269359021051,0.269359021051,0.269359021051,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.840549452275
