Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.651821509092,0.711156537616,0.0,0.333612723057,0.0,0.00925386857833,0.00925386857833,0.00925386857833,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351393898771
 01/01  02:00:00,0.558793806332,1.30017176042,0.0,0.996022356254,0.0,0.0276280230005,0.0276280230005,0.0276280230005,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.28007221989
 01/01  03:00:00,0.525465438268,1.65558431623,0.0,1.3711494166,0.0,0.0380334310581,0.0380334310581,0.0380334310581,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871119
 01/01  04:00:00,0.520086622322,1.94314208063,0.0,1.65358310705,0.0,0.0458676773948,0.0458676773948,0.0458676773948,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931979
 01/01  05:00:00,0.526627040049,2.27226946434,0.0,1.9261540421,0.0,0.0534283471082,0.0534283471082,0.0534283471082,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.583359410732,2.68484417286,0.0,2.0878388947,0.0,0.0579132191581,0.0579132191581,0.0579132191581,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811470845
 01/01  07:00:00,0.78319833365,3.11019591064,0.0,2.0437059328,0.0,0.0566890433362,0.0566890433362,0.0566890433362,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101101
 01/01  08:00:00,1.07754598007,3.05595076444,0.0,1.85586170442,0.0,0.0514785532005,0.0514785532005,0.0514785532005,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.02171668034,2.44401556437,0.0,1.27616160867,0.0,0.0353986253975,0.0353986253975,0.0353986253975,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.880990954891,1.75818197535,0.0,0.69540944289,0.0,0.0192895149012,0.0192895149012,0.0192895149012,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683952
