Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.950399449082,8.79412067014,0.0,8.33920997754,0.0,0.229605843146,0.229605843146,0.229605843146,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426401203017
 01/01  02:00:00,0.822253541302,8.8255281001,0.0,8.4637690488,0.0,0.233035363527,0.233035363527,0.233035363527,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335509321102
 01/01  03:00:00,0.771341839671,8.80614976898,0.0,8.46995283236,0.0,0.233205623401,0.233205623401,0.233205623401,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310251551112
 01/01  04:00:00,0.761975337648,8.96836952159,0.0,8.62561567401,0.0,0.237491532749,0.237491532749,0.237491532749,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317173675712
 01/01  05:00:00,0.768691279097,9.365012081,0.0,8.94881132509,0.0,0.24639017065,0.24639017065,0.24639017065,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391586878459
 01/01  06:00:00,0.824099306121,9.67586738045,0.0,8.9389365001,0.0,0.246118284281,0.246118284281,0.246118284281,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709463771354
 01/01  07:00:00,1.0671211509,10.7905069757,0.0,9.45221273222,0.0,0.260250464951,0.260250464951,0.260250464951,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30655870008
 01/01  08:00:00,1.38404014296,10.5321486695,0.0,9.01926830116,0.0,0.248330082637,0.248330082637,0.248330082637,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47915897585
 01/01  09:00:00,1.35552604255,10.7125656616,0.0,9.23704731392,0.0,0.254326254214,0.254326254214,0.254326254214,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44700885806
 01/01  10:00:00,1.19149277117,10.7298166248,0.0,9.38566857299,0.0,0.258418285664,0.258418285664,0.258418285664,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31988417081
 01/01  11:00:00,1.20966363297,11.3706925804,0.0,10.1833122299,0.0,0.280380035622,0.280380035622,0.280380035622,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16254582315
