Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.911232328282,1.87023718144,0.0,1.84226980306,0.0,0.0496076415137,0.0496076415137,0.0496076415137,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.731798978052,2.18023025514,0.0,2.15447966656,0.0,0.0578339133562,0.0578339133562,0.0578339133562,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.672126131637,2.42455790517,0.0,2.39910587414,0.0,0.0641974380404,0.0641974380404,0.0641974380404,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.667312148958,2.58096554121,0.0,2.55587177924,0.0,0.0682694166137,0.0682694166137,0.0682694166137,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.71729538967,2.69319520951,0.0,2.66904936776,0.0,0.0711383492694,0.0711383492694,0.0711383492694,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.982855345461,2.67003800046,0.0,2.64309318169,0.0,0.0703090814608,0.0703090814608,0.0703090814608,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.60070307213,2.62076150707,0.0,2.58962941868,0.0,0.0689101526527,0.0689101526527,0.0689101526527,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338524605
 01/01  08:00:00,2.02226938146,2.24766268172,0.0,2.21458250532,0.0,0.0589336774501,0.0589336774501,0.0589336774501,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262252219
 01/01  09:00:00,1.9669702371,2.24048988436,0.0,2.21252250599,0.0,0.058858004898,0.058858004898,0.058858004898,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488213
 01/01  10:00:00,1.72080981533,2.14825778178,0.0,2.12445528121,0.0,0.0567045905364,0.0567045905364,0.0567045905364,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.61927122338,2.33910837955,0.0,2.31474608358,0.0,0.0619806138619,0.0619806138619,0.0619806138619,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.52977226973,1.86354977746,0.0,1.83918001754,0.0,0.0492499543445,0.0492499543445,0.0492499543445,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266154725
 01/01  13:00:00,1.43379460273,1.72812272248,0.0,1.7041634792,0.0,0.0457002308681,0.0457002308681,0.0457002308681,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750163429
 01/01  14:00:00,1.35583286625,1.46624384896,0.0,1.44145610848,0.0,0.0387530699389,0.0387530699389,0.0387530699389,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995948
 01/01  15:00:00,1.30615368854,1.25541058397,0.0,1.22922708695,0.0,0.0330897870071,0.0330897870071,0.0330897870071,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.37632982004,1.14707014831,0.0,1.11943118324,0.0,0.0301688359135,0.0301688359135,0.0301688359135,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.68022995381,0.914375388894,0.0,0.881683337312,0.0,0.0238049948084,0.0238049948084,0.0238049948084,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.2529427064,0.565661732778,0.0,0.525946114862,0.0,0.0142006765484,0.0142006765484,0.0142006765484,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.68267513563,0.358598394919,0.0,0.315479220948,0.0,0.00850112866551,0.00850112866551,0.00850112866551,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
 01/01  20:00:00,2.66692520995,0.349495220299,0.0,0.304987753727,0.0,0.00821742136631,0.00821742136631,0.00821742136631,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670133
 01/01  21:00:00,2.46175665214,0.443224835734,0.0,0.397187261724,0.0,0.0107053320154,0.0107053320154,0.0107053320154,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747947
 01/01  22:00:00,2.2262571795,0.720844601229,0.0,0.675881834395,0.0,0.0182351027328,0.0182351027328,0.0182351027328,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454410742
 01/01  23:00:00,1.79613534981,1.01944111533,0.0,0.980531602798,0.0,0.0264537824978,0.0264537824978,0.0264537824978,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370613663
 01/01  24:00:00,1.35167795238,1.33255276115,0.0,1.29874111876,0.0,0.0350208348622,0.0350208348622,0.0350208348622,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.890857913555,1.75072283038,0.0,1.722755452,0.0,0.0463710937853,0.0463710937853,0.0463710937853,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.716018311011,1.94502469245,0.0,1.91927410388,0.0,0.0515599648572,0.0515599648572,0.0515599648572,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247156796
