Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.907472091902,1.7986782374,0.0,1.77071085903,0.0,0.0459103579241,0.0459103579241,0.0459103579241,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158740512726
 01/01  02:00:00,0.744696156844,2.73555691712,0.0,2.70980632855,0.0,0.0707310896601,0.0707310896601,0.0707310896601,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844126344
 01/01  03:00:00,0.688097358861,3.12380754394,0.0,3.09835551291,0.0,0.0801686646207,0.0801686646207,0.0801686646207,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417461697
 01/01  04:00:00,0.686308547324,3.41547259221,0.0,3.39037883024,0.0,0.0872658149682,0.0872658149682,0.0872658149682,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553658
 01/01  05:00:00,0.746661694923,3.93705526119,0.0,3.91290941944,0.0,0.100504654522,0.100504654522,0.100504654522,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.02964313308,4.58745910206,0.0,4.56051428329,0.0,0.117096869085,0.117096869085,0.117096869085,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.66743862136,5.32469917671,0.0,5.29356708832,0.0,0.135645695389,0.135645695389,0.135645695389,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.09159172316,5.08183837075,0.0,5.04875819435,0.0,0.128256005924,0.128256005924,0.128256005924,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.85626226545
 01/01  09:00:00,2.00672958645,3.96701653235,0.0,3.93904915398,0.0,0.0986173525369,0.0986173525369,0.0986173525369,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306489918
 01/01  10:00:00,1.73106214398,2.70380939463,0.0,2.68000689406,0.0,0.0669569195715,0.0669569195715,0.0669569195715,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681286
