Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.977551149406,9.78127936108,0.0,9.32535095351,0.0,0.25675754347,0.25675754347,0.25675754347,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427418917985
 01/01  02:00:00,0.864966122124,10.3772472543,0.0,10.0150761727,0.0,0.275747944349,0.275747944349,0.275747944349,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335921351415
 01/01  03:00:00,0.811438966045,10.26228903,0.0,9.92626749639,0.0,0.273302749774,0.273302749774,0.273302749774,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310076148106
 01/01  04:00:00,0.802017849822,10.422050857,0.0,10.079946768,0.0,0.277534044924,0.277534044924,0.277534044924,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316523917167
 01/01  05:00:00,0.803357129849,10.62313207,0.0,10.2078638148,0.0,0.281056021402,0.281056021402,0.281056021402,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390654377706
 01/01  06:00:00,0.856428023366,10.8491766837,0.0,10.1131050566,0.0,0.278447001526,0.278447001526,0.278447001526,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708604518104
 01/01  07:00:00,1.07634018784,11.1243186403,0.0,9.78704517276,0.0,0.269469501889,0.269469501889,0.269469501889,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30553792412
 01/01  08:00:00,1.415893957,11.6881953669,0.0,10.1761885271,0.0,0.280183896685,0.280183896685,0.280183896685,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47828544728
 01/01  09:00:00,1.35808184226,10.8044292604,0.0,9.32987313297,0.0,0.256882053925,0.256882053925,0.256882053925,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44604663786
 01/01  10:00:00,1.16900707141,9.91203779748,0.0,8.56899522857,0.0,0.235932585901,0.235932585901,0.235932585901,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31877868787
