Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.920744391694,7.7201415605,0.0,7.26214788248,0.0,0.199950785758,0.199950785758,0.199950785758,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429484188438
 01/01  02:00:00,0.79607833996,7.87714200569,0.0,7.5130942001,0.0,0.206860162185,0.206860162185,0.206860162185,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337798075389
 01/01  03:00:00,0.749368117034,8.01001500279,0.0,7.67187433162,0.0,0.211231900763,0.211231900763,0.211231900763,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312195285668
 01/01  04:00:00,0.738555262681,8.11967608304,0.0,7.77500612436,0.0,0.214071457783,0.214071457783,0.214071457783,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319089786817
 01/01  05:00:00,0.737915263189,8.24878148706,0.0,7.83103637906,0.0,0.215614154742,0.215614154742,0.215614154742,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393131230547
 01/01  06:00:00,0.792641917206,8.53489299708,0.0,7.79641430679,0.0,0.214660895366,0.214660895366,0.214660895366,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711011581296
 01/01  07:00:00,1.01529298336,8.90969265601,0.0,7.56983044623,0.0,0.208422297407,0.208422297407,0.208422297407,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3081266664
 01/01  08:00:00,1.35595106422,9.51368124314,0.0,7.99908204417,0.0,0.220241003895,0.220241003895,0.220241003895,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48087780643
 01/01  09:00:00,1.30836476725,9.00136584421,0.0,7.52416504503,0.0,0.207164978911,0.207164978911,0.207164978911,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44869130959
 01/01  10:00:00,1.13967864252,8.84908845062,0.0,7.50379617479,0.0,0.206604157006,0.206604157006,0.206604157006,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32102839478
 01/01  11:00:00,1.16617516089,9.79296265839,0.0,8.60382498637,0.0,0.236891563541,0.236891563541,0.236891563541,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16430314466
 01/01  12:00:00,1.14824936279,8.34677754631,0.0,7.30169557509,0.0,0.201039663641,0.201039663641,0.201039663641,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02023983524
 01/01  13:00:00,1.11504280797,7.75878247215,0.0,6.82304066907,0.0,0.187860721802,0.187860721802,0.187860721802,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911318141071
 01/01  14:00:00,1.08258216028,7.45525672605,0.0,6.58690233344,0.0,0.18135905776,0.18135905776,0.18135905776,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84308617405
 01/01  15:00:00,1.07889273528,7.28807619493,0.0,6.48232093319,0.0,0.178479588284,0.178479588284,0.178479588284,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779064231723
 01/01  16:00:00,1.1491020482,7.27873395395,0.0,6.46447435169,0.0,0.177988213274,0.177988213274,0.177988213274,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786084891843
 01/01  17:00:00,1.41241644391,7.34432904587,0.0,6.44253949527,0.0,0.177384274625,0.177384274625,0.177384274625,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868463806174
 01/01  18:00:00,1.93102853471,8.55451977674,0.0,7.48290037677,0.0,0.206028827049,0.206028827049,0.206028827049,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03113394651
