Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.93326814593,8.17491281049,0.0,7.71700658664,0.0,0.212474539994,0.212474539994,0.212474539994,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429396734268
 01/01  02:00:00,0.817405689351,8.65169366229,0.0,8.28769663358,0.0,0.228187511577,0.228187511577,0.228187511577,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337747298514
 01/01  03:00:00,0.77770128956,9.03869759252,0.0,8.70092599591,0.0,0.239565073289,0.239565073289,0.239565073289,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311826211101
 01/01  04:00:00,0.770592569965,9.28286539062,0.0,8.93859076529,0.0,0.246108765066,0.246108765066,0.246108765066,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318694453458
 01/01  05:00:00,0.773517467604,9.54135644994,0.0,9.12409693108,0.0,0.251216359157,0.251216359157,0.251216359157,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392645641409
 01/01  06:00:00,0.832198150879,9.97093047383,0.0,9.23308392285,0.0,0.254217129039,0.254217129039,0.254217129039,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710379441985
 01/01  07:00:00,1.07654959204,11.1338376415,0.0,9.79465066536,0.0,0.269678906083,0.269678906083,0.269678906083,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30745143277
 01/01  08:00:00,1.40252270195,11.2043287667,0.0,9.69054886735,0.0,0.266812641632,0.266812641632,0.266812641632,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48005850686
 01/01  09:00:00,1.32754853551,9.69638143932,0.0,8.22091330495,0.0,0.226348747171,0.226348747171,0.226348747171,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44695864479
 01/01  10:00:00,1.13430260807,8.6531870779,0.0,7.30854034206,0.0,0.201228122559,0.201228122559,0.201228122559,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3203828548
