Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.16609775165,16.6223569346,0.0,16.1733025785,0.0,0.445304145717,0.445304145717,0.445304145717,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.420544866443
 01/01  02:00:00,1.04895937457,17.0522623097,0.0,16.6976516052,0.0,0.459741196791,0.459741196791,0.459741196791,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.328360974293
 01/01  03:00:00,1.01133860036,17.5152509517,0.0,17.1865575749,0.0,0.473202384085,0.473202384085,0.473202384085,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.302747991351
 01/01  04:00:00,1.00403497996,17.7521844227,0.0,17.4171436102,0.0,0.479551175062,0.479551175062,0.479551175062,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.309460640647
 01/01  05:00:00,1.0104392914,18.137003587,0.0,17.72902096,0.0,0.48813818295,0.48813818295,0.48813818295,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.383368749478
 01/01  06:00:00,1.06537252693,18.4305300765,0.0,17.7019018616,0.0,0.487391505092,0.487391505092,0.487391505092,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.701161105853
 01/01  07:00:00,1.28427312337,18.6689363712,0.0,17.3391021536,0.0,0.477402437413,0.477402437413,0.477402437413,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.29809867422
 01/01  08:00:00,1.62148335106,19.1479594361,0.0,17.6431288397,0.0,0.485773290742,0.485773290742,0.485773290742,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47110920388
 01/01  09:00:00,1.58164101272,18.9170868197,0.0,17.4494699136,0.0,0.480441224379,0.480441224379,0.480441224379,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.43910741649
 01/01  10:00:00,1.40315352713,18.4082511056,0.0,17.0731187865,0.0,0.470079041621,0.470079041621,0.470079041621,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.310868438
 01/01  11:00:00,1.44510834593,19.9134114689,0.0,18.734588071,0.0,0.515824748581,0.515824748581,0.515824748581,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15398887055
 01/01  12:00:00,1.39561746876,17.3201188046,0.0,16.286025195,0.0,0.448407769617,0.448407769617,0.448407769617,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0092514736
 01/01  13:00:00,1.34575546329,16.1278460228,0.0,15.2024497067,0.0,0.418573377117,0.418573377117,0.418573377117,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.900972654083
 01/01  14:00:00,1.30676767248,15.5876580896,0.0,14.7292476435,0.0,0.405544569953,0.405544569953,0.405544569953,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.833142227522
 01/01  15:00:00,1.29705399917,15.2015937732,0.0,14.4058674929,0.0,0.396640852175,0.396640852175,0.396640852175,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.769035250313
 01/01  16:00:00,1.34758618406,14.4777095656,0.0,13.673353984,0.0,0.37647234913,0.37647234913,0.37647234913,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.776180871202
 01/01  17:00:00,1.62012612576,14.8784923961,0.0,13.9864879748,0.0,0.385093956474,0.385093956474,0.385093956474,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.858678676787
 01/01  18:00:00,2.155810935,16.7090840535,0.0,15.6469244692,0.0,0.430811227331,0.430811227331,0.430811227331,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02167413083
 01/01  19:00:00,2.45236489844,15.1415150738,0.0,13.9170651075,0.0,0.383182516896,0.383182516896,0.383182516896,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18049498329
 01/01  20:00:00,2.40571283742,14.7548504931,0.0,13.4956717165,0.0,0.371580172658,0.371580172658,0.371580172658,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21380859076
 01/01  21:00:00,2.2531910799,14.7838040519,0.0,13.6086339409,0.0,0.374690393753,0.374690393753,0.374690393753,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.12824015857
 01/01  22:00:00,2.09004781916,14.9916943173,0.0,13.9341338009,0.0,0.383652474092,0.383652474092,0.383652474092,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01172620489
 01/01  23:00:00,1.76661250508,15.0361916385,0.0,14.1647441361,0.0,0.390001934125,0.390001934125,0.390001934125,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.831783779618
 01/01  24:00:00,1.44712497329,15.2260786534,0.0,14.5606310004,0.0,0.400901999899,0.400901999899,0.400901999899,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.630980615989
 01/02  01:00:00,1.1192936486,15.144625549,0.0,14.7121467341,0.0,0.405073725745,0.405073725745,0.405073725745,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.403969325301
 01/02  02:00:00,0.992916361517,15.1518484368,0.0,14.8055421315,0.0,0.407645207817,0.407645207817,0.407645207817,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.320056575119
 01/02  03:00:00,0.942623646854,15.108322801,0.0,14.7856920187,0.0,0.40709866901,0.40709866901,0.40709866901,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.296685396832
 01/02  04:00:00,0.927023191284,14.9985219464,0.0,14.6696913861,0.0,0.403904790557,0.403904790557,0.403904790557,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.303250388483
 01/02  05:00:00,0.917489047118,14.8451608879,0.0,14.4501136525,0.0,0.397859094287,0.397859094287,0.397859094287,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.370433357961
 01/02  06:00:00,0.967739389067,14.9952812478,0.0,14.3046884156,0.0,0.393855059827,0.393855059827,0.393855059827,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.663125723167
 01/02  07:00:00,1.19968666793,15.8946039928,0.0,14.6528646121,0.0,0.403441494199,0.403441494199,0.403441494199,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21000383722
 01/02  08:00:00,1.49129402617,15.0796231598,0.0,13.68326848,0.0,0.376745327772,0.376745327772,0.376745327772,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36263328731
 01/02  09:00:00,1.43839781487,14.7785599839,0.0,13.4250355666,0.0,0.369635327427,0.369635327427,0.369635327427,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32501492776
 01/02  10:00:00,1.22482549964,13.4621587971,0.0,12.2318159747,0.0,0.3367820726,0.3367820726,0.3367820726,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20607894127
 01/02  11:00:00,1.24860055153,14.5362468401,0.0,13.4467495049,0.0,0.370233183474,0.370233183474,0.370233183474,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06466280783
 01/02  12:00:00,1.21543988077,12.6090120646,0.0,11.6484082342,0.0,0.320718941139,0.320718941139,0.320718941139,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.935761694425
 01/02  13:00:00,1.18600147216,11.9983240833,0.0,11.1366985285,0.0,0.306629892087,0.306629892087,0.306629892087,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.83720189272
 01/02  14:00:00,1.14426977585,11.2135092325,0.0,10.4104798299,0.0,0.286634705846,0.286634705846,0.286634705846,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.777761184035
 01/02  15:00:00,1.12546710728,10.3409764364,0.0,9.59491519352,0.0,0.264179532456,0.264179532456,0.264179532456,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.71937021282
 01/02  16:00:00,1.17088101621,9.35674588063,0.0,8.60144933789,0.0,0.236826154135,0.236826154135,0.236826154135,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.727121832316
 01/02  17:00:00,1.42912780455,9.18570305288,0.0,8.35401792232,0.0,0.230013554507,0.230013554507,0.230013554507,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.798359386128
 01/02  18:00:00,1.9342452653,9.87300350365,0.0,8.88370166557,0.0,0.244597487852,0.244597487852,0.244597487852,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.94881638463
 01/02  19:00:00,2.23489473235,8.39511100015,0.0,7.26475856219,0.0,0.200022666346,0.200022666346,0.200022666346,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08639745495
 01/02  20:00:00,2.18698098731,7.94937744951,0.0,6.7951600485,0.0,0.187093076736,0.187093076736,0.187093076736,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.10884721515
 01/02  21:00:00,2.03773305055,8.12391527552,0.0,7.04920376472,0.0,0.194087734721,0.194087734721,0.194087734721,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02778155836
 01/02  22:00:00,1.87821638764,8.5080396679,0.0,7.53371425526,0.0,0.207427900036,0.207427900036,0.207427900036,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.928491101122
 01/02  23:00:00,1.56335500214,8.6169075786,0.0,7.81009766319,0.0,0.215037643115,0.215037643115,0.215037643115,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.767146192643
 01/02  24:00:00,1.25867107823,8.90718853432,0.0,8.2802670295,0.0,0.227982950172,0.227982950172,0.227982950172,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.592454467768
 01/03  01:00:00,0.960204689273,9.37092572229,0.0,8.9340871743,0.0,0.245984766413,0.245984766413,0.245984766413,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.408329058405
 01/03  02:00:00,0.840627458871,9.62492698295,0.0,9.27445843161,0.0,0.255356305171,0.255356305171,0.255356305171,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.324218821138
 01/03  03:00:00,0.796472393293,9.80407528278,0.0,9.47752574896,0.0,0.260947415449,0.260947415449,0.260947415449,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.300604148316
