Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.01739095303,5.87972475855,0.0,5.85175738018,0.0,0.155766266266,0.155766266266,0.155766266266,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.852048920743,6.79311638512,0.0,6.76736579654,0.0,0.178083835799,0.178083835799,0.178083835799,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844303947
 01/01  03:00:00,0.802299805712,7.46739622617,0.0,7.44194419515,0.0,0.194371106682,0.194371106682,0.194371106682,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417509603
 01/01  04:00:00,0.802855565122,7.86779863067,0.0,7.8427048687,0.0,0.203812832643,0.203812832643,0.203812832643,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072554893
 01/01  05:00:00,0.858224454875,8.21222090209,0.0,8.18807506034,0.0,0.212067354361,0.212067354361,0.212067354361,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137248787
 01/01  06:00:00,1.12312546365,8.16404770123,0.0,8.13710288246,0.0,0.210579198528,0.210579198528,0.210579198528,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635096031
 01/01  07:00:00,1.75499068317,8.67912506993,0.0,8.64799298154,0.0,0.223197757134,0.223197757134,0.223197757134,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252607
 01/01  08:00:00,2.15014893239,7.33492023472,0.0,7.30184005832,0.0,0.186813225026,0.186813225026,0.186813225026,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255573
 01/01  09:00:00,2.05695481682,5.85270729751,0.0,5.82473991914,0.0,0.148842583108,0.148842583108,0.148842583108,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330648972
 01/01  10:00:00,1.77144575545,4.21659745736,0.0,4.19279495679,0.0,0.107340531729,0.107340531729,0.107340531729,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428680597
 01/01  11:00:00,1.65368078667,3.7176440636,0.0,3.69328176763,0.0,0.096390179195,0.096390179195,0.096390179195,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958445686
 01/01  12:00:00,1.53590031106,2.13800601962,0.0,2.11363625971,0.0,0.055377991098,0.055377991098,0.055377991098,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.5482661593
 01/01  13:00:00,1.41888662812,1.19275207421,0.0,1.16879283093,0.0,0.0307922545783,0.0307922545783,0.0307922545783,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165103
 01/01  14:00:00,1.3351780629,0.706472114221,0.0,0.681684373741,0.0,0.0180982671678,0.0180982671678,0.0180982671678,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995365
 01/01  15:00:00,1.28699856797,0.550242605293,0.0,0.524059108272,0.0,0.0139346664374,0.0139346664374,0.0139346664374,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.37155880857,0.96667844896,0.0,0.939039483889,0.0,0.0253978244404,0.0253978244404,0.0253978244404,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.69497565484,1.45128354801,0.0,1.41859149643,0.0,0.0385506977429,0.0385506977429,0.0385506977429,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914886586
 01/01  18:00:00,2.3147369495,2.8352428835,0.0,2.79552726558,0.0,0.0759949259659,0.0759949259659,0.0759949259659,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680392946
 01/01  19:00:00,2.73626431357,2.36717142309,0.0,2.32405224912,0.0,0.0620903098435,0.0620903098435,0.0620903098435,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127804986
 01/01  20:00:00,2.72191755181,2.42498263389,0.0,2.38047516732,0.0,0.0632097638842,0.0632097638842,0.0632097638842,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909669471
 01/01  21:00:00,2.52527947745,2.84072006398,0.0,2.79468248997,0.0,0.0742281604722,0.0742281604722,0.0742281604722,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498744802
 01/01  22:00:00,2.2939795382,3.28517446776,0.0,3.24021170093,0.0,0.085957461386,0.085957461386,0.085957461386,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.55045441079
 01/01  23:00:00,1.86618652207,3.67942921031,0.0,3.64051969778,0.0,0.0965049541871,0.0965049541871,0.0965049541871,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.423735386,4.08355544673,0.0,4.04974380434,0.0,0.107078268474,0.107078268474,0.107078268474,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.959128603608,4.3670551295,0.0,4.33908775112,0.0,0.114641783838,0.114641783838,0.114641783838,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.785429878055,4.6113279633,0.0,4.58557737472,0.0,0.120971531948,0.120971531948,0.120971531948,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.723754891082,4.67143760212,0.0,4.64598557109,0.0,0.122516376798,0.122516376798,0.122516376798,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628046409
 01/02  04:00:00,0.717637795651,4.73906118986,0.0,4.7139674279,0.0,0.124339271087,0.124339271087,0.124339271087,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284517462
 01/02  05:00:00,0.759351180764,4.75242214687,0.0,4.72827630512,0.0,0.124819804824,0.124819804824,0.124819804824,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.12618267983
 01/02  06:00:00,1.00534347636,4.67198461085,0.0,4.64503979208,0.0,0.122654504304,0.122654504304,0.122654504304,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874495564
 01/02  07:00:00,1.5780656753,4.42370574927,0.0,4.39257366088,0.0,0.115976368238,0.115976368238,0.115976368238,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307145849
