Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,3.34131418253,0.0,2.22033011988,0.0,0.0776472925679,2.29797741245,0.0776472925679,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.157470106313
 01/01  02:00:00,3.14501805547,0.0,2.2408833584,0.0,0.0782206936705,2.31910405207,0.0782206936705,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.103051947553
 01/01  03:00:00,3.23181296247,0.0,2.40017651112,0.0,0.0835616951589,2.48373820628,0.0835616951589,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.088585263936
 01/01  04:00:00,3.3515229055,0.0,2.52840167088,0.0,0.0879326768305,2.61633434771,0.0879326768305,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0921629786781
 01/01  05:00:00,3.45191589886,0.0,2.5880485685,0.0,0.0899740992511,2.67802266775,0.0899740992511,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.133954114805
 01/01  06:00:00,3.68554769576,0.0,2.57155165948,0.0,0.0893862600219,2.6609379195,0.0893862600219,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.31871760701
 01/01  07:00:00,4.5374603498,0.0,2.7903084292,0.0,0.0969729316233,2.88728136082,0.0969729316233,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.66431920239
 01/01  08:00:00,4.23466998436,0.0,1.99495535609,0.0,0.069334178965,2.06428953506,0.069334178965,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.75928550558
 01/01  09:00:00,3.70413289407,0.0,1.56607632778,0.0,0.0544318098843,1.62050813767,0.0544318098843,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.735972919764
 01/01  10:00:00,2.90070127987,0.0,1.07443782406,0.0,0.037328518812,1.11176634287,0.037328518812,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.657183907221
 01/01  11:00:00,2.71013321953,0.0,0.988184727756,0.0,0.0343095514272,1.02249427918,0.0343095514272,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.56399129671
