Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.33866315511,7.64440270787,0.0,7.60986049352,0.0,0.211021018933,0.211021018933,0.211021018933,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177656292276
 01/01  02:00:00,1.0915025237,7.99221060642,0.0,7.9604063258,0.0,0.220707359872,0.220707359872,0.220707359872,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106890846934
 01/01  03:00:00,1.03069323796,9.11085163064,0.0,9.0794160953,0.0,0.251716616103,0.251716616103,0.251716616103,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0875096021077
 01/01  04:00:00,1.02752729262,9.39741779731,0.0,9.36642475631,0.0,0.259672022875,0.259672022875,0.259672022875,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0929533221453
 01/01  05:00:00,1.11122504113,10.4735127672,0.0,10.4436904924,0.0,0.289545051908,0.289545051908,0.289545051908,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.15013215432
 01/01  06:00:00,1.43056570949,10.6879325142,0.0,10.6546532524,0.0,0.295401976756,0.295401976756,0.295401976756,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396872540097
 01/01  07:00:00,2.23356953209,11.7692893234,0.0,11.7308384091,0.0,0.325256714365,0.325256714365,0.325256714365,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.859685411404
 01/01  08:00:00,2.8308056739,11.2630624827,0.0,11.2222055054,0.0,0.311194917312,0.311194917312,0.311194917312,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991315686374
 01/01  09:00:00,2.66993968643,8.92047491009,0.0,8.88593269575,0.0,0.246412821719,0.246412821719,0.246412821719,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964608714359
 01/01  10:00:00,2.26462003377,7.51649798798,0.0,7.48709977033,0.0,0.207603353875,0.207603353875,0.207603353875,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864567575215
 01/01  11:00:00,2.10947865291,6.92646962003,0.0,6.89638000498,0.0,0.191214973251,0.191214973251,0.191214973251,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.742740255773
 01/01  12:00:00,1.96864663766,5.07398283869,0.0,5.043884005,0.0,0.13984379936,0.13984379936,0.13984379936,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632356702711
 01/01  13:00:00,1.84712841151,4.56631201883,0.0,4.5367202099,0.0,0.125775080587,0.125775080587,0.125775080587,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.54781275538
 01/01  14:00:00,1.74298525027,3.76959953024,0.0,3.73898445316,0.0,0.103655417754,0.103655417754,0.103655417754,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.495553717722
 01/01  15:00:00,1.68485011291,3.3565626471,0.0,3.32422368582,0.0,0.0921545407849,0.0921545407849,0.0921545407849,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446094729047
 01/01  16:00:00,1.79471794127,3.54651171995,0.0,3.51237512542,0.0,0.097368933813,0.097368933813,0.097368933813,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.451700292793
 01/01  17:00:00,2.2478333296,4.45898912653,0.0,4.41861151809,0.0,0.122502980311,0.122502980311,0.122502980311,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.515261673438
 01/01  18:00:00,3.10221755548,5.87264474548,0.0,5.82359240427,0.0,0.161485882975,0.161485882975,0.161485882975,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.641911051026
 01/01  19:00:00,3.74735785004,6.00143204413,0.0,5.9481760067,0.0,0.164967213842,0.164967213842,0.164967213842,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767115828174
 01/01  20:00:00,3.77279510124,6.46632315681,0.0,6.41135245381,0.0,0.177826449904,0.177826449904,0.177826449904,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.793651209564
 01/01  21:00:00,3.47705340781,6.68444311575,0.0,6.62758259318,0.0,0.183830762135,0.183830762135,0.183830762135,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.725483544836
 01/01  22:00:00,3.15078718666,7.37014602406,0.0,7.3146129845,0.0,0.20288794398,0.20288794398,0.20288794398,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.634404000927
 01/01  23:00:00,2.56739615591,7.82261892263,0.0,7.77456219368,0.0,0.215640889397,0.215640889397,0.215640889397,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.495463701863
 01/01  24:00:00,1.98620199585,8.82130076997,0.0,8.77954036672,0.0,0.243494578585,0.243494578585,0.243494578585,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.340938278597
 01/02  01:00:00,1.36379614556,9.27427936471,0.0,9.23973715036,0.0,0.256244868349,0.256244868349,0.256244868349,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165234730211
 01/02  02:00:00,1.12010386877,9.42614501966,0.0,9.39434073904,0.0,0.260515445804,0.260515445804,0.260515445804,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.10028896747
 01/02  03:00:00,1.03457344383,9.53398957771,0.0,9.50255404237,0.0,0.263503347245,0.263503347245,0.263503347245,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0826495216566
 01/02  04:00:00,1.02792879518,9.65421408339,0.0,9.62322104239,0.0,0.266830346737,0.266830346737,0.266830346737,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0877894723687
 01/02  05:00:00,1.07842475974,9.77935353189,0.0,9.74953125716,0.0,0.2703100648,0.2703100648,0.2703100648,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139683208236
 01/02  06:00:00,1.37181347057,9.82463774131,0.0,9.79135847956,0.0,0.271449230753,0.271449230753,0.271449230753,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.366852521847
 01/02  07:00:00,2.08625506499,9.38674707347,0.0,9.34829615913,0.0,0.25914551267,0.25914551267,0.25914551267,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.790878576853
 01/02  08:00:00,2.65010050328,8.660614256,0.0,8.61975727869,0.0,0.238920631255,0.238920631255,0.238920631255,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.907573057235
 01/02  09:00:00,2.53379324304,8.54318352965,0.0,8.50864131531,0.0,0.235821433494,0.235821433494,0.235821433494,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.876897176678
 01/02  10:00:00,2.13814913965,7.77285415104,0.0,7.74345593338,0.0,0.21457564537,0.21457564537,0.21457564537,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.783660624214
 01/02  11:00:00,1.98563754773,7.11309915473,0.0,7.08300953968,0.0,0.196224691283,0.196224691283,0.196224691283,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.673291699813
 01/02  12:00:00,1.85964830649,5.43481885973,0.0,5.40472002604,0.0,0.149676300414,0.149676300414,0.149676300414,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.574762756377
 01/02  13:00:00,1.74492619803,4.69880517238,0.0,4.66921336345,0.0,0.129252758004,0.129252758004,0.129252758004,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.497911788056
 01/02  14:00:00,1.70771928182,5.90355095437,0.0,5.87293587729,0.0,0.162550207178,0.162550207178,0.162550207178,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.452245664262
 01/02  15:00:00,1.66060398493,5.55380514379,0.0,5.52146618251,0.0,0.152825276102,0.152825276102,0.152825276102,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.406824366469
 01/02  16:00:00,1.76274699978,5.36906289826,0.0,5.33492630373,0.0,0.147654954369,0.147654954369,0.147654954369,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.412678798937
 01/02  17:00:00,2.17549781709,5.09345348336,0.0,5.05307587492,0.0,0.139849380761,0.139849380761,0.139849380761,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.467483999451
 01/02  18:00:00,2.98971011995,5.38162118061,0.0,5.33256883939,0.0,0.147551141509,0.147551141509,0.147551141509,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.5845822754
 01/02  19:00:00,3.59332717959,4.58689431078,0.0,4.53363827334,0.0,0.125444209605,0.125444209605,0.125444209605,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.69263686328
 01/02  20:00:00,3.59681470176,4.58161154991,0.0,4.52664084691,0.0,0.125250376948,0.125250376948,0.125250376948,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.710199096126
 01/02  21:00:00,3.29924005077,4.61791946845,0.0,4.56105894587,0.0,0.126201752966,0.126201752966,0.126201752966,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.64596379553
