Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.01977536991,6.05216042961,0.0,5.56547512199,0.0,0.173746415911,0.173746415911,0.173746415911,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.870172308428,6.24410004141,0.0,5.8423116517,0.0,0.182421520849,0.182421520849,0.182421520849,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.831552439385,6.97813244381,0.0,6.59822406006,0.0,0.206018357076,0.206018357076,0.206018357076,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.810042051367,6.80905851547,0.0,6.42249076059,0.0,0.200524340143,0.200524340143,0.200524340143,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.820764991188,7.27922925863,0.0,6.82560945436,0.0,0.213149621075,0.213149621075,0.213149621075,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.877997862424,7.40525234227,0.0,6.65819408267,0.0,0.207925861697,0.207925861697,0.207925861697,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.16930940253,8.56623095275,0.0,7.27070374798,0.0,0.227044885878,0.227044885878,0.227044885878,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.5870023306,8.70897675128,0.0,7.25717738377,0.0,0.226633624606,0.226633624606,0.226633624606,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.49586967949,7.56393604297,0.0,6.1521902028,0.0,0.192165827843,0.192165827843,0.192165827843,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.21036717259,4.89360219135,0.0,3.61757303503,0.0,0.113055448142,0.113055448142,0.113055448142,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.1643342739,3.50888947748,0.0,2.40172173393,0.0,0.075042310304,0.075042310304,0.075042310304,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.15120701737,2.27547974563,0.0,1.31368228185,0.0,0.0410037733565,0.0410037733565,0.0410037733565,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.0982493069,1.18527375297,0.0,0.331073023589,0.0,0.0103229029428,0.0103229029428,0.0103229029428,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.790363372392,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.735184849719,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.13975401648,0.746962844237,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.45494086286,0.83279347709,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.05999026183,1.47859090935,0.0,0.478173178171,0.0,0.0149240582243,0.0149240582243,0.0149240582243,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.49236972678,2.09039074398,0.0,0.924022333703,0.0,0.0288135490747,0.0288135490747,0.0288135490747,0.97379546807,0.210849436083,0.522761393651,0.705923879905
 01/01  20:00:00,2.48890412881,3.08623817754,0.0,1.8768106819,0.0,0.0585174047604,0.0585174047604,0.0585174047604,1.03255891233,0.223573112062,0.425376441419,0.728652258243
 01/01  21:00:00,2.32079306202,3.85865632125,0.0,2.72120685771,0.0,0.0848339688407,0.0848339688407,0.0848339688407,0.889847515476,0.192672749665,0.37951047539,0.753702352649
 01/01  22:00:00,2.16178407168,5.42574554582,0.0,4.3901227614,0.0,0.136928619886,0.136928619886,0.136928619886,0.74713612112,0.161772409833,0.359614732068,0.736106188774
 01/01  23:00:00,1.78160095331,5.70786319164,0.0,4.84014764246,0.0,0.150980172149,0.150980172149,0.150980172149,0.562450849685,0.121783726791,0.289154633287,0.637005571394
 01/01  24:00:00,1.41527631456,6.45592952138,0.0,5.77098710032,0.0,0.180113093286,0.180113093286,0.180113093286,0.386160211764,0.0836126988533,0.191618322082,0.55354598857
 01/02  01:00:00,1.04878408049,7.21508819523,0.0,6.74039369232,0.0,0.210424423386,0.210424423386,0.210424423386,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/02  02:00:00,0.918572672396,7.935250955,0.0,7.53895567438,0.0,0.235426746216,0.235426746216,0.235426746216,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/02  03:00:00,0.880681718382,8.64162548035,0.0,8.26655056235,0.0,0.258194080894,0.258194080894,0.258194080894,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/02  04:00:00,0.87242627711,8.84682297905,0.0,8.46570378875,0.0,0.264501537409,0.264501537409,0.264501537409,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/02  05:00:00,0.865940235935,8.8062366012,0.0,8.36474839176,0.0,0.261441214019,0.261441214019,0.261441214019,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/02  06:00:00,0.914305721463,8.67562682927,0.0,7.9639063828,0.0,0.249013195403,0.249013195403,0.249013195403,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/02  07:00:00,1.16807561899,8.83092187406,0.0,7.61664870894,0.0,0.238207533188,0.238207533188,0.238207533188,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
