Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.14006293277,11.1203262548,0.0,10.6002668501,0.0,0.294033978762,0.294033978762,0.294033978762,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.984274128104,11.1266248408,0.0,10.6900112364,0.0,0.296523340525,0.296523340525,0.296523340525,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.944255041144,11.9076303508,0.0,11.4902611888,0.0,0.318720958835,0.318720958835,0.318720958835,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.944424667004,12.4996975818,0.0,12.0737852005,0.0,0.33490695578,0.33490695578,0.33490695578,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.934785771523,12.2875064529,0.0,11.7948734191,0.0,0.327170401411,0.327170401411,0.327170401411,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,1.02747027208,13.6717332287,0.0,12.8846232808,0.0,0.357398271352,0.357398271352,0.357398271352,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.28830700837,13.8119519313,0.0,12.4752342199,0.0,0.346042491716,0.346042491716,0.346042491716,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.73118242711,14.8616590428,0.0,13.368265845,0.0,0.37081372112,0.37081372112,0.37081372112,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.59017059106,11.7746935754,0.0,10.3229398631,0.0,0.286466739414,0.286466739414,0.286466739414,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.31403715717,9.11732272573,0.0,7.80484496146,0.0,0.216725432727,0.216725432727,0.216725432727,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
