Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.992938342869,5.7504792128,0.0,5.28465991215,0.0,0.146909388866,0.146909388866,0.146909388866,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.865492583007,6.78370799232,0.0,6.3939823433,0.0,0.177741795428,0.177741795428,0.177741795428,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.826313198509,7.5874922504,0.0,7.21512546233,0.0,0.2007791162,0.2007791162,0.2007791162,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.832955744393,8.40743933165,0.0,8.02589882765,0.0,0.223438033169,0.223438033169,0.223438033169,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.842536367289,8.88553621677,0.0,8.43545580081,0.0,0.234920997177,0.234920997177,0.234920997177,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.905145118103,9.18263305078,0.0,8.43793821643,0.0,0.235073117375,0.235073117375,0.235073117375,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.20515311591,10.7295438294,0.0,9.43382060651,0.0,0.26288859926,0.26288859926,0.26288859926,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.568745964,8.92578622203,0.0,7.47521841283,0.0,0.208377258006,0.208377258006,0.208377258006,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.47115464879,7.40686654032,0.0,6.00301733941,0.0,0.167450797143,0.167450797143,0.167450797143,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.21056417283,5.32501487728,0.0,4.06199978312,0.0,0.113252448388,0.113252448388,0.113252448388,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.16821811778,3.9293427471,0.0,2.83252721593,0.0,0.0789261541913,0.0789261541913,0.0789261541913,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.1565844822,2.61751420149,0.0,1.66624026339,0.0,0.0463812381864,0.0463812381864,0.0463812381864,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.08792640396,0.841212280942,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.776540651781,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.721696487367,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.13975401648,0.733956810457,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.45494086286,0.821566655699,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.04506620361,0.989244282272,0.0,0.0,0.0,0.0,0.0,0.0,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.46355617771,1.14748333335,0.0,0.0,0.0,0.0,0.0,0.0,0.97379546807,0.210849436083,0.522761393651,0.705923879905
 01/01  20:00:00,2.43196772298,1.24312672222,0.0,0.0569727184939,0.0,0.00158099892319,0.00158099892319,0.00158099892319,1.03255891233,0.223573112062,0.425376441419,0.728652258243
 01/01  21:00:00,2.25539887555,1.81281110855,0.0,0.699538618634,0.0,0.0194397823707,0.0194397823707,0.0194397823707,0.889847515476,0.192672749665,0.37951047539,0.753702352649
 01/01  22:00:00,2.05283678094,2.01429816984,0.0,1.00715962143,0.0,0.0279813291484,0.0279813291484,0.0279813291484,0.74713612112,0.161772409833,0.359614732068,0.736106188774
 01/01  23:00:00,1.67630388546,2.48427282035,0.0,1.64441643815,0.0,0.0456831043012,0.0456831043012,0.0456831043012,0.562450849685,0.121783726791,0.289154633287,0.637005571394
 01/01  24:00:00,1.30775277944,3.26897145804,0.0,2.61263844819,0.0,0.0725895581748,0.0725895581748,0.0725895581748,0.386160211764,0.0836126988533,0.191618322082,0.55354598857
 01/02  01:00:00,0.934308613411,3.90108935118,0.0,3.45314556204,0.0,0.0959489563036,0.0959489563036,0.0959489563036,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/02  02:00:00,0.802458100367,4.66560362198,0.0,4.29357571399,0.0,0.119312174187,0.119312174187,0.119312174187,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/02  03:00:00,0.755153790228,5.1253217361,0.0,4.77366056178,0.0,0.13266615274,0.13266615274,0.13266615274,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
