Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.927498219037,3.37776052558,0.0,2.93706174056,0.0,0.0814692650344,0.0814692650344,0.0814692650344,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.799866092255,4.40679938994,0.0,4.04188710621,0.0,0.112115304676,0.112115304676,0.112115304676,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.755155980814,5.01879205283,0.0,4.67302017118,0.0,0.129621898505,0.129621898505,0.129621898505,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.762378205572,5.86851313471,0.0,5.51079857419,0.0,0.152860494348,0.152860494348,0.152860494348,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.781377875607,6.69066620904,0.0,6.26434038183,0.0,0.173762505495,0.173762505495,0.173762505495,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.860359972193,7.58405643221,0.0,6.86010264661,0.0,0.190287971466,0.190287971466,0.190287971466,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.14650316215,8.63549323818,0.0,7.36304066781,0.0,0.204238645495,0.204238645495,0.204238645495,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.52136513537,7.23246957336,0.0,5.80410849284,0.0,0.160996429378,0.160996429378,0.160996429378,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.41912093902,5.5431603168,0.0,4.16092021211,0.0,0.115417087379,0.115417087379,0.115417087379,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.15997969156,3.4985939642,0.0,2.25925308746,0.0,0.0626679671117,0.0626679671117,0.0626679671117,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.10807822479,1.74932793154,0.0,0.677266561517,0.0,0.0187862611934,0.0187862611934,0.0187862611934,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.11020324402,0.923214464802,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.08792640396,0.812224011668,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.744336860503,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.690391820783,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.13975401648,0.705073523868,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.45494086286,0.795291849973,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.04506620361,0.967714548003,0.0,0.0,0.0,0.0,0.0,0.0,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.46355617771,1.130497226,0.0,0.0,0.0,0.0,0.0,0.0,0.97379546807,0.210849436083,0.522761393651,0.705923879905
