Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.971250492715,4.96416869298,0.0,4.49798624506,0.0,0.125221538712,0.125221538712,0.125221538712,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.841552871478,5.90787718077,0.0,5.52324958206,0.0,0.153802083899,0.153802083899,0.153802083899,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.789121122733,6.23863903834,0.0,5.87364624618,0.0,0.163587040424,0.163587040424,0.163587040424,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.76903630647,6.09874906238,0.0,5.72641338229,0.0,0.159518595246,0.159518595246,0.159518595246,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.771631249607,6.32656313009,0.0,5.88687804359,0.0,0.164015879495,0.164015879495,0.164015879495,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.827371256412,6.37711867204,0.0,5.64510470691,0.0,0.157299255685,0.157299255685,0.157299255685,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.09181216421,6.64650222974,0.0,5.36726680079,0.0,0.149547647562,0.149547647562,0.149547647562,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.52329684671,7.28178191426,0.0,5.84710410426,0.0,0.162928140719,0.162928140719,0.162928140719,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.42670478873,5.81039528311,0.0,4.41615611817,0.0,0.123000937081,0.123000937081,0.123000937081,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.2071492414,5.20586390558,0.0,3.94252406028,0.0,0.109837516957,0.109837516957,0.109837516957,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.19683348687,4.97260686834,0.0,3.86143750426,0.0,0.10754152328,0.10754152328,0.10754152328,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.20478476974,4.375518472,0.0,3.39736434541,0.0,0.0945815257269,0.0945815257269,0.0945815257269,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.16103081077,3.49781893011,0.0,2.62672155862,0.0,0.0731044068106,0.0731044068106,0.0731044068106,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.12661612765,3.31503059331,0.0,2.50518349068,0.0,0.0697230556701,0.0697230556701,0.0697230556701,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.11570443108,2.92755054193,0.0,2.17604455806,0.0,0.0605650869177,0.0605650869177,0.0605650869177,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.18708720221,2.4622352216,0.0,1.70149350471,0.0,0.0473331857255,0.0473331857255,0.0473331857255,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.51050827486,2.84124522204,0.0,1.99727825944,0.0,0.0555674119987,0.0555674119987,0.0555674119987,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.10702582947,3.23349738724,0.0,2.22693395542,0.0,0.0619596258676,0.0619596258676,0.0619596258676,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.51769679415,3.11106569447,0.0,1.9465774692,0.0,0.0541406164433,0.0541406164433,0.0541406164433,0.97379546807,0.210849436083,0.522761393651,0.705923879905
 01/01  20:00:00,2.48104009263,3.01976151017,0.0,1.82120262168,0.0,0.0506533685806,0.0506533685806,0.0506533685806,1.03255891233,0.223573112062,0.425376441419,0.728652258243
