Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.16505448984,6.04944351779,0.0,5.58685752082,0.0,0.189324642971,0.189324642971,0.189324642971,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.04473086934,8.08452118377,0.0,7.73050222321,0.0,0.261967789171,0.261967789171,0.261967789171,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.968036587845,8.00378522892,0.0,7.68039182461,0.0,0.260241832956,0.260241832956,0.260241832956,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.968912399732,8.52861376579,0.0,8.19745943448,0.0,0.277818598161,0.277818598161,0.277818598161,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.944274962904,7.99592348128,0.0,7.57951204561,0.0,0.256894792938,0.256894792938,0.256894792938,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,0.96640154845,7.0230800749,0.0,6.23159638474,0.0,0.21121644917,0.21121644917,0.21121644917,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.27979642318,7.53846703025,0.0,6.04439915824,0.0,0.204829153309,0.204829153309,0.204829153309,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.76911709997,7.57812050276,0.0,5.88016990056,0.0,0.199236532593,0.199236532593,0.199236532593,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.67238158693,6.81928063669,0.0,5.16576680066,0.0,0.175025976432,0.175025976432,0.175025976432,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.42529497722,7.67676905097,0.0,6.17693109687,0.0,0.209285911085,0.209285911085,0.209285911085,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.37889603903,6.69073673268,0.0,5.37302478035,0.0,0.182018169139,0.182018169139,0.182018169139,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.38008000735,5.94198646847,0.0,4.7907921581,0.0,0.162276594904,0.162276594904,0.162276594904,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.35393502857,5.72338394682,0.0,4.70045727089,0.0,0.159192873324,0.159192873324,0.159192873324,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.319460466,5.49655527832,0.0,4.55243475437,0.0,0.154168546322,0.154168546322,0.154168546322,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.32271572632,5.40285671872,0.0,4.53194163173,0.0,0.153465225488,0.153465225488,0.153465225488,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.42877155033,5.51420708886,0.0,4.63353868315,0.0,0.156898782292,0.156898782292,0.156898782292,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.80275639456,5.53875279605,0.0,4.55589284719,0.0,0.154271547378,0.154271547378,0.154271547378,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.52116998244,5.89112626927,0.0,4.71020222764,0.0,0.159509138771,0.159509138771,0.159509138771,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.04523893598,5.58859184369,0.0,4.21778259236,0.0,0.14286395016,0.14286395016,0.14286395016,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.04165015544,5.79363388946,0.0,4.38280807033,0.0,0.148474843982,0.148474843982,0.148474843982,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.80218726647,5.80570336661,0.0,4.4946694404,0.0,0.152285628093,0.152285628093,0.152285628093,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.55501052147,6.19178214491,0.0,5.01804903212,0.0,0.170036042026,0.170036042026,0.170036042026,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.09014855914,6.20794678741,0.0,5.2519594197,0.0,0.177971588062,0.177971588062,0.177971588062,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.63891575834,6.49622239572,0.0,5.78041343508,0.0,0.195888146111,0.195888146111,0.195888146111,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.16188065103,6.16348098463,0.0,5.71959741771,0.0,0.193820101051,0.193820101051,0.193820101051,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,0.972617703215,6.08250560961,0.0,5.73845704923,0.0,0.194459484448,0.194459484448,0.194459484448,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,0.898564779783,6.03713128572,0.0,5.7200187361,0.0,0.193816469714,0.193816469714,0.193816469714,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,0.889371527367,6.22400214402,0.0,5.89938767052,0.0,0.199870697319,0.199870697319,0.199870697319,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,0.890700836635,6.49528260521,0.0,6.09331244079,0.0,0.206437014864,0.206437014864,0.206437014864,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,0.95430770627,6.76530499954,0.0,6.01838515507,0.0,0.203902081656,0.203902081656,0.203902081656,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.29159711511,8.14969932839,0.0,6.75965987133,0.0,0.229026276096,0.229026276096,0.229026276096,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.75320206884,7.70853077199,0.0,6.13837692218,0.0,0.208009756892,0.208009756892,0.208009756892,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.67138960224,7.77106009234,0.0,6.25142560721,0.0,0.21187750923,0.21187750923,0.21187750923,0.485879522289,0.11071855625,0.32820696637,0.511307048096
