Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.44055496228,14.1284500846,0.0,13.6751204369,0.0,0.464825115404,0.464825115404,0.464825115404,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.27865287287,14.9317024176,0.0,14.5876816405,0.0,0.495889792707,0.495889792707,0.495889792707,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.22584202752,15.5519968096,0.0,15.2382190911,0.0,0.518047272629,0.518047272629,0.518047272629,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.23999217907,16.465197939,0.0,16.1439022159,0.0,0.548898377502,0.548898377502,0.548898377502,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.23836451326,16.6109226792,0.0,16.2042895959,0.0,0.550984343293,0.550984343293,0.550984343293,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.30957645521,17.0852027797,0.0,16.3040899174,0.0,0.554391355928,0.554391355928,0.554391355928,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.67127831912,19.0190580403,0.0,17.5363815961,0.0,0.59631104925,0.59631104925,0.59631104925,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.1451097,18.5988900619,0.0,16.912660938,0.0,0.57522913262,0.57522913262,0.57522913262,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.95341061495,15.0530984966,0.0,13.4100956813,0.0,0.456055004459,0.456055004459,0.456055004459,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.58400963651,12.3156773649,0.0,10.8251680162,0.0,0.368000570371,0.368000570371,0.368000570371,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.51419691162,10.6461230142,0.0,9.33707157016,0.0,0.31731904173,0.31731904173,0.31731904173,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.43558382229,7.55350368027,0.0,6.41027021073,0.0,0.217780409843,0.217780409843,0.217780409843,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.35837681556,5.83389097345,0.0,4.81812856993,0.0,0.163634660312,0.163634660312,0.163634660312,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.31137683403,5.23942037267,0.0,4.30227050758,0.0,0.146084914349,0.146084914349,0.146084914349,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.31426901529,5.13507150972,0.0,4.27117374791,0.0,0.145018514458,0.145018514458,0.145018514458,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.43802002005,5.76686932617,0.0,4.893407669,0.0,0.166147252013,0.166147252013,0.166147252013,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.85743716136,7.12806871849,0.0,6.15302530749,0.0,0.208952314178,0.208952314178,0.208952314178,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.64190220179,9.42122263554,0.0,8.24919212269,0.0,0.280241358116,0.280241358116,0.280241358116,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.18197666267,9.58993060801,0.0,8.22806545223,0.0,0.279601676853,0.279601676853,0.279601676853,1.25248956773,0.285407820314,0.522761393651,0.788316204123
