Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,1.396898596,12.35878136,0,11.9033111,0,0.421168749,0.421168749,0.421168749,0.259135764,0.059049886,0.122837148,0.511307048
 01/01  02:00:00,1.179015287,11.5449493,0,11.19842447,0,0.396252207,0.396252207,0.396252207,0.151162507,0.03444578,0.102975686,0.470779108
 01/01  03:00:00,1.091631405,11.16578083,0,10.84877951,0,0.38383665,0.38383665,0.38383665,0.107973244,0.024604122,0.08649659,0.465320799
 01/01  04:00:00,1.112477691,12.23594523,0,11.91109513,0,0.421383889,0.421383889,0.421383889,0.107973244,0.024604122,0.076345607,0.458770829
 01/01  05:00:00,1.102153438,12.13352071,0,11.7234989,0,0.414773268,0.414773268,0.414773268,0.107973244,0.024604122,0.089962105,0.441440699
 01/01  06:00:00,1.171208369,12.54299583,0,11.75828793,0,0.41602327,0.41602327,0.41602327,0.107973244,0.024604122,0.106595392,0.492612342
 01/01  07:00:00,1.467419323,12.57923874,0,11.09242557,0,0.392452053,0.392452053,0.392452053,0.248338385,0.056589491,0.177474276,0.569165118
 01/01  08:00:00,1.986669428,13.47047231,0,11.77991171,0,0.416788861,0.416788861,0.416788861,0.507474149,0.115639378,0.281086459,0.604780581
 01/01  09:00:00,1.864552237,12.02404063,0,10.37743619,0,0.367196627,0.367196627,0.367196627,0.485879522,0.110718556,0.366050484,0.511307048
 01/01  10:00:00,1.511791764,9.854963718,0,8.361529224,0,0.295782698,0.295782698,0.295782698,0.248338385,0.056589491,0.452517545,0.435163645
 01/01  11:00:00,1.480198816,9.321796001,0,8.010269883,0,0.283320946,0.283320946,0.283320946,0.205149136,0.046747818,0.476182943,0.445397973
 01/01  12:00:00,1.411615876,6.625907655,0,5.48050356,0,0.193812464,0.193812464,0.193812464,0.205149136,0.046747818,0.496972028,0.445534431
 01/01  13:00:00,1.376133598,6.147026251,0,5.129896926,0,0.181391443,0.181391443,0.181391443,0.205149136,0.046747818,0.481415945,0.438029257
 01/01  14:00:00,1.298463246,4.705503244,0,3.766780552,0,0.133171326,0.133171326,0.133171326,0.205149136,0.046747818,0.436818903,0.453176063
 01/01  15:00:00,1.294312623,4.403192476,0,3.537647738,0,0.125062123,0.125062123,0.125062123,0.215946513,0.049208244,0.40200209,0.478693655
 01/01  16:00:00,1.405466076,4.654298936,0,3.779076427,0,0.133593308,0.133593308,0.133593308,0.269933141,0.061510312,0.411726406,0.505302909
 01/01  17:00:00,1.803665619,5.365899318,0,4.389026339,0,0.155180772,0.155180772,0.155180772,0.453487652,0.103337309,0.470575106,0.59768478
 01/01  18:00:00,2.545558645,6.374236909,0,5.199802869,0,0.183897801,0.183897801,0.183897801,0.842191296,0.191912154,0.578065906,0.726091487
 01/01  19:00:00,3.079678546,6.377161386,0,5.012468723,0,0.17730356,0.17730356,0.17730356,1.252489568,0.28540782,0.522761394,0.788316204
 01/01  20:00:00,3.104480398,7.377312649,0,5.972936492,0,0.211305086,0.211305086,0.211305086,1.328070821,0.30263071,0.425376441,0.813697339
 01/01  21:00:00,2.885098401,7.952668344,0,6.647810334,0,0.235196762,0.235196762,0.235196762,1.14451631,0.260803683,0.379510475,0.84167117
 01/01  22:00:00,2.668792791,9.188585679,0,8.021369599,0,0.283818311,0.283818311,0.283818311,0.960961802,0.218976687,0.359614732,0.822021259
 01/01  23:00:00,2.222824655,9.729077997,0,8.7795469,0,0.310647684,0.310647684,0.310647684,0.723420662,0.164847621,0.289154633,0.711354054
 01/01  24:00:00,1.78105792,10.26303747,0,9.553836511,0,0.338030308,0.338030308,0.338030308,0.496676902,0.113178952,0.191618322,0.618153437
 01/02  01:00:00,1.313417088,10.19885188,0,9.761635185,0,0.345356539,0.345356539,0.345356539,0.259135764,0.059049886,0.115167851,0.511307048
 01/02  02:00:00,1.104966612,9.576602664,0,9.239069603,0,0.326808393,0.326808393,0.326808393,0.151162507,0.03444578,0.098370824,0.470779108
 01/02  03:00:00,1.019796588,9.219909338,0,8.908948489,0,0.315048277,0.315048277,0.315048277,0.107973244,0.024604122,0.083450145,0.465320799
 01/02  04:00:00,1.023809902,9.774981427,0,9.456609929,0,0.334309072,0.334309072,0.334309072,0.107973244,0.024604122,0.074752636,0.458770829
 01/02  05:00:00,1.055585866,10.9003721,0,10.50505854,0,0.371322044,0.371322044,0.371322044,0.107973244,0.024604122,0.086845757,0.441440699
 01/02  06:00:00,1.110039856,10.91478328,0,10.1745189,0,0.359634231,0.359634231,0.359634231,0.107973244,0.024604122,0.101815918,0.492612342
 01/02  07:00:00,1.458181294,12.57595358,0,11.19277497,0,0.395610455,0.395610455,0.395610455,0.248338385,0.056589491,0.165077845,0.569165118
 01/02  08:00:00,1.896102232,11.49156235,0,9.927772838,0,0.35090992,0.35090992,0.35090992,0.507474149,0.115639378,0.256398204,0.604780581
