Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.33219106195,10.9756996874,0.0,10.5181777642,0.0,0.356461215074,0.356461215074,0.356461215074,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.15548261477,11.3464824066,0.0,10.9979702065,0.0,0.372719534602,0.372719534602,0.372719534602,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.10587451741,12.064215349,0.0,11.7458739533,0.0,0.398079762521,0.398079762521,0.398079762521,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.08198128088,11.8595366523,0.0,11.5332854993,0.0,0.390887479308,0.390887479308,0.390887479308,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.10386770313,12.7004033825,0.0,12.2888181351,0.0,0.416487533161,0.416487533161,0.416487533161,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.19107527401,13.6464272717,0.0,12.8606798322,0.0,0.435890174725,0.435890174725,0.435890174725,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.56383467096,15.9070217881,0.0,14.419962319,0.0,0.48886740109,0.48886740109,0.48886740109,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.97116803895,13.5262099637,0.0,11.8350155533,0.0,0.401287471571,0.401287471571,0.401287471571,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.84722417232,11.9687684714,0.0,10.3209923021,0.0,0.349868561829,0.349868561829,0.349868561829,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.52249722088,10.5387843232,0.0,9.04393689848,0.0,0.306488154746,0.306488154746,0.306488154746,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.44904763164,8.75704776512,0.0,7.44342730528,0.0,0.252169761751,0.252169761751,0.252169761751,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.35959050699,5.33525135808,0.0,4.18697006876,0.0,0.141787094544,0.141787094544,0.141787094544,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.29638548773,4.02324237545,0.0,3.00250844098,0.0,0.10164333249,0.10164333249,0.10164333249,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.25535386475,3.60260512733,0.0,2.66066266002,0.0,0.0900619450663,0.0900619450663,0.0900619450663,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.26230505753,3.61759571177,0.0,2.74907352195,0.0,0.0930545566912,0.0930545566912,0.0930545566912,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.38135748139,4.11214422777,0.0,3.23416286115,0.0,0.109484713345,0.109484713345,0.109484713345,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.78665984362,5.0603927181,0.0,4.08082574787,0.0,0.138174996434,0.138174996434,0.138174996434,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.55861633969,6.99107104941,0.0,5.8145373682,0.0,0.19695549602,0.19695549602,0.19695549602,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.10973455179,7.48616420173,0.0,6.11999493145,0.0,0.20735956597,0.20735956597,0.20735956597,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.11597452299,7.98112403815,0.0,6.57494650804,0.0,0.222799211529,0.222799211529,0.222799211529,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.89861856602,8.64574537095,0.0,7.33934617984,0.0,0.248716927639,0.248716927639,0.248716927639,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.64673457641,8.89313669026,0.0,7.72410031728,0.0,0.261760096965,0.261760096965,0.261760096965,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.22224646125,10.1004754937,0.0,9.14932443173,0.0,0.310069490166,0.310069490166,0.310069490166,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.7729446139,10.4454402856,0.0,9.73472560183,0.0,0.329917001675,0.329917001675,0.329917001675,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.35476756236,11.8482104276,0.0,11.4097500309,0.0,0.386707012384,0.386707012384,0.386707012384,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
