Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,8.23792864939,0.0,6.94536009268,0.0,0.242680125917,7.1880402186,0.242680125917,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.164021767021
 01/01  02:00:00,8.06089135213,0.0,6.98306771731,0.0,0.24401711919,7.2270848365,0.24401711919,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.110944459777
 01/01  03:00:00,8.1187456933,0.0,7.11368688716,0.0,0.248626702156,7.36231358932,0.248626702156,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0969426117354
 01/01  04:00:00,8.74826307014,0.0,7.73385676445,0.0,0.270272097738,8.00412886218,0.270272097738,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.101108628849
 01/01  05:00:00,9.11190922331,0.0,8.04706524572,0.0,0.281226515821,8.32829176154,0.281226515821,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.143678345469
 01/01  06:00:00,9.41634273303,0.0,8.0989258253,0.0,0.28248584831,8.38141167361,0.28248584831,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.329038890173
 01/01  07:00:00,10.1137242267,0.0,8.16962177362,0.0,0.28248584831,8.45210762193,0.28248584831,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.675756818145
 01/01  08:00:00,10.1283997917,0.0,7.68105811213,0.0,0.265321559449,7.94637967158,0.265321559449,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.770925176435
 01/01  09:00:00,9.74152437871,0.0,7.38786289763,0.0,0.258005818454,7.64586871608,0.258005818454,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.748003825996
 01/01  10:00:00,8.99560286759,0.0,6.95032858356,0.0,0.243121222431,7.19344980599,0.243121222431,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.670402031831
 01/01  11:00:00,8.80287155568,0.0,6.86155688518,0.0,0.239990200723,7.1015470859,0.239990200723,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.577676826142
 01/01  12:00:00,7.20352534632,0.0,5.37663791212,0.0,0.188193797633,5.56483170975,0.188193797633,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.494125388717
 01/01  13:00:00,6.80548695059,0.0,5.07605430765,0.0,0.177599528861,5.25365383651,0.177599528861,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.430054514891
 01/01  14:00:00,6.36801240726,0.0,4.71923181867,0.0,0.165012427349,4.88424424602,0.165012427349,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.391987953025
 01/01  15:00:00,6.39091482862,0.0,4.77672858093,0.0,0.166997744419,4.94372632535,0.166997744419,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.355222745087
 01/01  16:00:00,6.6638025009,0.0,4.95121501684,0.0,0.172993618606,5.12420863545,0.172993618606,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.360216659476
 01/01  17:00:00,7.23425769469,0.0,5.14210910169,0.0,0.179641019816,5.3217501215,0.179641019816,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.408303947591
 01/01  18:00:00,8.15905649732,0.0,5.3569326259,0.0,0.187146266959,5.54407889286,0.187146266959,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.504828864646
 01/01  19:00:00,8.6315495208,0.0,5.30451599942,0.0,0.185346617668,5.48986261709,0.185346617668,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.601358899544
 01/01  20:00:00,8.79935283842,0.0,5.4747686372,0.0,0.191294298351,5.66606293556,0.191294298351,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.62302693278
 01/01  21:00:00,8.88947923923,0.0,5.8010494223,0.0,0.202670219246,6.00371964155,0.202670219246,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.571340223847
 01/01  22:00:00,8.99576267647,0.0,6.17835756834,0.0,0.215840708201,6.39419827655,0.215840708201,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.502918659128
 01/01  23:00:00,8.72578491358,0.0,6.40933560975,0.0,0.2239254397,6.63326104945,0.2239254397,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.399980518017
 01/01  24:00:00,8.53970882939,0.0,6.73177311159,0.0,0.235221416136,6.96699452773,0.235221416136,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.286106839489
 01/02  01:00:00,8.34102368584,0.0,7.06116190316,0.0,0.2467263404,7.30788824356,0.2467263404,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.154938075414
 01/02  02:00:00,8.37265020541,0.0,7.29333997441,0.0,0.254843751793,7.5481837262,0.254843751793,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.106209284764
 01/02  03:00:00,8.44461292191,0.0,7.43489258968,0.0,0.259812067911,7.69470465759,0.259812067911,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0934652168877
 01/02  04:00:00,8.57915372862,0.0,7.57564141863,0.0,0.26475607904,7.84039749767,0.26475607904,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0973236233636
 01/02  05:00:00,8.78314433111,0.0,7.73997854223,0.0,0.2705049027,8.01048344493,0.2705049027,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.135838118074
 01/02  06:00:00,8.99025085679,0.0,7.71359457846,0.0,0.269575429411,7.98317000787,0.269575429411,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.305968154337
