Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.02828281997,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.142416156201
 01/01  02:00:00,0.812527573769,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0896655179199
 01/01  03:00:00,0.735941861172,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.07645236892
 01/01  04:00:00,0.7237335053,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0807079261903
 01/01  05:00:00,0.763270635116,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.123331518814
 01/01  06:00:00,1.01461735651,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.308725187265
 01/01  07:00:00,1.64089356179,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.655033775206
 01/01  08:00:00,2.16175471526,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.750659771537
 01/01  09:00:00,2.07536762139,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.727715784757
 01/01  10:00:00,1.78121715165,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.649466121877
 01/01  11:00:00,1.67859175934,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.554944115705
 01/01  12:00:00,1.61461156467,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.470043316816
 01/01  13:00:00,1.52721154228,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.405432943099
 01/01  14:00:00,1.45906236977,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.367282161551
 01/01  15:00:00,1.42285121092,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.330885452726
 01/01  16:00:00,1.5154953851,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.336118179129
 01/01  17:00:00,1.88877409696,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.384570471366
 01/01  18:00:00,2.59233765014,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.482188910331
 01/01  19:00:00,3.11959795226,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.579269948089
 01/01  20:00:00,3.11184945563,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.601586485546
 01/01  21:00:00,2.8639457491,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.549526375258
 01/01  22:00:00,2.57954664912,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.480900908315
 01/01  23:00:00,2.0707351715,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.378191825386
 01/01  24:00:00,1.55048671184,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.263879249665
 01/02  01:00:00,1.01096639258,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.132769025702
 01/02  02:00:00,0.802317929515,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0840607350647
 01/02  03:00:00,0.727749475481,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0713064280499
 01/02  04:00:00,0.716593979626,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0751613720389
 01/02  05:00:00,0.750478365778,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.113655597672
 01/02  06:00:00,0.984903534341,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.283790839762
 01/02  07:00:00,1.57412482959,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.600661473854
 01/02  08:00:00,2.07169381159,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.685287123289
 01/02  09:00:00,1.96995314181,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.660144822662
 01/02  10:00:00,1.6673518172,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.588137022045
 01/02  11:00:00,1.56873046328,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.504485086893
 01/02  12:00:00,1.51436502022,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.43103365825
 01/02  13:00:00,1.4394647695,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.373465093888
 01/02  14:00:00,1.38143825249,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.340510748693
 01/02  15:00:00,1.35325562482,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.306936367346
 01/02  16:00:00,1.44791148279,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.311769745006
 01/02  17:00:00,1.81509007332,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.352790686695
 01/02  18:00:00,2.51061952103,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.441714699655
 01/02  19:00:00,3.02537827389,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.525078971044
 01/02  20:00:00,3.01012947958,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.539818722574
 01/02  21:00:00,2.76513819946,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.491383424193
 01/02  22:00:00,2.48987477331,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.432770366079
 01/02  23:00:00,1.99990991054,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.340375311577
 01/02  24:00:00,1.50932668023,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.240843204225
 01/03  01:00:00,1.01249635323,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.134298986358
 01/03  02:00:00,0.803571250255,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0853140558054
 01/03  03:00:00,0.72886531445,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0724222670185
 01/03  04:00:00,0.71766248382,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0762298762338
 01/03  05:00:00,0.751604202164,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.114781434058
 01/03  06:00:00,0.986276624279,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.2851639297
 01/03  07:00:00,1.57598129292,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.602517937186
 01/03  08:00:00,2.07416187917,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.68775519087
 01/03  09:00:00,1.97263697025,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.662828651106
 01/03  10:00:00,1.67009191308,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.590877117923
 01/03  11:00:00,1.57051846683,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.50627309045
 01/03  12:00:00,1.51459800605,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.43126664408
 01/03  13:00:00,1.43978939995,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.373789724337
 01/03  14:00:00,1.38169775236,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.340770248559
 01/03  15:00:00,1.35402225879,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.30770300131
 01/03  16:00:00,1.44931013664,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.313168398855
 01/03  17:00:00,1.81769460074,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.355395214115
 01/03  18:00:00,2.51391211933,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.445007297962
 01/03  19:00:00,3.0297606497,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.529461346846
 01/03  20:00:00,3.01518984139,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.544879084388
 01/03  21:00:00,2.77012243571,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.496367660444
 01/03  22:00:00,2.49445495538,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.437350548147
 01/03  23:00:00,2.29663284741,0.0,0.281891320359,0.0,0.00959132469923,0.291482645058,0.00959132469923,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.345615603391
 01/03  24:00:00,2.49092782933,0.0,0.943949329841,0.0,0.0321520536081,0.976101383449,0.0321520536081,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.246342969881
 01/04  01:00:00,3.03898504369,0.0,1.95412161182,0.0,0.0666491785124,2.02077079033,0.0666491785124,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.140016886482
 01/04  02:00:00,3.30271921876,0.0,2.41095219753,0.0,0.0823423658198,2.49329456335,0.0823423658198,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0911674609596
 01/04  03:00:00,3.95118143545,0.0,3.10948396787,0.0,0.106355398142,3.21583936601,0.106355398142,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0788990220114
 01/04  04:00:00,4.25714410836,0.0,3.41536804842,0.0,0.116935494511,3.53230354294,0.116935494511,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0834079578333
 01/04  05:00:00,4.84235775708,0.0,3.94761299782,0.0,0.135233253331,4.08284625116,0.135233253331,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.122688737815
 01/04  06:00:00,5.72810840134,0.0,4.57637040683,0.0,0.156808915971,4.7331793228,0.156808915971,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.293816383964
 01/04  07:00:00,7.17856600348,0.0,5.40785846287,0.0,0.1853457377,5.59320420057,0.1853457377,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.611898447182
 01/04  08:00:00,7.17326406108,0.0,4.92086097286,0.0,0.168818216453,5.08967918931,0.168818216453,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.697178183471
 01/04  09:00:00,7.16204019515,0.0,5.00769718563,0.0,0.17196259352,5.17965977915,0.17196259352,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.672572096848
 01/04  10:00:00,5.69528760094,0.0,3.88244726615,0.0,0.133516140924,4.01596340708,0.133516140924,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.600109398712
 01/04  11:00:00,4.67348648354,0.0,2.99160666936,0.0,0.103010262775,3.09461693213,0.103010262775,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.514624175023
 01/04  12:00:00,3.53338722522,0.0,1.94389428346,0.0,0.0670154267665,2.01090971022,0.0670154267665,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.439146153026
 01/04  13:00:00,2.50599656078,0.0,1.02453037494,0.0,0.0353717009517,1.05990207589,0.0353717009517,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.380094809268
 01/04  14:00:00,1.99508271806,0.0,0.587953567887,0.0,0.0202997995762,0.608253367463,0.0202997995762,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.345901846803
 01/04  15:00:00,1.51907922049,0.0,0.154949003488,0.0,0.00535498310544,0.160303986594,0.00535498310544,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.312455976417
 01/04  16:00:00,1.45361524309,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.317473505309
 01/04  17:00:00,1.82194004245,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.359640655822
 01/04  18:00:00,3.23687698885,0.0,0.69432900306,0.0,0.0239206734109,0.71824967647,0.0239206734109,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.449722491004
 01/04  19:00:00,3.49511409725,0.0,0.445293264579,0.0,0.0153274312339,0.460620695813,0.0153274312339,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.534194098585
 01/04  20:00:00,3.79312764496,0.0,0.747622593515,0.0,0.0257061531097,0.773328746625,0.0257061531097,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.549488141333
 01/04  21:00:00,4.0396107966,0.0,1.22296131077,0.0,0.0420123400699,1.26497365084,0.0420123400699,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.50088237049
 01/04  22:00:00,4.13524366603,0.0,1.58192678442,0.0,0.0543452319759,1.6362720164,0.0543452319759,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.441867242398
 01/04  23:00:00,4.02410170587,0.0,1.94805438109,0.0,0.0669462734675,2.01500065456,0.0669462734675,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.349566452349
 01/04  24:00:00,4.04169439122,0.0,2.43899737793,0.0,0.0838443651087,2.52284174304,0.0838443651087,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.250369172177
 01/05  01:00:00,3.9601135758,0.0,2.84075472128,0.0,0.0976850856325,2.93843980691,0.0976850856325,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.143476402015
 01/05  02:00:00,4.26562455723,0.0,3.33750755057,0.0,0.114803902403,3.45231145297,0.114803902403,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0950559098112
 01/05  03:00:00,4.52541809249,0.0,3.66043580228,0.0,0.125957873444,3.78639367572,0.125957873444,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0825813693378
 01/05  04:00:00,4.76303652605,0.0,3.90090745953,0.0,0.134272740211,4.03518019974,0.134272740211,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0864237187229
 01/05  05:00:00,4.99666173784,0.0,4.09366997639,0.0,0.140959245769,4.23462922216,0.140959245769,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.125209747574
 01/05  06:00:00,5.3014236678,0.0,4.16090594145,0.0,0.143305894112,4.30421183556,0.143305894112,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.296099137659
 01/05  07:00:00,6.20636641881,0.0,4.46499590918,0.0,0.153812858588,4.61880876777,0.153812858588,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.614094295302
 01/05  08:00:00,6.08861931073,0.0,3.86978442142,0.0,0.133358156687,4.00314257811,0.133358156687,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.699070044326
 01/05  09:00:00,4.42704266461,0.0,2.36224140885,0.0,0.08157660544,2.44381801429,0.08157660544,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.673416331171
 01/05  10:00:00,3.01706607127,0.0,1.29374850168,0.0,0.0447129032715,1.33846140496,0.0447129032715,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.599389871159
 01/05  11:00:00,2.66269125492,0.0,1.04889341174,0.0,0.0361928548529,1.08508626659,0.0361928548529,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.513359611944
 01/05  12:00:00,1.56186983858,0.0,0.0401292110946,0.0,0.00138953408896,0.0415187451836,0.00138953408896,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.437019731423
 01/05  13:00:00,1.44364782643,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.377648150816
 01/05  14:00:00,1.38427740475,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.343349900955
 01/05  15:00:00,1.3562614431,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.309942185625
 01/05  16:00:00,1.45131539364,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.315173655861
 01/05  17:00:00,1.81913105841,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.356831671779
 01/05  18:00:00,2.51529383732,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.446389015949
 01/05  19:00:00,3.03017570807,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.52987640522
 01/05  20:00:00,3.01486611219,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.544555355191
 01/05  21:00:00,2.76947964424,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.495724868973
 01/05  22:00:00,2.49327422474,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.436169817507
 01/05  23:00:00,2.00298202257,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.343447423603
 01/05  24:00:00,1.51189503781,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.243411561806
 01/06  01:00:00,1.01451423251,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.136316865632
 01/06  02:00:00,0.805447944703,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.087190750253
 01/06  03:00:00,0.730709489665,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0742664422337
