Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.32805444536,7.22992450701,0.0,7.19538229267,0.0,0.19993562017,0.19993562017,0.19993562017,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.178132981293
 01/01  02:00:00,1.07113263812,7.22366165164,0.0,7.19185737102,0.0,0.199820695213,0.199820695213,0.199820695213,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107407626016
 01/01  03:00:00,0.98903936438,7.57411968124,0.0,7.5426841459,0.0,0.209536239593,0.209536239593,0.209536239593,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0880361050336
 01/01  04:00:00,0.984040980668,7.79525270137,0.0,7.76425966037,0.0,0.215664806198,0.215664806198,0.215664806198,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0934742268731
 01/01  05:00:00,1.03887503824,7.82950461656,0.0,7.79968234183,0.0,0.21663743211,0.21663743211,0.21663743211,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150689771227
 01/01  06:00:00,1.34878026043,7.70320566733,0.0,7.66992640558,0.0,0.213021351061,0.213021351061,0.213021351061,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397467716731
 01/01  07:00:00,2.11091474823,7.30896332528,0.0,7.27051241094,0.0,0.201912908233,0.201912908233,0.201912908233,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.86037443368
 01/01  08:00:00,2.73678647772,7.83484304658,0.0,7.79398606927,0.0,0.216435192563,0.216435192563,0.216435192563,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.992056214944
 01/01  09:00:00,2.61098471355,6.76357810764,0.0,6.72903589329,0.0,0.186854885946,0.186854885946,0.186854885946,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965211677251
 01/01  10:00:00,2.2359436347,6.45382014967,0.0,6.42442193202,0.0,0.178380067216,0.178380067216,0.178380067216,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.865114462806
 01/01  11:00:00,2.09807202474,6.48736525792,0.0,6.45727564286,0.0,0.17927817244,0.17927817244,0.17927817244,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.743270428414
 01/01  12:00:00,1.96762567645,5.0115163406,0.0,4.98141750691,0.0,0.138296609288,0.138296609288,0.138296609288,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632882931578
 01/01  13:00:00,1.84963748959,4.63138121103,0.0,4.6017894021,0.0,0.127755145737,0.127755145737,0.127755145737,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.548341768304
 01/01  14:00:00,1.75723170203,4.25907255906,0.0,4.22845748197,0.0,0.117391046658,0.117391046658,0.117391046658,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.496064540572
 01/01  15:00:00,1.69456226338,3.68216414084,0.0,3.64982517956,0.0,0.101328051416,0.101328051416,0.101328051416,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446633368887
 01/01  16:00:00,1.78466875791,3.15920975401,0.0,3.12507315948,0.0,0.0867612474488,0.0867612474488,0.0867612474488,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.452258795796
 01/01  17:00:00,2.20891170514,3.02719520885,0.0,2.98681760041,0.0,0.0829230906578,0.0829230906578,0.0829230906578,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.515919938633
 01/01  18:00:00,3.04978178226,3.94983785823,0.0,3.90078551702,0.0,0.108319779685,0.108319779685,0.108319779685,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.6426413811
 01/01  19:00:00,3.69609234722,4.12241580474,0.0,4.06915976731,0.0,0.113022936785,0.113022936785,0.113022936785,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767794602408
 01/01  20:00:00,3.71925854089,4.50625249109,0.0,4.45128178809,0.0,0.123658310256,0.123658310256,0.123658310256,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.794282788861
 01/01  21:00:00,3.43526070316,5.14713306187,0.0,5.0902725393,0.0,0.141423977258,0.141423977258,0.141423977258,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.726097625063
 01/01  22:00:00,3.10681194282,5.75313611912,0.0,5.69760307957,0.0,0.158307284672,0.158307284672,0.158307284672,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.635009416397
 01/01  23:00:00,2.53077826608,6.46906323035,0.0,6.4210065014,0.0,0.178412860493,0.178412860493,0.178412860493,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.49607384093
 01/01  24:00:00,1.93892467114,7.08227784577,0.0,7.04051744252,0.0,0.195630084817,0.195630084817,0.195630084817,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.341525447657
 01/02  01:00:00,1.312274964,7.38201885482,0.0,7.34747664048,0.0,0.204162993077,0.204162993077,0.204162993077,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165795423925
 01/02  02:00:00,1.08837925783,8.24522587336,0.0,8.21342159274,0.0,0.228222530458,0.228222530458,0.228222530458,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100857271877
 01/02  03:00:00,1.0119848262,8.6824368362,0.0,8.65100130086,0.0,0.240380089247,0.240380089247,0.240380089247,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0831841620192
 01/02  04:00:00,1.01194255378,9.04085224811,0.0,9.00985920711,0.0,0.250355466103,0.250355466103,0.250355466103,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.088278111603
 01/02  05:00:00,1.06297622026,9.18506215164,0.0,9.15523987691,0.0,0.254398121946,0.254398121946,0.254398121946,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.14014661161
 01/02  06:00:00,1.35715705725,9.2582755969,0.0,9.22499633515,0.0,0.256341681331,0.256341681331,0.256341681331,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.367303657948
 01/02  07:00:00,2.11073219478,10.2310223453,0.0,10.192571431,0.0,0.283231508276,0.283231508276,0.283231508276,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.79126971104
 01/02  08:00:00,2.67237685174,9.42886410117,0.0,9.38800712386,0.0,0.260902949905,0.260902949905,0.260902949905,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.907867087045
 01/02  09:00:00,2.55144805175,9.14239840473,0.0,9.10785619038,0.0,0.253143396428,0.253143396428,0.253143396428,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.877230022457
 01/02  10:00:00,2.13049136965,7.46186490656,0.0,7.43246668891,0.0,0.206567009998,0.206567009998,0.206567009998,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.784011489586
 01/02  11:00:00,1.97285780915,6.61897561357,0.0,6.58888599851,0.0,0.183111722497,0.183111722497,0.183111722497,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.673624930016
 01/02  12:00:00,1.84248410762,4.78793034607,0.0,4.75783151238,0.0,0.132222571826,0.132222571826,0.132222571826,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.575052286093
 01/02  13:00:00,1.71582685469,3.62329031182,0.0,3.5936985029,0.0,0.099867405577,0.099867405577,0.099867405577,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.498197797145
 01/02  14:00:00,1.61602817992,2.56668827305,0.0,2.53607319596,0.0,0.0704747910371,0.0704747910371,0.0704747910371,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.452629978506
 01/02  15:00:00,1.55107308842,1.57314309259,0.0,1.5408041313,0.0,0.0428161318506,0.0428161318506,0.0428161318506,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.407302614205
 01/02  16:00:00,1.65573969215,1.4800860714,0.0,1.44594947687,0.0,0.0401797161412,0.0401797161412,0.0401797161412,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.41314672953
