Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.41561123282,15.8471543576,0.0,15.3930400551,0.0,0.439881385944,0.439881385944,0.439881385944,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.20187576949,15.0082959097,0.0,14.6633462707,0.0,0.419112689323,0.419112689323,0.419112689323,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.12589467535,14.942329837,0.0,14.6272630098,0.0,0.41809992046,0.41809992046,0.41809992046,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.09480211169,14.4468257212,0.0,14.1236604604,0.0,0.403708310121,0.403708310121,0.403708310121,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.08470756325,14.308642092,0.0,13.8999455843,0.0,0.39732739328,0.39732739328,0.39732739328,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.1306227976,13.9179980008,0.0,13.1344046985,0.0,0.375437698324,0.375437698324,0.375437698324,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.44147053137,14.3082232762,0.0,12.8224812025,0.0,0.366503261495,0.366503261495,0.366503261495,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.91079159898,13.616690486,0.0,11.9269495011,0.0,0.340911031601,0.340911031601,0.340911031601,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.81825008481,12.8734734394,0.0,11.2276070435,0.0,0.320894474317,0.320894474317,0.320894474317,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.51162846508,11.8380838138,0.0,10.3455678254,0.0,0.295619398945,0.295619398945,0.295619398945,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.49296585534,11.674590835,0.0,10.3639248881,0.0,0.296087985452,0.296087985452,0.296087985452,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.45898094911,9.58848263329,0.0,8.44409150551,0.0,0.241177536661,0.241177536661,0.241177536661,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.39824184463,8.14384572284,0.0,7.12715792537,0.0,0.203499689391,0.203499689391,0.203499689391,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.32039805984,6.37231486754,0.0,5.43394936551,0.0,0.15510614016,0.15510614016,0.15510614016,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.30131086947,5.49270509469,0.0,4.62739178073,0.0,0.132060368635,0.132060368635,0.132060368635,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.38957055101,4.99971457467,0.0,4.12450607116,0.0,0.117697782964,0.117697782964,0.117697782964,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.7975018789,6.19875255973,0.0,5.22183113129,0.0,0.149017031718,0.149017031718,0.149017031718,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.55935247466,8.09942839724,0.0,6.92540291599,0.0,0.197691630989,0.197691630989,0.197691630989,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.09073367719,7.96098403573,0.0,6.59699319989,0.0,0.188358691366,0.188358691366,0.188358691366,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.11011908165,9.00076184115,0.0,7.59686293811,0.0,0.216943770186,0.216943770186,0.216943770186,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.88463900156,9.52320034361,0.0,8.21899332224,0.0,0.234737363177,0.234737363177,0.234737363177,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.63958893942,10.0806671096,0.0,8.91392657729,0.0,0.254614459972,0.254614459972,0.254614459972,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.19575759789,10.8762500426,0.0,9.92728258888,0.0,0.28358062681,0.28358062681,0.28358062681,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.73334120998,10.8710920896,0.0,10.1625231105,0.0,0.29031359775,0.29031359775,0.29031359775,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.26992334541,11.0035355111,0.0,10.5667462488,0.0,0.301862795437,0.301862795437,0.301862795437,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.09038591781,11.267131042,0.0,10.9302867847,0.0,0.312227699041,0.312227699041,0.312227699041,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.02289923153,11.4483392758,0.0,11.138657919,0.0,0.318150921465,0.318150921465,0.318150921465,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,0.998826758788,11.1476036958,0.0,10.8304099609,0.0,0.30932592874,0.30932592874,0.30932592874,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,0.999364044381,11.4282022349,0.0,11.0334796288,0.0,0.31510022261,0.31510022261,0.31510022261,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.06992047331,11.9284533213,0.0,11.1887978635,0.0,0.319514848697,0.319514848697,0.319514848697,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.37406502142,12.2910028727,0.0,10.9081316918,0.0,0.311494182403,0.311494182403,0.311494182403,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.83777906995,11.8099131115,0.0,10.2463367512,0.0,0.292586757999,0.292586757999,0.292586757999,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.72896805302,10.9502722649,0.0,9.43712022983,0.0,0.269455960018,0.269455960018,0.269455960018,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.42738870624,10.6145332952,0.0,9.24491076864,0.0,0.263915874722,0.263915874722,0.263915874722,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.39826133081,10.3420647414,0.0,9.13732790246,0.0,0.26078572817,0.26078572817,0.26078572817,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.38690701287,9.12808880898,0.0,8.07189816074,0.0,0.230340486302,0.230340486302,0.230340486302,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.35496673954,8.51154772385,0.0,7.57153857985,0.0,0.216003507863,0.216003507863,0.216003507863,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.30680030514,7.61663530501,0.0,6.74497767849,0.0,0.19236108988,0.19236108988,0.19236108988,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.30028242533,7.00128824905,0.0,6.19624949649,0.0,0.176678425212,0.176678425212,0.176678425212,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.40072550399,6.85137015934,0.0,6.03601372257,0.0,0.172088204131,0.172088204131,0.172088204131,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.76720671791,6.53869214886,0.0,5.6345870125,0.0,0.160626109694,0.160626109694,0.160626109694,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.51051545634,7.75603291579,0.0,6.66856527913,0.0,0.190098531106,0.190098531106,0.190098531106,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.03123726455,7.17589960623,0.0,5.9239332312,0.0,0.168890980048,0.168890980048,0.168890980048,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.0283389229,7.4207335849,0.0,6.14200217359,0.0,0.175115824523,0.175115824523,0.175115824523,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,2.78633883519,7.39611678983,0.0,6.21130123145,0.0,0.177101795385,0.177101795385,0.177101795385,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.52635295109,7.48233039451,0.0,6.41530570169,0.0,0.182919805218,0.182919805218,0.182919805218,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.07139485507,7.61330367321,0.0,6.74201725347,0.0,0.192226631135,0.192226631135,0.192226631135,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.61348323662,7.27656590512,0.0,6.61504165609,0.0,0.188579610563,0.188579610563,0.188579610563,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.1709223709,7.55727749409,0.0,7.11733701916,0.0,0.202861820924,0.202861820924,0.202861820924,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,0.976464141747,7.29847654689,0.0,6.95865107164,0.0,0.19830592298,0.19830592298,0.19830592298,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/03  03:00:00,0.905351341285,7.35315937396,0.0,7.04036578058,0.0,0.200603031217,0.200603031217,0.200603031217,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/03  04:00:00,0.882507737526,7.09549389914,0.0,6.77512358983,0.0,0.193006907478,0.193006907478,0.193006907478,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/03  05:00:00,0.884187929684,7.41699417307,0.0,7.01895120049,0.0,0.199924107913,0.199924107913,0.199924107913,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/03  06:00:00,1.04064022243,10.9309832965,0.0,10.1884366267,0.0,0.290234597816,0.290234597816,0.290234597816,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/03  07:00:00,1.41722483385,13.8289487292,0.0,12.4433924325,0.0,0.354653994836,0.354653994836,0.354653994836,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/03  08:00:00,1.89886346769,13.9693820315,0.0,12.4034370933,0.0,0.353671155738,0.353671155738,0.353671155738,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/03  09:00:00,1.82076287885,14.1823234027,0.0,12.6672515834,0.0,0.361250785848,0.361250785848,0.361250785848,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/03  10:00:00,1.53318307313,14.3322396285,0.0,12.9616828283,0.0,0.369710241614,0.369710241614,0.369710241614,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/03  11:00:00,1.585936999,16.9215204688,0.0,15.7171713589,0.0,0.448461396366,0.448461396366,0.448461396366,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/03  12:00:00,1.60362762208,16.716574323,0.0,15.6619582375,0.0,0.447061095513,0.447061095513,0.447061095513,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/03  13:00:00,1.5543655211,15.4894653266,0.0,14.5518902907,0.0,0.415402289425,0.415402289425,0.415402289425,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/03  14:00:00,1.48794590571,13.9518682953,0.0,13.0825100086,0.0,0.373506690447,0.373506690447,0.373506690447,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/03  15:00:00,1.48942030114,13.6167044177,0.0,12.8140950973,0.0,0.365816301015,0.365816301015,0.365816301015,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/03  16:00:00,1.61536770542,14.359040716,0.0,13.5461922274,0.0,0.386730405563,0.386730405563,0.386730405563,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/03  17:00:00,1.98699356814,14.2233804848,0.0,13.3220265658,0.0,0.380412959926,0.380412959926,0.380412959926,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/03  18:00:00,2.71423604682,14.8723267815,0.0,13.7873526547,0.0,0.393819121583,0.393819121583,0.393819121583,0.842191296402,0.191912153986,0.536821987543,0.726091487301
