Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.28579610112,11.4652281318,0.0,11.0102243541,0.0,0.310066254254,0.310066254254,0.310066254254,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.10239046556,11.6967433382,0.0,11.3505913591,0.0,0.319627385393,0.319627385393,0.319627385393,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.03418854076,11.9077757574,0.0,11.5915428937,0.0,0.326393785868,0.326393785868,0.326393785868,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.02282905273,12.1057520167,0.0,11.7816740845,0.0,0.331735251157,0.331735251157,0.331735251157,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.03444603604,12.7356369581,0.0,12.3261779564,0.0,0.347065866072,0.347065866072,0.347065866072,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.10356865938,13.1565181288,0.0,12.3726212352,0.0,0.348383560105,0.348383560105,0.348383560105,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.42265237723,13.8334241431,0.0,12.3475145682,0.0,0.347685107355,0.347685107355,0.347685107355,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.92555690862,14.3205429329,0.0,12.6309442857,0.0,0.355676341237,0.355676341237,0.355676341237,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.79657386521,12.2717518842,0.0,10.6260194533,0.0,0.299218254715,0.299218254715,0.299218254715,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.4764761253,10.7446735454,0.0,9.25204835571,0.0,0.260467059167,0.260467059167,0.260467059167,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
