Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.1853019451,7.8700920325,0.0,7.40910979432,0.0,0.209572098227,0.209572098227,0.209572098227,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,0.999928558316,8.02907930843,0.0,7.67723284022,0.0,0.21716547815,0.21716547815,0.21716547815,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.932501761438,8.26556770999,0.0,7.94367587362,0.0,0.224707006549,0.224707006549,0.224707006549,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.925805424549,8.62704876398,0.0,8.29731650465,0.0,0.234711622978,0.234711622978,0.234711622978,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.928306005753,8.93187295223,0.0,8.5168009322,0.0,0.240925835787,0.240925835787,0.240925835787,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.00584109026,9.64992878788,0.0,8.86043556089,0.0,0.250655990979,0.250655990979,0.250655990979,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.35864430844,11.5170893176,0.0,10.0261633788,0.0,0.28367703857,0.28367703857,0.28367703857,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.83857117545,11.1887927195,0.0,9.49439990743,0.0,0.268690608072,0.268690608072,0.268690608072,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.73222640552,9.94966175835,0.0,8.29893905499,0.0,0.234870795024,0.234870795024,0.234870795024,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.39830704455,7.94038282001,0.0,6.44284272377,0.0,0.182297978413,0.182297978413,0.182297978413,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.35937291633,7.05988404169,0.0,5.74396712995,0.0,0.162495046439,0.162495046439,0.162495046439,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
