Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.24176191549,9.38431451191,0.0,8.92455800265,0.0,0.266032068615,0.266032068615,0.266032068615,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.04795549818,9.24750645699,0.0,8.89664582796,0.0,0.265192418016,0.265192418016,0.265192418016,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.9865832164,9.67382968462,0.0,9.35294296328,0.0,0.278788461511,0.278788461511,0.278788461511,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.967627058279,9.60586312719,0.0,9.27712394752,0.0,0.276533256708,0.276533256708,0.276533256708,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.962967832885,9.65973920648,0.0,9.24552990957,0.0,0.275587662919,0.275587662919,0.275587662919,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.03105083194,10.0436297069,0.0,9.25479573872,0.0,0.275865732659,0.275865732659,0.275865732659,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.33861748838,10.3359768314,0.0,8.84511026725,0.0,0.263650218505,0.263650218505,0.263650218505,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.82195532967,10.1512718893,0.0,8.45644010342,0.0,0.252074762293,0.252074762293,0.252074762293,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.74351078174,9.90828035765,0.0,8.25764406554,0.0,0.246155171241,0.246155171241,0.246155171241,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.45995227469,9.68048857051,0.0,8.18368496615,0.0,0.243943208552,0.243943208552,0.243943208552,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.45303743212,9.90858966808,0.0,8.5939706035,0.0,0.256159562231,0.256159562231,0.256159562231,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.45210996413,9.00852829485,0.0,7.8607689587,0.0,0.234306551688,0.234306551688,0.234306551688,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.41772923534,8.50134285894,0.0,7.48168797843,0.0,0.222987080098,0.222987080098,0.222987080098,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.39140166523,8.52803855351,0.0,7.58719424382,0.0,0.22610974555,0.22610974555,0.22610974555,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.35266855809,7.02300143117,0.0,6.15508164692,0.0,0.183418057257,0.183418057257,0.183418057257,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.46972218186,7.5183019348,0.0,6.64030654619,0.0,0.197849413819,0.197849413819,0.197849413819,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.85024711168,7.75083902724,0.0,6.77115067119,0.0,0.201762264491,0.201762264491,0.201762264491,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.57600088829,8.37030450146,0.0,7.19249667106,0.0,0.214340044615,0.214340044615,0.214340044615,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.09753636352,7.91518730955,0.0,6.54774752752,0.0,0.1951613777,0.1951613777,0.1951613777,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.08768526772,7.93281075159,0.0,6.52488853627,0.0,0.194509956258,0.194509956258,0.194509956258,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.85350019609,8.13798981189,0.0,6.82977218843,0.0,0.203598557713,0.203598557713,0.203598557713,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.5942219452,8.18964287418,0.0,7.01886122735,0.0,0.209247465757,0.209247465757,0.209247465757,0.960961801745,0.218976686564,0.359614732068,0.822021259068
