Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.36162903828,8.25721824761,0.0,8.22267603326,0.0,0.233465902182,0.233465902182,0.233465902182,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.178177292197
 01/01  02:00:00,1.12028407485,8.80386100644,0.0,8.77205672582,0.0,0.249095632765,0.249095632765,0.249095632765,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.10728412519
 01/01  03:00:00,1.04571189287,9.41163047512,0.0,9.38019493978,0.0,0.266380357154,0.266380357154,0.266380357154,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.087864515966
 01/01  04:00:00,1.06172919812,10.3675656421,0.0,10.3365726011,0.0,0.293561486994,0.293561486994,0.293561486994,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0932657635234
 01/01  05:00:00,1.12756048229,10.7882341567,0.0,10.758411882,0.0,0.305560113131,0.305560113131,0.305560113131,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150452534263
 01/01  06:00:00,1.44786909858,11.0314869244,0.0,10.9982076627,0.0,0.312380543722,0.312380543722,0.312380543722,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397197362223
 01/01  07:00:00,2.24849974992,12.0027936405,0.0,11.9643427262,0.0,0.339828167673,0.339828167673,0.339828167673,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860044175932
 01/01  08:00:00,2.83220224341,11.0346741079,0.0,10.9938171306,0.0,0.312288821566,0.312288821566,0.312288821566,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991618351633
 01/01  09:00:00,2.74280093472,11.2641890192,0.0,11.2296468049,0.0,0.319014294751,0.319014294751,0.319014294751,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964868489615
 01/01  10:00:00,2.29737608272,8.48160182897,0.0,8.45220361132,0.0,0.240083830713,0.240083830713,0.240083830713,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864843147329
 01/01  11:00:00,2.1250954776,7.30010976627,0.0,7.27002015121,0.0,0.206461889641,0.206461889641,0.206461889641,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.743110164075
 01/01  12:00:00,1.97471015151,5.15379836796,0.0,5.12369953427,0.0,0.145475795591,0.145475795591,0.145475795591,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632788220339
 01/01  13:00:00,1.82378443596,3.61914123131,0.0,3.58954942238,0.0,0.101895471117,0.101895471117,0.101895471117,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.548348389302
 01/01  14:00:00,1.71008863487,2.50189186138,0.0,2.4712767843,0.0,0.0701400942458,0.0701400942458,0.0701400942458,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.496172425832
 01/01  15:00:00,1.65867494391,2.33483575294,0.0,2.30249679166,0.0,0.0653438559972,0.0653438559972,0.0653438559972,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446730244834
 01/01  16:00:00,1.75664511581,2.10077974062,0.0,2.06664314608,0.0,0.0586491720641,0.0586491720641,0.0586491720641,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.452347229085
 01/01  17:00:00,2.17658735129,1.81957825765,0.0,1.7792006492,0.0,0.0504911970106,0.0504911970106,0.0504911970106,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.51602747843
 01/01  18:00:00,3.00510793477,2.28646771417,0.0,2.23741537296,0.0,0.0634988288718,0.0634988288718,0.0634988288718,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.642788484415
 01/01  19:00:00,3.64004296651,2.05358983761,0.0,2.00033380017,0.0,0.0567806185068,0.0567806185068,0.0567806185068,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767987539979
 01/01  20:00:00,3.65510028236,2.14364817539,0.0,2.08867747239,0.0,0.0592946632599,0.0592946632599,0.0592946632599,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.794488177326
 01/01  21:00:00,3.3657603423,2.58314667423,0.0,2.52628615165,0.0,0.0717230464986,0.0717230464986,0.0717230464986,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.726298194955
 01/01  22:00:00,3.02206522323,2.63891776133,0.0,2.58338472178,0.0,0.0733475155814,0.0733475155814,0.0733475155814,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.635222465892
 01/01  23:00:00,2.43513667345,2.95498932841,0.0,2.90693259945,0.0,0.0825343030114,0.0825343030114,0.0825343030114,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.49631080579
