Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.38858533738,15.2862309136,0.0,14.8333851365,0.0,0.412855490508,0.412855490508,0.412855490508,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.22049540339,16.0655179069,0.0,15.7223376218,0.0,0.437732323224,0.437732323224,0.437732323224,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.13424548977,15.629264862,0.0,15.3159818556,0.0,0.426450734879,0.426450734879,0.426450734879,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.12062556698,15.7477418077,0.0,15.4265688228,0.0,0.42953176541,0.42953176541,0.42953176541,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.13955893691,16.645498175,0.0,16.2391433111,0.0,0.452178766945,0.452178766945,0.452178766945,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.20319202736,16.8678857721,0.0,16.0871365626,0.0,0.448006928077,0.448006928077,0.448006928077,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.56351067521,19.0243450673,0.0,17.5418382649,0.0,0.488543405338,0.488543405338,0.488543405338,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.04938335954,18.8996742695,0.0,17.2137854712,0.0,0.479502792166,0.479502792166,0.479502792166,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.93385612765,17.308834682,0.0,15.6671503743,0.0,0.436500517156,0.436500517156,0.436500517156,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.62068912098,16.016922249,0.0,14.5283640835,0.0,0.40468005484,0.40468005484,0.40468005484,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.60363410014,15.9115274078,0.0,14.604938741,0.0,0.406756230245,0.406756230245,0.406756230245,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.58709803821,14.4015345858,0.0,13.26145401,0.0,0.369294625766,0.369294625766,0.369294625766,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.54297464093,13.5192514063,0.0,12.5070524869,0.0,0.348232485683,0.348232485683,0.348232485683,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.49094527776,12.6310616504,0.0,11.6975223136,0.0,0.325653358073,0.325653358073,0.325653358073,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.49332376312,12.5022607759,0.0,11.6418375391,0.0,0.32407326229,0.32407326229,0.32407326229,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.60269541598,12.7550144635,0.0,11.8848189969,0.0,0.330822647942,0.330822647942,0.330822647942,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.98082474893,12.9114146377,0.0,11.9391668588,0.0,0.332339901741,0.332339901741,0.332339901741,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.70966611474,13.671471884,0.0,12.5012691745,0.0,0.348005271067,0.348005271067,0.348005271067,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.22250090858,12.8576319876,0.0,11.4975726327,0.0,0.320125922758,0.320125922758,0.320125922758,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.19002988759,12.0611804683,0.0,10.660468244,0.0,0.296854576128,0.296854576128,0.296854576128,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.94300064806,11.8275147865,0.0,10.5261340435,0.0,0.293099009675,0.293099009675,0.293099009675,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.66843425195,11.3458097804,0.0,10.1813788673,0.0,0.283459772509,0.283459772509,0.283459772509,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.19662155358,11.1649321473,0.0,10.2179711704,0.0,0.284444582497,0.284444582497,0.284444582497,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.7171439323,10.5555927919,0.0,9.84837341514,0.0,0.274116320068,0.274116320068,0.274116320068,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.25339760794,10.6901449027,0.0,10.2546976072,0.0,0.285337057962,0.285337057962,0.285337057962,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.07458918155,10.9914428342,0.0,10.6558987274,0.0,0.296430962779,0.296430962779,0.296430962779,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.00077545611,10.9511056664,0.0,10.6426299727,0.0,0.296027146041,0.296027146041,0.296027146041,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,0.978435078644,10.7051752876,0.0,10.3890775018,0.0,0.288934248596,0.288934248596,0.288934248596,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
