Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.37735509322,14.9945061169,0.0,14.5446466833,0.0,0.401625246345,0.401625246345,0.401625246345,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.20652248722,15.6907676599,0.0,15.3495703545,0.0,0.423759407056,0.423759407056,0.423759407056,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.10194641415,14.5893123269,0.0,14.2778824027,0.0,0.394151659262,0.394151659262,0.394151659262,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.09278063561,14.8731397541,0.0,14.5533155212,0.0,0.401686834043,0.401686834043,0.401686834043,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.09586674328,15.2068021073,0.0,14.801527461,0.0,0.408486573315,0.408486573315,0.408486573315,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.16138031708,15.4989616359,0.0,14.7191287567,0.0,0.406195217796,0.406195217796,0.406195217796,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.51393219313,17.3891657391,0.0,15.9074642727,0.0,0.438964923254,0.438964923254,0.438964923254,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.97738760111,16.4510510437,0.0,14.7659152363,0.0,0.407507033731,0.407507033731,0.407507033731,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.86797095582,15.0710506944,0.0,13.4295493089,0.0,0.370615345323,0.370615345323,0.370615345323,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.5521768255,13.6721567299,0.0,12.1840038047,0.0,0.336167759364,0.336167759364,0.336167759364,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.51748725649,12.927736983,0.0,11.6214405896,0.0,0.320609386604,0.320609386604,0.320609386604,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.48447035496,10.8075725133,0.0,9.66770621877,0.0,0.266666942514,0.266666942514,0.266666942514,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.44272820822,10.0033514868,0.0,8.99163154088,0.0,0.24798605298,0.24798605298,0.24798605298,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.42486420828,10.345138598,0.0,9.41239100615,0.0,0.259572288599,0.259572288599,0.259572288599,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.42047299962,9.96900908231,0.0,9.10956526405,0.0,0.251222498784,0.251222498784,0.251222498784,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.54051322573,10.6101855201,0.0,9.74110863029,0.0,0.268640457693,0.268640457693,0.268640457693,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.97730523989,12.8907176843,0.0,11.9203153848,0.0,0.328820392708,0.328820392708,0.328820392708,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.7293035613,14.4904565593,0.0,13.3227932469,0.0,0.367642717623,0.367642717623,0.367642717623,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.26921906916,14.6475457585,0.0,13.2900263062,0.0,0.366844083333,0.366844083333,0.366844083333,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.28898016581,15.732937093,0.0,14.3357015339,0.0,0.395804854353,0.395804854353,0.395804854353,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,3.05901468002,16.1133452674,0.0,14.8156885182,0.0,0.409113041641,0.409113041641,0.409113041641,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.83812430939,17.5674293512,0.0,16.4074900823,0.0,0.453149829941,0.453149829941,0.453149829941,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.36088976867,17.1880022494,0.0,16.2456316755,0.0,0.448712797592,0.448712797592,0.448712797592,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.92664242661,18.2114852543,0.0,17.5094648604,0.0,0.483614814382,0.483614814382,0.483614814382,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.46302434626,18.3497117578,0.0,17.9197064254,0.0,0.494963796281,0.494963796281,0.494963796281,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.30111844199,19.2633921761,0.0,18.933579572,0.0,0.522960223222,0.522960223222,0.522960223222,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.25010869174,20.0457576459,0.0,19.7434920969,0.0,0.54536038167,0.54536038167,0.54536038167,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.23905713365,20.2036625402,0.0,19.8941888965,0.0,0.549556303601,0.549556303601,0.549556303601,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.23871974316,20.4575505869,0.0,20.0708939123,0.0,0.554455921388,0.554455921388,0.554455921388,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
