Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.42533278982,16.2981812792,0.0,15.8493740315,0.0,0.449602942949,0.449602942949,0.449602942949,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.26357514664,17.2919942117,0.0,16.9520022231,0.0,0.48081206647,0.48081206647,0.48081206647,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.22190155553,18.4356123333,0.0,18.12589896,0.0,0.514106800636,0.514106800636,0.514106800636,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.22476636492,19.131337205,0.0,18.8140823334,0.0,0.533672563344,0.533672563344,0.533672563344,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.26075239619,20.612557437,0.0,20.2103542365,0.0,0.573372226219,0.573372226219,0.573372226219,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.34833077865,21.6807295538,0.0,20.9043863433,0.0,0.593145679374,0.593145679374,0.593145679374,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.6388036597,21.3475951877,0.0,19.8693752798,0.0,0.563836389826,0.563836389826,0.563836389826,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.10021696751,20.371791865,0.0,18.6893992235,0.0,0.530336400132,0.530336400132,0.530336400132,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.00392615261,19.4924137183,0.0,17.8539222186,0.0,0.506570542117,0.506570542117,0.506570542117,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.70592414165,18.7548471319,0.0,17.2698761688,0.0,0.489915075513,0.489915075513,0.489915075513,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.68297395132,18.4406386964,0.0,17.1375699626,0.0,0.486096081433,0.486096081433,0.486096081433,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.6717014769,17.1409875037,0.0,16.0045851245,0.0,0.453898064451,0.453898064451,0.453898064451,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.64271583737,16.8056481367,0.0,15.7974621209,0.0,0.447973682128,0.447973682128,0.447973682128,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.57839303651,15.4996476604,0.0,14.5699858743,0.0,0.413101116831,0.413101116831,0.413101116831,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.57972184817,15.3350676124,0.0,14.4785499981,0.0,0.41047134734,0.41047134734,0.41047134734,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.65911105258,14.5261550711,0.0,13.6597190506,0.0,0.387238284542,0.387238284542,0.387238284542,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,2.037570558,14.694559478,0.0,13.7257814257,0.0,0.389085710813,0.389085710813,0.389085710813,0.453487652263,0.103337308986,0.470575105936,0.59768478
