Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.45456198685,17.1589362618,0.0,16.7122457451,0.0,0.478832139978,0.478832139978,0.478832139978,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.26447947361,17.1574424075,0.0,16.8189679611,0.0,0.481716393446,0.481716393446,0.481716393446,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.18795068514,17.0762469772,0.0,16.7674045192,0.0,0.480155930248,0.480155930248,0.480155930248,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.18483444241,17.5600148789,0.0,17.2432188085,0.0,0.493740640835,0.493740640835,0.493740640835,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.1772801498,17.5119425634,0.0,17.1096957927,0.0,0.48989997983,0.48989997983,0.48989997983,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.23774331171,17.6308001062,0.0,16.8538621969,0.0,0.482558212431,0.482558212431,0.482558212431,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.5490975037,18.0397582501,0.0,16.5605862872,0.0,0.474130233827,0.474130233827,0.474130233827,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.08438844879,19.655713252,0.0,17.9725284181,0.0,0.514507881412,0.514507881412,0.514507881412,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.97251559559,18.236887359,0.0,16.5986919963,0.0,0.475159985098,0.475159985098,0.475159985098,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.66215830851,17.0704940904,0.0,15.5854129378,0.0,0.446149242371,0.446149242371,0.446149242371,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.65330718613,17.2495253954,0.0,15.9465711486,0.0,0.456429316242,0.456429316242,0.456429316242,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.63494467425,15.7118063166,0.0,14.5754524754,0.0,0.417141261802,0.417141261802,0.417141261802,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.585673386,14.6702652529,0.0,13.6618374196,0.0,0.390931230757,0.390931230757,0.390931230757,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.55563743936,14.571725615,0.0,13.6422766226,0.0,0.390345519676,0.390345519676,0.390345519676,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.57459012582,15.0224318226,0.0,14.1664283483,0.0,0.405339624987,0.405339624987,0.405339624987,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.65704287508,14.3268513522,0.0,13.4610304877,0.0,0.385170107042,0.385170107042,0.385170107042,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,2.03731865551,14.5574102299,0.0,13.5894534793,0.0,0.388833808329,0.388833808329,0.388833808329,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.81440720464,16.9823646879,0.0,15.817126385,0.0,0.452746360969,0.452746360969,0.452746360969,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.3508559264,17.0176650937,0.0,15.6628229444,0.0,0.448480940573,0.448480940573,0.448480940573,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.37049753646,18.0605267446,0.0,16.6659558857,0.0,0.477322224996,0.477322224996,0.477322224996,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,3.17880624086,19.7565001275,0.0,18.4620770184,0.0,0.52890460248,0.52890460248,0.52890460248,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.96970658692,21.5615587172,0.0,20.4050845805,0.0,0.58473210747,0.58473210747,0.58473210747,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.51286739172,21.8981736439,0.0,20.959388246,0.0,0.600690420638,0.600690420638,0.600690420638,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,2.08085951302,22.9512460505,0.0,22.2530410692,0.0,0.637831900791,0.637831900791,0.637831900791,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.60312968432,22.5818453574,0.0,22.155590025,0.0,0.63506913434,0.63506913434,0.63506913434,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.43090415923,23.0994610288,0.0,22.7732302774,0.0,0.652745940459,0.652745940459,0.652745940459,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.37969898486,23.8465258662,0.0,23.5478301235,0.0,0.67495067479,0.67495067479,0.67495067479,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.36890993329,24.0074312481,0.0,23.7015162038,0.0,0.679409103246,0.679409103246,0.679409103246,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.36854343566,24.2530244517,0.0,23.869889652,0.0,0.68427961389,0.68427961389,0.68427961389,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.42219682462,24.1612630243,0.0,23.4332005017,0.0,0.671791200009,0.671791200009,0.671791200009,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.72841429488,24.5965271878,0.0,23.2250827948,0.0,0.665843455863,0.665843455863,0.665843455863,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,2.25644795448,26.361453102,0.0,24.8093711782,0.0,0.711255642534,0.711255642534,0.711255642534,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,2.07875338594,23.0987166103,0.0,21.5974225425,0.0,0.619241292938,0.619241292938,0.619241292938,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.76405223102,22.307865689,0.0,20.9500499584,0.0,0.6005793995,0.6005793995,0.6005793995,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.71876576587,21.4740563422,0.0,20.2807238064,0.0,0.581290163237,0.581290163237,0.581290163237,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.67310047933,19.071449529,0.0,18.0262895416,0.0,0.516533952761,0.516533952761,0.516533952761,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.57072442524,16.003610365,0.0,15.0738764176,0.0,0.431761193571,0.431761193571,0.431761193571,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.51793195916,14.9528826263,0.0,14.0913284838,0.0,0.403492743904,0.403492743904,0.403492743904,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.47907657828,13.2123984715,0.0,12.417284172,0.0,0.355472578156,0.355472578156,0.355472578156,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.55977939805,12.3745170608,0.0,11.5689629066,0.0,0.331142098199,0.331142098199,0.331142098199,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.94320303979,12.6554638523,0.0,11.7611285615,0.0,0.336622431576,0.336622431576,0.336622431576,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.69908629544,14.3049519931,0.0,13.2274428476,0.0,0.378669370205,0.378669370205,0.378669370205,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.23779633044,14.3542030109,0.0,13.1125252203,0.0,0.375450045938,0.375450045938,0.375450045938,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.24899364064,15.0890396519,0.0,13.8206924655,0.0,0.395770542265,0.395770542265,0.395770542265,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,3.01912329441,15.4869932619,0.0,14.3123797457,0.0,0.409886254604,0.409886254604,0.409886254604,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.77358919505,16.0759962293,0.0,15.019453453,0.0,0.430156049174,0.430156049174,0.430156049174,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.34660295411,17.1813139435,0.0,16.3206232691,0.0,0.467434730183,0.467434730183,0.467434730183,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.90339428722,17.356925056,0.0,16.7063089486,0.0,0.478490661168,0.478490661168,0.478490661168,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.45346867943,17.3775093929,0.0,16.9484860621,0.0,0.485408129459,0.485408129459,0.485408129459,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,1.29276020246,18.2985350051,0.0,17.9699562267,0.0,0.514601983689,0.514601983689,0.514601983689,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/03  03:00:00,1.25616532136,19.5560166163,0.0,19.2550886253,0.0,0.551417011294,0.551417011294,0.551417011294,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/03  04:00:00,1.25421144893,20.0261221096,0.0,19.7180413448,0.0,0.564710618881,0.564710618881,0.564710618881,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/03  05:00:00,1.24985693489,20.1334484933,0.0,19.7480174046,0.0,0.565593113123,0.565593113123,0.565593113123,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/03  06:00:00,1.32207425265,20.690909012,0.0,19.9598964459,0.0,0.571668628037,0.571668628037,0.571668628037,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/03  07:00:00,1.6291203453,21.1557105495,0.0,19.7802346276,0.0,0.566549506282,0.566549506282,0.566549506282,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/03  08:00:00,2.16028743074,23.0267296543,0.0,21.4709310763,0.0,0.615095118789,0.615095118789,0.615095118789,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/03  09:00:00,2.06693743341,22.7023855449,0.0,21.1977819297,0.0,0.607425340403,0.607425340403,0.607425340403,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/03  10:00:00,1.74625628879,21.6997687097,0.0,20.3390709087,0.0,0.582783457272,0.582783457272,0.582783457272,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/03  11:00:00,1.74825690372,22.5126943022,0.0,21.3174279897,0.0,0.610781301085,0.610781301085,0.610781301085,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/03  12:00:00,1.71033226383,20.3747535433,0.0,19.328368345,0.0,0.553765737264,0.553765737264,0.553765737264,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/03  13:00:00,1.66577801482,19.3210641462,0.0,18.3911494961,0.0,0.526814783148,0.526814783148,0.526814783148,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/03  14:00:00,1.61278056803,18.2617899626,0.0,17.4001839139,0.0,0.498341352771,0.498341352771,0.498341352771,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/03  15:00:00,1.60935800923,17.7574970462,0.0,16.9627815576,0.0,0.485754009105,0.485754009105,0.485754009105,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/03  16:00:00,1.68197244694,16.6383513885,0.0,15.8329677549,0.0,0.453335147087,0.453335147087,0.453335147087,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/03  17:00:00,2.0461188176,16.2470075259,0.0,15.352550893,0.0,0.439538209389,0.439538209389,0.439538209389,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/03  18:00:00,2.75025699736,16.0934218755,0.0,15.0144716577,0.0,0.429840072129,0.429840072129,0.429840072129,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/03  19:00:00,3.29331129697,16.2984290126,0.0,15.0546155041,0.0,0.430965012467,0.430965012467,0.430965012467,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/03  20:00:00,3.25651588226,15.3572276905,0.0,14.0869020609,0.0,0.403292783883,0.403292783883,0.403292783883,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/03  21:00:00,3.0107935756,15.2018191074,0.0,14.0251544222,0.0,0.40155653579,0.40155653579,0.40155653579,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/03  22:00:00,2.73870741549,14.8654619996,0.0,13.8068000307,0.0,0.395274269614,0.395274269614,0.395274269614,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/03  23:00:00,2.27889506277,14.8263554517,0.0,13.9636080917,0.0,0.399726838843,0.399726838843,0.399726838843,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/03  24:00:00,1.82928930295,14.78057047,0.0,14.1280489958,0.0,0.404385676899,0.404385676899,0.404385676899,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/04  01:00:00,1.38995537835,15.1723314224,0.0,14.7418649307,0.0,0.421894828377,0.421894828377,0.421894828377,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/04  02:00:00,1.21011875154,15.4260180108,0.0,15.0959481906,0.0,0.431960532774,0.431960532774,0.431960532774,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/04  03:00:00,1.14076739433,15.5425178702,0.0,15.2397112146,0.0,0.436019084266,0.436019084266,0.436019084266,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/04  04:00:00,1.1276952685,15.6277087757,0.0,15.3173958469,0.0,0.438194438447,0.438194438447,0.438194438447,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/04  05:00:00,1.12255839563,15.7103899466,0.0,15.3223956597,0.0,0.438294573861,0.438294573861,0.438294573861,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/04  06:00:00,1.18922510853,16.0764377458,0.0,15.3420309488,0.0,0.438819483918,0.438819483918,0.438819483918,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/04  07:00:00,1.4946731673,16.4886677844,0.0,15.1084324331,0.0,0.432102328286,0.432102328286,0.432102328286,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/04  08:00:00,2.00549679506,17.6570183966,0.0,16.0953362728,0.0,0.460304483108,0.460304483108,0.460304483108,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/04  09:00:00,1.88696908612,16.4573637066,0.0,14.9471272971,0.0,0.427456993115,0.427456993115,0.427456993115,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/04  10:00:00,1.58008773121,15.9325665618,0.0,14.5664366553,0.0,0.416614899689,0.416614899689,0.416614899689,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/04  11:00:00,1.56240467879,16.0604821271,0.0,14.859656736,0.0,0.424929076151,0.424929076151,0.424929076151,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/04  12:00:00,1.56767509725,15.4292636342,0.0,14.3778658985,0.0,0.411108570688,0.411108570688,0.411108570688,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/04  13:00:00,1.50737827273,13.82191324,0.0,12.8871071311,0.0,0.368415041063,0.368415041063,0.368415041063,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/04  14:00:00,1.48042275326,13.6692821625,0.0,12.803326382,0.0,0.365983537997,0.365983537997,0.365983537997,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/04  15:00:00,1.4515207403,12.2722916528,0.0,11.473027882,0.0,0.327916740175,0.327916740175,0.327916740175,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/04  16:00:00,1.55059801905,12.0749658696,0.0,11.265452913,0.0,0.321960719198,0.321960719198,0.321960719198,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/04  17:00:00,1.92673071085,12.1009159451,0.0,11.2024524159,0.0,0.320150102635,0.320150102635,0.320150102635,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/04  18:00:00,2.67148006314,13.3648242486,0.0,12.2822779213,0.0,0.351063137912,0.351063137912,0.351063137912,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/04  19:00:00,3.19763395433,12.975521441,0.0,11.7281732142,0.0,0.335287669827,0.335287669827,0.335287669827,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/04  20:00:00,3.19340334451,13.1727448259,0.0,11.8985050847,0.0,0.340180246128,0.340180246128,0.340180246128,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/04  21:00:00,2.9631227072,13.5572483507,0.0,12.3770687557,0.0,0.353885667386,0.353885667386,0.353885667386,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/04  22:00:00,2.71417275791,14.02749394,0.0,12.965839511,0.0,0.370739612034,0.370739612034,0.370739612034,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/04  23:00:00,2.26064384127,14.2061128918,0.0,13.3409998151,0.0,0.381475617342,0.381475617342,0.381475617342,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/04  24:00:00,1.83037770008,14.8349701917,0.0,14.1806319379,0.0,0.405474074028,0.405474074028,0.405474074028,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/05  01:00:00,1.35814400573,14.0752547732,0.0,13.6436705474,0.0,0.390083455751,0.390083455751,0.390083455751,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/05  02:00:00,1.1750191171,14.2149120272,0.0,13.8834800672,0.0,0.396860898337,0.396860898337,0.396860898337,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
