Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.39401099145,15.0302523445,0.0,14.5768429938,0.0,0.418281144579,0.418281144579,0.418281144579,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.22573603955,15.7733362466,0.0,15.4297501634,0.0,0.442972959386,0.442972959386,0.442972959386,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.15823002796,15.9987834405,0.0,15.6853138297,0.0,0.450435273074,0.450435273074,0.450435273074,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.15263319666,16.3908939266,0.0,16.0697033219,0.0,0.461539395093,0.461539395093,0.461539395093,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.15303569553,16.6183176258,0.0,16.2118165943,0.0,0.465655525567,0.465655525567,0.465655525567,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.21659247634,16.8436207546,0.0,16.0626355002,0.0,0.46140737706,0.46140737706,0.46140737706,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.52645790983,17.1996422271,0.0,15.7166111478,0.0,0.451490639959,0.451490639959,0.451490639959,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.01280873774,17.1041670286,0.0,15.4172740842,0.0,0.442928170364,0.442928170364,0.442928170364,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.88100891784,14.9977135456,0.0,13.3545010129,0.0,0.383653307346,0.383653307346,0.383653307346,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.54920508826,13.0912675634,0.0,11.6010278572,0.0,0.333196022121,0.333196022121,0.333196022121,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.50200813869,11.9343876998,0.0,10.6259079533,0.0,0.305130268804,0.305130268804,0.305130268804,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.44254287433,8.97103549955,0.0,7.82857273651,0.0,0.224739461885,0.224739461885,0.224739461885,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.38659566966,7.6998051492,0.0,6.68510175028,0.0,0.191853514418,0.191853514418,0.191853514418,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.32710283027,6.5758812103,0.0,5.63969055052,0.0,0.161810910585,0.161810910585,0.161810910585,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.31014657264,5.77439045473,0.0,4.91131191814,0.0,0.140896071805,0.140896071805,0.140896071805,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.41065059703,5.71118915224,0.0,4.83819158857,0.0,0.138777828986,0.138777828986,0.138777828986,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.81890271076,6.91572718812,0.0,5.94109808038,0.0,0.170417863579,0.170417863579,0.170417863579,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.5496148827,7.72369638579,0.0,6.55140055743,0.0,0.187954039033,0.187954039033,0.187954039033,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.08460982665,7.71394319595,0.0,6.35138691821,0.0,0.182234840829,0.182234840829,0.182234840829,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.084108035,8.05709449952,0.0,6.65432926733,0.0,0.190932723545,0.190932723545,0.190932723545,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.84834159428,8.21874405723,0.0,6.91564069269,0.0,0.198439955897,0.198439955897,0.198439955897,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.58237373883,8.04567636929,0.0,6.8796401604,0.0,0.197399259389,0.197399259389,0.197399259389,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.12857711076,8.49145682047,0.0,7.54283398254,0.0,0.216400139675,0.216400139675,0.216400139675,0.723420662017,0.164847621407,0.289154633287,0.71135405437
