Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.47129750008,17.5206559373,0.0,17.0779473874,0.0,0.495567653214,0.495567653214,0.495567653214,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.26910855336,17.1049781787,0.0,16.7700070735,0.0,0.486345473199,0.486345473199,0.486345473199,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.213743906,17.7549251686,0.0,17.4497774156,0.0,0.505949151116,0.505949151116,0.505949151116,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.20776974917,18.1346688763,0.0,17.8215350115,0.0,0.516675947602,0.516675947602,0.516675947602,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.21135240975,18.4732656448,0.0,18.0745896771,0.0,0.523972239787,0.523972239787,0.523972239787,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.34075823187,20.9728356138,0.0,20.2000357024,0.0,0.585573132589,0.585573132589,0.585573132589,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.73844206701,24.3544310662,0.0,22.8806776546,0.0,0.663474797142,0.663474797142,0.663474797142,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.22620411777,24.306069704,0.0,22.6290145779,0.0,0.656323550389,0.656323550389,0.656323550389,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.17652541289,25.0468717384,0.0,23.4142357065,0.0,0.679169802396,0.679169802396,0.679169802396,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.89796202776,24.9860683898,0.0,23.5076307604,0.0,0.681952961625,0.681952961625,0.681952961625,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.86815564178,24.4367551821,0.0,23.1403244646,0.0,0.671277771892,0.671277771892,0.671277771892,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.81310223015,21.6550349683,0.0,20.5248889357,0.0,0.5952988177,0.5952988177,0.5952988177,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.77169328499,20.8966049207,0.0,19.8945386085,0.0,0.576951129748,0.576951129748,0.576951129748,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.69816541556,19.2994843385,0.0,18.3761388776,0.0,0.532873495882,0.532873495882,0.532873495882,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.68988892251,18.8050649971,0.0,17.9549512198,0.0,0.52063842167,0.52063842167,0.52063842167,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.79641590117,18.9495596114,0.0,18.0898335522,0.0,0.52454313313,0.52454313313,0.52454313313,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,2.24013247448,21.3588297815,0.0,20.3977466566,0.0,0.591647627297,0.591647627297,0.591647627297,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.98213291223,22.542558782,0.0,21.3839997443,0.0,0.620472068559,0.620472068559,0.620472068559,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.50741180042,22.1972955407,0.0,20.8484388643,0.0,0.605036814598,0.605036814598,0.605036814598,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.53377946184,23.4583012543,0.0,22.0698189908,0.0,0.64060415038,0.64060415038,0.64060415038,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,3.29850027072,23.6309994566,0.0,22.3420317716,0.0,0.648598632343,0.648598632343,0.648598632343,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,3.05507959832,24.2322393978,0.0,23.0807125885,0.0,0.670105118876,0.670105118876,0.670105118876,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.5934412951,24.39766115,0.0,23.4636953674,0.0,0.681264324016,0.681264324016,0.681264324016,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,2.1533204831,25.1572907704,0.0,24.4635803409,0.0,0.710292870874,0.710292870874,0.710292870874,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.69151696172,25.3382825429,0.0,24.9166585966,0.0,0.72345641174,0.72345641174,0.72345641174,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.51065933177,25.5492799907,0.0,25.2277306326,0.0,0.732501112999,0.732501112999,0.732501112999,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.46229673842,26.3862869072,0.0,26.091974606,0.0,0.757548428347,0.757548428347,0.757548428347,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.48366007556,27.6528986477,0.0,27.3515846806,0.0,0.794159245513,0.794159245513,0.794159245513,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.50721276009,28.7170837336,0.0,28.3389179935,0.0,0.822948938315,0.822948938315,0.822948938315,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.59127860259,29.6760842438,0.0,28.9532511235,0.0,0.840872977974,0.840872977974,0.840872977974,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
