Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.22758848354,9.42586762584,0.0,8.96892792351,0.0,0.25185863667,0.25185863667,0.25185863667,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.04933823821,9.84318897804,0.0,9.49493696469,0.0,0.266575158044,0.266575158044,0.266575158044,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.97705603938,9.90998838598,0.0,9.59156396246,0.0,0.269261284491,0.269261284491,0.269261284491,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.97189697182,10.3299721216,0.0,10.0035944622,0.0,0.280803170249,0.280803170249,0.280803170249,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.994748230269,11.3612964905,0.0,10.9497546536,0.0,0.307368060303,0.307368060303,0.307368060303,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.0774499381,12.2650930527,0.0,11.4793494535,0.0,0.322264838815,0.322264838815,0.322264838815,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.43404155402,14.2754974948,0.0,12.7883929902,0.0,0.359074284152,0.359074284152,0.359074284152,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.89840019977,13.3891376019,0.0,11.6983219898,0.0,0.328519632394,0.328519632394,0.328519632394,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.81465933626,12.9454572037,0.0,11.2986795827,0.0,0.317303725769,0.317303725769,0.317303725769,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.4923385531,11.3349522516,0.0,9.84148397512,0.0,0.27632948696,0.27632948696,0.27632948696,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.45796672654,10.6114899882,0.0,9.29983072064,0.0,0.26108885665,0.26108885665,0.26108885665,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.45621390197,9.63727535218,0.0,8.49244431139,0.0,0.23841048952,0.23841048952,0.23841048952,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.41738771351,8.94796054454,0.0,7.93130770376,0.0,0.222645558269,0.222645558269,0.222645558269,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.38335307423,8.70626484854,0.0,7.76842029554,0.0,0.218061154543,0.218061154543,0.218061154543,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.39249498381,8.81787931068,0.0,7.95331607591,0.0,0.223244482971,0.223244482971,0.223244482971,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.49574018592,8.84969058706,0.0,7.97539287792,0.0,0.223867417879,0.223867417879,0.223867417879,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.89479642818,9.74990712556,0.0,8.77383501591,0.0,0.246311580994,0.246311580994,0.246311580994,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.6311366143,10.7699390986,0.0,9.59632549435,0.0,0.269475770631,0.269475770631,0.269475770631,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.15343002205,10.3027130106,0.0,8.938817505,0.0,0.251055036228,0.251055036228,0.251055036228,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.14185748674,10.2577498886,0.0,8.85365755755,0.0,0.248682175281,0.248682175281,0.248682175281,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.90446053978,10.3666483709,0.0,9.06219796393,0.0,0.254558901404,0.254558901404,0.254558901404,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.647895616,10.5266306897,0.0,9.35941179542,0.0,0.262921136557,0.262921136557,0.262921136557,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.18514676902,10.6668451292,0.0,9.7172847061,0.0,0.272969797938,0.272969797938,0.272969797938,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.71235424769,10.2981426531,0.0,9.58864816201,0.0,0.269326635458,0.269326635458,0.269326635458,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.25480957165,10.6484953833,0.0,10.2106688881,0.0,0.286749021678,0.286749021678,0.286749021678,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.06983995317,10.7252873173,0.0,10.387529836,0.0,0.2916817344,0.2916817344,0.2916817344,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,0.987187018784,10.369825823,0.0,10.0592408164,0.0,0.282438708716,0.282438708716,0.282438708716,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,0.968437641026,10.2540724601,0.0,9.93584771788,0.0,0.278936810978,0.278936810978,0.278936810978,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,0.963053268543,10.3282494983,0.0,9.93253817154,0.0,0.278789446773,0.278789446773,0.278789446773,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.02668519653,10.5855970396,0.0,9.84478169774,0.0,0.276279571917,0.276279571917,0.276279571917,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.33234444935,10.9984225933,0.0,9.61422505596,0.0,0.269773610329,0.269773610329,0.269773610329,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.84721700796,12.329719947,0.0,10.7648098618,0.0,0.302024696007,0.302024696007,0.302024696007,0.507474149482,0.115639377579,0.25639820385,0.604780581041
