Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.47251184218,12.3581409102,0.0,12.3235986958,0.0,0.345595381806,0.345595381806,0.345595381806,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.17693061648
 01/01  02:00:00,1.2288991365,12.8292748702,0.0,12.7974705896,0.0,0.358818814736,0.358818814736,0.358818814736,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106176004871
 01/01  03:00:00,1.14135304224,12.9818206591,0.0,12.9503851238,0.0,0.363062719988,0.363062719988,0.363062719988,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0868233025029
 01/01  04:00:00,1.13247934064,13.061503697,0.0,13.030510656,0.0,0.365258058118,0.365258058118,0.365258058118,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0923193349245
 01/01  05:00:00,1.17758289091,12.7480845554,0.0,12.7182622806,0.0,0.356486438961,0.356486438961,0.356486438961,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149548617052
 01/01  06:00:00,1.49520772407,12.8977455185,0.0,12.8644662567,0.0,0.360564859678,0.360564859678,0.360564859678,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396351671756
 01/01  07:00:00,2.31750245455,14.6576107476,0.0,14.6191598332,0.0,0.409698175783,0.409698175783,0.409698175783,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.859176872453
 01/01  08:00:00,2.91100970166,14.0260667053,0.0,13.985209728,0.0,0.391962849815,0.391962849815,0.391962849815,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.990751781633
 01/01  09:00:00,2.81314733937,13.9579422888,0.0,13.9234000745,0.0,0.390244648859,0.390244648859,0.390244648859,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.963984540156
 01/01  10:00:00,2.44971707362,14.0672590445,0.0,14.0378608268,0.0,0.393448951768,0.393448951768,0.393448951768,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.863819017167
 01/01  11:00:00,2.31224703505,14.1153991127,0.0,14.0853094976,0.0,0.394763476135,0.394763476135,0.394763476135,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.741960135035
 01/01  12:00:00,2.14842022367,11.4622323623,0.0,11.4321335286,0.0,0.320376023989,0.320376023989,0.320376023989,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.631598064094
 01/01  13:00:00,2.01541728408,10.5500589532,0.0,10.5204671443,0.0,0.294807926192,0.294807926192,0.294807926192,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.547068782341
 01/01  14:00:00,1.92701119323,10.3250605736,0.0,10.2944454965,0.0,0.288475832044,0.288475832044,0.288475832044,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.494759246387
 01/01  15:00:00,1.85541278501,9.43645684059,0.0,9.40411787931,0.0,0.263533058302,0.263533058302,0.263533058302,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.445278883637
 01/01  16:00:00,1.97829927263,10.0893195812,0.0,10.0551829866,0.0,0.281789866645,0.281789866645,0.281789866645,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.450860691325
 01/01  17:00:00,2.43189872879,11.0076757216,0.0,10.9672981131,0.0,0.307404369224,0.307404369224,0.307404369224,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.514425683716
 01/01  18:00:00,3.27658564044,12.0564489758,0.0,12.0073966346,0.0,0.336631366501,0.336631366501,0.336631366501,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.641133652454
 01/01  19:00:00,3.91673135126,12.003223795,0.0,11.9499677576,0.0,0.335088237427,0.335088237427,0.335088237427,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.766368305808
 01/01  20:00:00,3.95447373906,12.9014080424,0.0,12.8464373394,0.0,0.360275019976,0.360275019976,0.360275019976,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.79288127731
 01/01  21:00:00,3.66831156428,13.4586152108,0.0,13.4017546882,0.0,0.375882525787,0.375882525787,0.375882525787,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.724689937655
 01/01  22:00:00,3.34472999314,14.2319214269,0.0,14.1763883873,0.0,0.397635462182,0.397635462182,0.397635462182,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.633599289197
 01/01  23:00:00,2.75928170892,14.6045919267,0.0,14.5565351977,0.0,0.408310461361,0.408310461361,0.408310461361,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.494679682901
 01/01  24:00:00,2.16782637394,15.2255216342,0.0,15.1837612309,0.0,0.425898039551,0.425898039551,0.425898039551,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.340159195725
 01/02  01:00:00,1.54538632656,15.6729405916,0.0,15.6383983772,0.0,0.43864060315,0.43864060315,0.43864060315,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.164429176407
 01/02  02:00:00,1.31506047146,16.2989835711,0.0,16.2671792905,0.0,0.456270751955,0.456270751955,0.456270751955,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.0994902640102
 01/02  03:00:00,1.23265999546,16.5180342017,0.0,16.4865986663,0.0,0.462409771254,0.462409771254,0.462409771254,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0818296492737
 01/02  04:00:00,1.23398495247,16.9214033497,0.0,16.8904103087,0.0,0.473730654066,0.473730654066,0.473730654066,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0869453223253
 01/02  05:00:00,1.28485573373,17.0583973883,0.0,17.0285751136,0.0,0.477604462559,0.477604462559,0.477604462559,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.138819784466
 01/02  06:00:00,1.58030498768,17.1761734239,0.0,17.1428941621,0.0,0.480815780991,0.480815780991,0.480815780991,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.365977488712
 01/02  07:00:00,2.29763155143,16.8457843056,0.0,16.8073333912,0.0,0.471405015809,0.471405015809,0.471405015809,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.789995560157
 01/02  08:00:00,2.85962746281,16.0611485405,0.0,16.0202915632,0.0,0.449345907308,0.449345907308,0.449345907308,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.906674740715
 01/02  09:00:00,2.70220980458,14.4772022525,0.0,14.4426600382,0.0,0.405091718174,0.405091718174,0.405091718174,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.876043453544
 01/02  10:00:00,2.27212764162,12.486192642,0.0,12.4567944243,0.0,0.34936214849,0.34936214849,0.34936214849,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.78285262307
 01/02  11:00:00,2.10309046735,11.2451565112,0.0,11.2150668962,0.0,0.314515741188,0.314515741188,0.314515741188,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.67245356953
 01/02  12:00:00,1.96046741545,8.99375236712,0.0,8.96365353343,0.0,0.251358703398,0.251358703398,0.251358703398,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.57389946235
 01/02  13:00:00,1.83839570378,8.00423636597,0.0,7.97464455704,0.0,0.223608991884,0.223608991884,0.223608991884,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.497025059924
 01/02  14:00:00,1.74664035804,7.24596087984,0.0,7.21534580275,0.0,0.202310917735,0.202310917735,0.202310917735,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.451406029928
 01/02  15:00:00,1.68972616513,6.54904826378,0.0,6.5167093025,0.0,0.182718743581,0.182718743581,0.182718743581,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.406053079193
 01/02  16:00:00,1.79523839446,6.48716389037,0.0,6.45302729584,0.0,0.180927886359,0.180927886359,0.180927886359,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.411897261628
 01/02  17:00:00,2.24735194463,7.62296328732,0.0,7.58258567888,0.0,0.212610322993,0.212610322993,0.212610322993,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.466577184761
 01/02  18:00:00,3.1014303967,9.33066345789,0.0,9.28161111668,0.0,0.260287113407,0.260287113407,0.260287113407,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.583566580251
 01/02  19:00:00,3.71914798232,9.04800123057,0.0,8.99474519314,0.0,0.252265906748,0.252265906748,0.252265906748,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.691635968869
 01/02  20:00:00,3.75373030981,10.1528575888,0.0,10.0978868858,0.0,0.28322382691,0.28322382691,0.28322382691,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.709141254205
 01/02  21:00:00,3.47657505594,10.9153431973,0.0,10.8584826747,0.0,0.304571137979,0.304571137979,0.304571137979,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.644929415685
 01/02  22:00:00,3.18473818358,12.3931691195,0.0,12.33763608,0.0,0.346070489377,0.346070489377,0.346070489377,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.566713786017
 01/02  23:00:00,2.63647658557,13.2778189401,0.0,13.2297622112,0.0,0.371098003023,0.371098003023,0.371098003023,0.691470175382,0.156299961941,0.256145886137,0.696596794044,0.442095765041
