Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,5.27950993495,0.0,4.09233608564,0.0,0.141389896379,4.23372598202,0.141389896379,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.159917289159
 01/01  02:00:00,5.15166880831,0.0,4.17802409451,0.0,0.144351687217,4.32237578173,0.144351687217,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.10643097073
 01/01  03:00:00,5.42848581921,0.0,4.5208101069,0.0,0.156057005141,4.67686711204,0.156057005141,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0921292149212
 01/01  04:00:00,5.38343488399,0.0,4.48975755131,0.0,0.154941112414,4.64469866372,0.154941112414,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0957106411603
 01/01  05:00:00,5.75343320592,0.0,4.80972680473,0.0,0.165969482866,4.97569628759,0.165969482866,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.13779780203
 01/01  06:00:00,6.19812325445,0.0,4.99725604125,0.0,0.172418565489,5.16967460674,0.172418565489,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.322556478468
 01/01  07:00:00,6.50341945061,0.0,4.68727257787,0.0,0.161713365124,4.848985943,0.161713365124,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.668573721023
 01/01  08:00:00,6.51134611681,0.0,4.191786526,0.0,0.144680571469,4.33646709747,0.144680571469,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.763784075616
 01/01  09:00:00,6.34467294605,0.0,4.11412236292,0.0,0.141962882746,4.25608524567,0.141962882746,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.74093586374
 01/01  10:00:00,5.77452483135,0.0,3.8464530201,0.0,0.132678208543,3.97913122864,0.132678208543,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.663642572934
 01/01  11:00:00,4.8268537963,0.0,3.02843286674,0.0,0.104482078917,3.13291494566,0.104482078917,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.570291207004
 01/01  12:00:00,4.05883043056,0.0,2.34680095938,0.0,0.08095978113,2.42776074051,0.08095978113,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.486501442195
 01/01  13:00:00,3.13152509241,0.0,1.53482467734,0.0,0.052941813431,1.58776649077,0.052941813431,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.421980002451
 01/01  14:00:00,3.05240466744,0.0,1.52448123116,0.0,0.0525458563174,1.57702708747,0.0525458563174,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.383597371744
