Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,8.52000130202,0.0,7.21880246675,0.0,0.252752225816,7.47155469256,0.252752225816,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.162579945684
 01/01  02:00:00,9.00768122747,0.0,7.89788338781,0.0,0.276657189089,8.1745405769,0.276657189089,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.110278594722
 01/01  03:00:00,9.10904398607,0.0,8.07049053438,0.0,0.28248584831,8.35297638269,0.28248584831,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0965781111321
 01/01  04:00:00,9.13413012068,0.0,8.10730770127,0.0,0.28248584831,8.38979354958,0.28248584831,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.10131099199
 01/01  05:00:00,9.22103346158,0.0,8.15469939521,0.0,0.28248584831,8.43718524352,0.28248584831,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.143909101764
 01/01  06:00:00,9.51024471215,0.0,8.19293998954,0.0,0.28248584831,8.47542583785,0.28248584831,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.328926705062
 01/01  07:00:00,10.1099044377,0.0,8.16694333506,0.0,0.28248584831,8.44942918337,0.28248584831,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.674615467713
 01/01  08:00:00,10.6133851118,0.0,8.1500552605,0.0,0.28248584831,8.43254110881,0.28248584831,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.769749059308
 01/01  09:00:00,9.17991045149,0.0,6.84609088697,0.0,0.239741799754,7.08583268673,0.239741799754,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.746425928125
 01/01  10:00:00,7.03080565206,0.0,5.05462745072,0.0,0.177572118496,5.23219956922,0.177572118496,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.666855053065
 01/01  11:00:00,6.05841335944,0.0,4.21508485133,0.0,0.148005204539,4.36309005587,0.148005204539,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.57167565993
 01/01  12:00:00,4.4602915311,0.0,2.73290923044,0.0,0.095985470985,2.82889470142,0.095985470985,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.486828581827
 01/01  13:00:00,3.72537550606,0.0,2.10709023536,0.0,0.0739492131373,2.18103944849,0.0739492131373,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.422557458379
 01/01  14:00:00,2.8454679127,0.0,1.32326285725,0.0,0.0464248148929,1.36968767215,0.0464248148929,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.384000032335
 01/01  15:00:00,2.3769326439,0.0,0.905735452264,0.0,0.0317746289361,0.9375100812,0.0317746289361,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.34745680451
 01/01  16:00:00,3.14642083847,0.0,1.55959096565,0.0,0.0545770498933,1.61416801554,0.0545770498933,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.352875616957
 01/01  17:00:00,3.73694060453,0.0,1.7695482587,0.0,0.0618737580659,1.83142201676,0.0618737580659,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.401314962173
