Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.71131199064,21.9680598859,0.0,21.5253944467,0.0,0.735582143768,0.735582143768,0.735582143768,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.53998384518,22.4983984399,0.0,22.1640794852,0.0,0.757220765017,0.757220765017,0.757220765017,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.48544556619,23.0688186303,0.0,22.7644862078,0.0,0.7776508113,0.7776508113,0.7776508113,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.48913727872,23.6739626773,0.0,23.3618772754,0.0,0.798043477146,0.798043477146,0.798043477146,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.50765363619,24.4080437756,0.0,24.0107680662,0.0,0.820273466222,0.820273466222,0.820273466222,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.56656604677,24.5203290301,0.0,23.7486664576,0.0,0.811380947494,0.811380947494,0.811380947494,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.87480006812,24.883354577,0.0,23.4096024055,0.0,0.799832798253,0.799832798253,0.799832798253,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.41300365738,26.3547754934,0.0,24.6770765826,0.0,0.843123090006,0.843123090006,0.843123090006,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.32460169325,25.8444787199,0.0,24.2117405273,0.0,0.827246082756,0.827246082756,0.827246082756,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.97616737063,23.7244155651,0.0,22.2450279978,0.0,0.760158304491,0.760158304491,0.760158304491,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.92556712736,22.6275487626,0.0,21.3297455471,0.0,0.728689257473,0.728689257473,0.728689257473,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.86785532658,20.1654416959,0.0,19.0336599633,0.0,0.650051914134,0.650051914134,0.650051914134,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.79231543901,18.5072270292,0.0,17.5030429175,0.0,0.597573283768,0.597573283768,0.597573283768,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.69342486149,16.4010675514,0.0,15.4748996538,0.0,0.528132941811,0.528132941811,0.528132941811,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.68070760509,15.8436666267,0.0,14.9903869319,0.0,0.511457104251,0.511457104251,0.511457104251,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
