Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.37867904784,13.8256876737,0.0,13.3729271329,0.0,0.402949200966,0.402949200966,0.402949200966,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.20089664603,14.2241453242,0.0,13.879841225,0.0,0.418133565864,0.418133565864,0.418133565864,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.12213300894,14.0695861083,0.0,13.7552038407,0.0,0.414338254055,0.414338254055,0.414338254055,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.10004941734,13.8994555867,0.0,13.5770734554,0.0,0.408955615769,0.408955615769,0.408955615769,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.09596940953,13.9733576375,0.0,13.5653804331,0.0,0.408589239566,0.408589239566,0.408589239566,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.15074930366,13.9164472098,0.0,13.1337612957,0.0,0.395564204383,0.395564204383,0.395564204383,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.45672649516,14.1610586516,0.0,12.6761572136,0.0,0.381759225289,0.381759225289,0.381759225289,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.93343184418,13.7619635001,0.0,12.0729710464,0.0,0.363551276799,0.363551276799,0.363551276799,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.85670059788,13.5786532466,0.0,11.9338204361,0.0,0.359344987387,0.359344987387,0.359344987387,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.60250945882,14.327189589,0.0,12.8363822169,0.0,0.386500392688,0.386500392688,0.386500392688,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.57188549631,13.764353106,0.0,12.4555973231,0.0,0.375007626422,0.375007626422,0.375007626422,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.56064320915,12.5305030877,0.0,11.3884569052,0.0,0.342839796699,0.342839796699,0.342839796699,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.53260912256,12.2385793551,0.0,11.2247541498,0.0,0.33786696732,0.33786696732,0.33786696732,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.48341361751,11.5056590625,0.0,10.5704557005,0.0,0.318121697825,0.318121697825,0.318121697825,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.47370815436,10.9796495331,0.0,10.1175517586,0.0,0.304457653527,0.304457653527,0.304457653527,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.56893166446,10.744552809,0.0,9.87256770451,0.0,0.297058896423,0.297058896423,0.297058896423,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.9771232451,11.894453719,0.0,10.9208004001,0.0,0.328638397916,0.328638397916,0.328638397916,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.75080271626,14.0966970878,0.0,12.9260106626,0.0,0.389141872593,0.389141872593,0.389141872593,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.28586710364,14.0938756986,0.0,12.7334342543,0.0,0.383492117816,0.383492117816,0.383492117816,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.28962852979,14.5612331317,0.0,13.1608055013,0.0,0.396453218328,0.396453218328,0.396453218328,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,3.0377622751,14.1744914841,0.0,12.8736376723,0.0,0.387860636723,0.387860636723,0.387860636723,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.78551514882,14.4580745924,0.0,13.2944291301,0.0,0.400540669372,0.400540669372,0.400540669372,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.34036049756,15.1573204294,0.0,14.211393541,0.0,0.428183526482,0.428183526482,0.428183526482,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.87325898298,14.9837970735,0.0,14.2783010877,0.0,0.430231370748,0.430231370748,0.430231370748,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.4063063631,14.9775798179,0.0,14.5438467602,0.0,0.438245813121,0.438245813121,0.438245813121,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.22530680264,15.1741014462,0.0,14.8403035529,0.0,0.447148583875,0.447148583875,0.447148583875,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.17138002935,15.7950019613,0.0,15.4884194762,0.0,0.466631719284,0.466631719284,0.466631719284,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.15973671298,15.9215777025,0.0,15.60776804,0.0,0.470235882932,0.470235882932,0.470235882932,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.15757548389,16.1005001048,0.0,15.7094377237,0.0,0.473311662118,0.473311662118,0.473311662118,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.21237228563,16.0687913323,0.0,15.3327277086,0.0,0.461966661012,0.461966661012,0.461966661012,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.53256238717,16.9780872387,0.0,15.5986035441,0.0,0.469991548148,0.469991548148,0.469991548148,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,2.01936600425,17.2964231797,0.0,15.7366070505,0.0,0.4741736923,0.4741736923,0.4741736923,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.90428823487,16.2676886712,0.0,14.7586148542,0.0,0.444776141862,0.444776141862,0.444776141862,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.53169199368,13.5875101618,0.0,12.221360066,0.0,0.368219162164,0.368219162164,0.368219162164,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.49542846893,13.0845991887,0.0,11.8829865437,0.0,0.357952866293,0.357952866293,0.357952866293,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.42629689568,10.0102239402,0.0,8.9566200257,0.0,0.269730369113,0.269730369113,0.269730369113,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.34296968585,7.71470919487,0.0,6.77674372626,0.0,0.204006454183,0.204006454183,0.204006454183,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.2703809178,6.05180916018,0.0,5.18177596029,0.0,0.155941702539,0.155941702539,0.155941702539,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.27069926294,5.6917520326,0.0,4.88851832015,0.0,0.147095262821,0.147095262821,0.147095262821,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.38080539115,5.87080897913,0.0,5.05736769604,0.0,0.152168091296,0.152168091296,0.152168091296,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.79905924347,7.29775990176,0.0,6.39616877517,0.0,0.192478635254,0.192478635254,0.192478635254,0.453487652263,0.103337308986,0.428670866964,0.59768478
