Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.27138746242,5.14478660315,0.0,5.1102443888,0.0,0.143058974996,0.143058974996,0.143058974996,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.178342643524
 01/01  02:00:00,1.02050344253,5.35530516283,0.0,5.32350088221,0.0,0.149022449575,0.149022449575,0.149022449575,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107576676064
 01/01  03:00:00,0.938737127596,5.71354721181,0.0,5.68211167647,0.0,0.159048698713,0.159048698713,0.159048698713,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0882214091293
 01/01  04:00:00,0.930250768997,5.80643683907,0.0,5.77544379807,0.0,0.161648425931,0.161648425931,0.161648425931,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0937003954678
 01/01  05:00:00,0.985826340866,5.866577442,0.0,5.83675516727,0.0,0.163357124377,0.163357124377,0.163357124377,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150921381589
 01/01  06:00:00,1.29885780457,5.85259511015,0.0,5.81931584839,0.0,0.162866256001,0.162866256001,0.162866256001,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397700355928
 01/01  07:00:00,2.06568055896,5.62843281028,0.0,5.58998189594,0.0,0.156446152534,0.156446152534,0.156446152534,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860607000106
 01/01  08:00:00,2.69390343134,6.23408632505,0.0,6.19322934774,0.0,0.173329925062,0.173329925062,0.173329925062,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.99227843606
 01/01  09:00:00,2.57848722375,5.54306774416,0.0,5.50852552982,0.0,0.154171357903,0.154171357903,0.154171357903,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965397715489
 01/01  10:00:00,2.21006152308,5.47234186272,0.0,5.44294364507,0.0,0.152353188518,0.152353188518,0.152353188518,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.86525922988
 01/01  11:00:00,2.05184670879,4.77661845645,0.0,4.74652884139,0.0,0.132845375565,0.132845375565,0.132845375565,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.743477909343
 01/01  12:00:00,1.95476887028,4.50713595047,0.0,4.47703711678,0.0,0.125296609644,0.125296609644,0.125296609644,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.633026125057
 01/01  13:00:00,1.83983787231,4.24107414588,0.0,4.21148233696,0.0,0.117863009225,0.117863009225,0.117863009225,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.548434287539
 01/01  14:00:00,1.72526154273,3.07712422512,0.0,3.04650914804,0.0,0.0852534895882,0.0852534895882,0.0852534895882,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.496231938345
 01/01  15:00:00,1.66965834978,2.7579040497,0.0,2.72556508841,0.0,0.0762672111115,0.0762672111115,0.0762672111115,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.44679029559
 01/01  16:00:00,1.78055052496,2.98313045534,0.0,2.94899386081,0.0,0.0825181845332,0.0825181845332,0.0825181845332,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.45238362576
 01/01  17:00:00,2.20921930442,3.01193964354,0.0,2.9715620351,0.0,0.0831539125755,0.0831539125755,0.0831539125755,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.515996715989
 01/01  18:00:00,3.04067785868,3.59116548114,0.0,3.54211313993,0.0,0.0991322707876,0.0991322707876,0.0991322707876,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.642724966408
 01/01  19:00:00,3.66840841848,3.09577478592,0.0,3.04251874848,0.0,0.0851605879476,0.0851605879476,0.0851605879476,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767973022509
 01/01  20:00:00,3.68496053923,3.23997501648,0.0,3.18500431349,0.0,0.0891543357195,0.0891543357195,0.0891543357195,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.794488761738
 01/01  21:00:00,3.4007803533,3.87154390976,0.0,3.81468338719,0.0,0.106787449871,0.106787449871,0.106787449871,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.726253802585
 01/01  22:00:00,3.07210701126,4.46497086816,0.0,4.40943782861,0.0,0.123442683622,0.123442683622,0.123442683622,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.635169085882
 01/01  23:00:00,2.48010478216,4.60434338082,0.0,4.55628665187,0.0,0.127557907581,0.127557907581,0.127557907581,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.496255309925
 01/01  24:00:00,1.88143243844,4.96925314197,0.0,4.92749273872,0.0,0.137946083417,0.137946083417,0.137946083417,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.341717216355
 01/02  01:00:00,1.26251331606,5.54121239349,0.0,5.50667017915,0.0,0.154153109479,0.154153109479,0.154153109479,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.166043659584
 01/02  02:00:00,1.02133306901,5.78133363613,0.0,5.74952935551,0.0,0.160944123616,0.160944123616,0.160944123616,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.101089489901
 01/02  03:00:00,0.943319973151,6.15672902988,0.0,6.12529349454,0.0,0.17145665663,0.17145665663,0.17145665663,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0834427415881
 01/02  04:00:00,0.936927377179,6.28512970153,0.0,6.25413666053,0.0,0.175060682339,0.175060682339,0.175060682339,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0885577187661
 01/02  05:00:00,0.986195278091,6.36494159037,0.0,6.33511931565,0.0,0.177327083557,0.177327083557,0.177327083557,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.14043670783
 01/02  06:00:00,1.27807086292,6.35499569228,0.0,6.32171643053,0.0,0.176951923557,0.176951923557,0.176951923557,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.36760722139
 01/02  07:00:00,2.00309687411,6.29871453936,0.0,6.26026362502,0.0,0.175232927426,0.175232927426,0.175232927426,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.791632971222
 01/02  08:00:00,2.60319447477,6.87437938151,0.0,6.8335224042,0.0,0.191284561746,0.191284561746,0.191284561746,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.908303098237
