Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03252404471,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.146657380946
 01/01  02:00:00,0.815705194487,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0928431386386
 01/01  03:00:00,0.738097397425,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0786079051732
 01/01  04:00:00,0.725439027675,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0824134485651
 01/01  05:00:00,0.764362329881,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.124423213579
 01/01  06:00:00,1.01508470483,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.309192535581
 01/01  07:00:00,1.64108370606,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.655223919474
 01/01  08:00:00,2.16179235269,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.750697408966
 01/01  09:00:00,2.07568639789,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.728034561257
 01/01  10:00:00,1.78175635973,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.650005329958
 01/01  11:00:00,1.67967868067,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.556031037029
 01/01  12:00:00,1.61663523041,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.472066982557
 01/01  13:00:00,1.5295369904,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.407758391212
 01/01  14:00:00,1.46093500495,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.369154796732
 01/01  15:00:00,1.42484828711,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.332882528918
 01/01  16:00:00,1.51792525744,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.338548051473
 01/01  17:00:00,1.89210532148,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.387901695885
 01/01  18:00:00,2.59579270925,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.485643969436
 01/01  19:00:00,3.12348889471,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.583160890545
 01/01  20:00:00,3.11520918701,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.604946216931
 01/01  21:00:00,2.86830870177,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.553889327937
 01/01  22:00:00,2.58376390641,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.485118165605
 01/01  23:00:00,2.07551704946,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.382973703344
 01/01  24:00:00,1.55554835531,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.268940893128
 01/02  01:00:00,1.01622228737,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.138024920497
 01/02  02:00:00,0.808132207122,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0898750126718
 01/02  03:00:00,1.21054433649,0.0,0.461065949297,0.0,0.0157545825953,0.476820531892,0.0157545825953,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0772807571634
 01/02  04:00:00,2.07112704291,0.0,1.30334219628,0.0,0.0445924590245,1.3479346553,0.0445924590245,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0817597800194
 01/02  05:00:00,2.8488509899,0.0,2.02197292683,0.0,0.0692926819707,2.0912656088,0.0692926819707,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.120762612996
 01/02  06:00:00,3.36388162915,0.0,2.29313007042,0.0,0.0786760835796,2.371806154,0.0786760835796,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.290962780571
 01/02  07:00:00,4.61286246948,0.0,2.93033113419,0.0,0.100620213298,3.03095134749,0.100620213298,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.608447766254
 01/02  08:00:00,5.27365999283,0.0,3.08796575195,0.0,0.106059953993,3.19402570595,0.106059953993,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.693227598586
 01/02  09:00:00,4.58360604597,0.0,2.51849180117,0.0,0.0866186210857,2.60511042225,0.0866186210857,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.668687304575
 01/02  10:00:00,3.40411802762,0.0,1.67082164483,0.0,0.0575622987429,1.72838394357,0.0575622987429,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.596519288899
 01/02  11:00:00,2.87628694658,0.0,1.25726496177,0.0,0.0433069170855,1.30057187886,0.0433069170855,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.511469691341
 01/02  12:00:00,1.58748534466,0.0,0.065950141619,0.0,0.0022827717872,0.0682329134062,0.0022827717872,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.435921069279
 01/02  13:00:00,1.44306368252,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.377064006911
 01/02  14:00:00,1.38480176406,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.343874260267
 01/02  15:00:00,1.35633635725,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.310017099774
 01/02  16:00:00,1.451341787,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.315200049214
 01/02  17:00:00,1.81915151558,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.356852128948
 01/02  18:00:00,2.51542347862,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.446518657251
