Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.484980015,17.8315722208,0.0,17.3827576132,0.0,0.509250168132,0.509250168132,0.509250168132,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.31287368391,18.4326226436,0.0,18.093008803,0.0,0.530110603748,0.530110603748,0.530110603748,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.26690216096,19.3895743174,0.0,19.0802616686,0.0,0.559107406067,0.559107406067,0.559107406067,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.25994605858,19.7283613764,0.0,19.4113157146,0.0,0.568852257005,0.568852257005,0.568852257005,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.26190665464,20.0063519786,0.0,19.6040017329,0.0,0.574526484673,0.574526484673,0.574526484673,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.3527296069,21.1641669855,0.0,20.3875571918,0.0,0.59754450762,0.59754450762,0.59754450762,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.71460149555,23.2986628673,0.0,21.8205979449,0.0,0.639634225676,0.639634225676,0.639634225676,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.17148853418,22.2013178813,0.0,20.519548642,0.0,0.601607966803,0.601607966803,0.601607966803,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.09749475181,22.1058238353,0.0,20.4683333659,0.0,0.60013914132,0.60013914132,0.60013914132,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.75593902943,19.9011193206,0.0,18.416868964,0.0,0.539929963292,0.539929963292,0.539929963292,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.73212897262,19.5624598161,0.0,18.2599979573,0.0,0.535251102728,0.535251102728,0.535251102728,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.68918888839,17.2208438448,0.0,16.0846449765,0.0,0.471385475948,0.471385475948,0.471385475948,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.60782416666,15.1084490446,0.0,14.0996961063,0.0,0.413082011413,0.413082011413,0.413082011413,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.51410973088,12.8415157012,0.0,11.9107024745,0.0,0.348817811198,0.348817811198,0.348817811198,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.43398405574,9.90250783515,0.0,9.04370717128,0.0,0.264733554901,0.264733554901,0.264733554901,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.55858015762,10.6658307145,0.0,9.79705208663,0.0,0.286707389577,0.286707389577,0.286707389577,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.96429863197,11.7607442481,0.0,10.7905002499,0.0,0.315813784783,0.315813784783,0.315813784783,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.71954853003,13.3928462602,0.0,12.2251229181,0.0,0.357887686362,0.357887686362,0.357887686362,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.27187848665,13.9764247079,0.0,12.6189579788,0.0,0.369503500825,0.369503500825,0.369503500825,1.25248956773,0.285407820314,0.522761393651,0.788316204123
