Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.29789638347,11.7936464784,0.0,11.3378898997,0.0,0.322166536598,0.322166536598,0.322166536598,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.10767354685,11.7814790841,0.0,11.4345220945,0.0,0.324910466686,0.324910466686,0.324910466686,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.03794021161,11.9367948135,0.0,11.6196634934,0.0,0.330145456719,0.330145456719,0.330145456719,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.02367953438,12.0314526706,0.0,11.7063690513,0.0,0.332585732813,0.332585732813,0.332585732813,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.02006325601,12.1207604201,0.0,11.710193056,0.0,0.332683086045,0.332683086045,0.332683086045,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.08516255671,12.4004489904,0.0,11.6152754288,0.0,0.329977457429,0.329977457429,0.329977457429,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.39240672273,12.6614077535,0.0,11.1741394712,0.0,0.317439452854,0.317439452854,0.317439452854,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.90669668737,13.5476962929,0.0,11.8563914852,0.0,0.33681611999,0.33681611999,0.33681611999,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.80632544755,12.5230544498,0.0,10.8765044242,0.0,0.308969837054,0.308969837054,0.308969837054,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.52819563766,12.4815363322,0.0,10.9886246825,0.0,0.312186571521,0.312186571521,0.312186571521,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.52653247812,12.9154631225,0.0,11.6047293745,0.0,0.329654608232,0.329654608232,0.329654608232,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.52248164215,11.8695674367,0.0,10.7256463939,0.0,0.304678229699,0.304678229699,0.304678229699,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.49095894262,11.4447583974,0.0,10.4289389088,0.0,0.296216787372,0.296216787372,0.296216787372,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
