Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.55780068088,19.4213236982,0.0,18.9759686139,0.0,0.582070834008,0.582070834008,0.582070834008,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.40616191563,20.6603488024,0.0,20.3241107911,0.0,0.623398835461,0.623398835461,0.623398835461,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.32757611402,20.5124486015,0.0,20.2061792423,0.0,0.619781359126,0.619781359126,0.619781359126,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.3105716796,20.511600871,0.0,20.197400568,0.0,0.61947787803,0.61947787803,0.61947787803,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.31365339459,20.818813004,0.0,20.4191366423,0.0,0.626273224624,0.626273224624,0.626273224624,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.39438204355,21.6157029271,0.0,20.8414834185,0.0,0.639196944269,0.639196944269,0.639196944269,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.79639307918,24.996162929,0.0,23.5207537782,0.0,0.721425809311,0.721425809311,0.721425809311,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.24849960587,23.7980545796,0.0,22.1192785097,0.0,0.678619038488,0.678619038488,0.678619038488,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.15434912881,23.0482198813,0.0,21.4133860776,0.0,0.656993518318,0.656993518318,0.656993518318,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.75274858147,18.9832354179,0.0,17.5009842893,0.0,0.536739515328,0.536739515328,0.536739515328,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.68832426624,17.3308979637,0.0,16.0298834015,0.0,0.491446396346,0.491446396346,0.491446396346,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.62521340402,14.4278188924,0.0,13.2929231238,0.0,0.407409991569,0.407409991569,0.407409991569,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
