Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.29016347455,11.6994615421,0.0,11.2438077937,0.0,0.314433627676,0.314433627676,0.314433627676,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.10663242336,11.9288397166,0.0,11.5820914957,0.0,0.323869343191,0.323869343191,0.323869343191,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.03573419565,12.0445514635,0.0,11.7277038757,0.0,0.327939440759,0.327939440759,0.327939440759,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.02611854347,12.3055825994,0.0,11.9807767826,0.0,0.335024741895,0.335024741895,0.335024741895,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.02666756978,12.5432535622,0.0,12.1330556699,0.0,0.339287399813,0.339287399813,0.339287399813,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.09451483755,12.9189135966,0.0,12.134171458,0.0,0.339329738273,0.339329738273,0.339329738273,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.40463873721,13.2753640624,0.0,11.7885827245,0.0,0.329671467338,0.329671467338,0.329671467338,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.88950757865,13.1201194547,0.0,11.4294082841,0.0,0.319627011273,0.319627011273,0.319627011273,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.81513357795,13.0095424707,0.0,11.3631275377,0.0,0.317777967459,0.317777967459,0.317777967459,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.53973461985,13.0687566039,0.0,11.5762380023,0.0,0.323725553717,0.323725553717,0.323725553717,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.54600134555,13.7952940193,0.0,12.4850864549,0.0,0.349123475663,0.349123475663,0.349123475663,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.53768238253,12.5821533993,0.0,11.4388737383,0.0,0.319878970083,0.319878970083,0.319878970083,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.51142344601,12.3402208317,0.0,11.3252110787,0.0,0.316681290766,0.316681290766,0.316681290766,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.47934117327,12.1676736665,0.0,11.2315273351,0.0,0.314049253589,0.314049253589,0.314049253589,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.47665502848,11.8570237237,0.0,10.994176247,0.0,0.307404527643,0.307404527643,0.307404527643,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.57619375815,11.7566793543,0.0,10.8839790824,0.0,0.304320990113,0.304320990113,0.304320990113,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.94976540145,11.7504363524,0.0,10.7755306313,0.0,0.301280554267,0.301280554267,0.301280554267,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.66758850701,12.1142786543,0.0,10.941347151,0.0,0.305927663342,0.305927663342,0.305927663342,0.842191296402,0.191912153986,0.578065905983,0.726091487301
